hunt_code,prefix,first_present_year_in_transition,previous_year_absent,seen_before_previous_year,source_files_first_present_year,source_pages_first_present_year
BR7114,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,38
BR7115,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,39
BR7116,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,40
BR7117,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,41
BR7118,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,42
BR7119,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,43
BR7120,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,44
BR7121,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,45
BR7122,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,46
BR7123,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,47
BR7200,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,48
BR7201,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,49
BR7203,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,50
BR7204,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,51
BR7205,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,52
BR7207,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,53
BR7208,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,54
BR7209,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,55
BR7210,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,56
BR7211,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,57
BR7212,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,58
BR7213,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,59
BR7214,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,60
BR7215,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,61
BR7216,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,62
BR7217,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,63
BR7218,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,64
BR7219,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,65
BR7220,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,66
BR7221,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,67
BR7224,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,68
BR7225,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,69
BR7226,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,70
BR7227,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,71
BR7228,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,72
BR7229,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,73
BR7230,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,74
BR7231,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,75
BR7232,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,76
BR7233,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,77
BR7234,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,78
BR7235,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,79
BR7236,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,80
BR7300,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,81
BR7301,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,82
BR7303,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,83
BR7304,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,84
BR7305,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,85
BR7307,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,86
BR7308,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,87
BR7309,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,88
BR7310,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,89
BR7311,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,90
BR7312,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,91
BR7313,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,92
BR7314,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,93
BR7315,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,94
BR7316,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,95
BR7317,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,96
BR7318,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,97
BR7320,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,98
BR7321,BR,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,99
CG1013,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,2
CG1029,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,3
CG1030,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,4
CG1034,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,5
CG7500,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,6
CG7502,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,7
CG7503,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,8
CG7505,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,9
CG7506,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,10
CG7507,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,11
CG7602,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,12
CG7603,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,13
CG7605,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,14
CG7606,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,15
CG7607,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,16
CG7609,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,17
CG7610,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,18
CG7611,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,19
CG7612,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,20
CG7613,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,21
CG7615,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,22
CG7618,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,23
CG7619,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,24
CG7620,CG,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,25
DA1000,DA,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_antlerless_drawing_odds_report.pdf|C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_antlerless_drawing_odds_report.pdf,2|3
DA1001,DA,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_antlerless_drawing_odds_report.pdf|C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_antlerless_drawing_odds_report.pdf,3|4
DA1002,DA,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_antlerless_drawing_odds_report.pdf|C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_antlerless_drawing_odds_report.pdf,4|5
DA1003,DA,2019,2018,NO,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_antlerless_drawing_odds_report.pdf|C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_antlerless_drawing_odds_report.pdf,5|6
