label_normalized,coverage_status,has_2020,has_2025,has_2026_generated_pdf,files_2020,files_2025,files_2026_generated_pdf,count_2020,count_2025,count_2026_generated_pdf,notes
ANTLERLESS DRAW RESULTS,PRESENT_2020_2025_ONLY,YES,YES,NO,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf,,1,1,0,
BEAR DRAW RESULTS,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,2026_PERMITS=2027_MODEL__BEAR DRAW RESULTS.pdf,1,1,1,
BEAR RESTRICTED PURSUIT DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,NO,NO,YES,,,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf,0,0,1,
COUGAR DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,YES,NO,NO,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,,,1,0,0,
D.H. DEER DRAW RESULTS,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__D.H. DEER DRAW RESULTS.pdf,2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS.pdf,1,1,1,
G.S. BUCK DEER DRAW RESULTS,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2026_PERMITS=2027_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,1,1,1,
HUNT EXPO DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,NO,YES,NO,,2025_PERMITS=2026_MODEL__HUNT EXPO DRAW RESULTS.pdf,,0,1,0,
L.E. BIG GAME DRAW RESULTS,PRESENT_2020_2025_ONLY,YES,YES,NO,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,,1,1,0,
L.E. DEER,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__L.E. DEER.pdf,2025_PERMITS=2026_MODEL__L.E. DEER.pdf,2026_PERMITS=2027_MODEL__L.E. DEER.pdf,1,1,1,
L.E. ELK,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__L.E. ELK.pdf,2025_PERMITS=2026_MODEL__L.E. ELK.pdf,2026_PERMITS=2027_MODEL__L.E. ELK.pdf,1,1,1,
L.E. PRONGHORN,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__L.E. PRONGHORN.pdf,2025_PERMITS=2026_MODEL__L.E. PRONGHORN.pdf,2026_PERMITS=2027_MODEL__L.E. PRONGHORN.pdf,1,1,1,
LE PRONGHORN DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,NO,YES,NO,,2025_PERMITS=2026_MODEL__LE PRONGHORN DRAW RESULTS.pdf,,0,1,0,
LIFETIME G.S. DEER DRAW RESULTS,PRESENT_2020_2025_ONLY,YES,YES,NO,2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,,1,1,0,
O.I.L. BISON,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,2025_PERMITS=2026_MODEL__O.I.L. BISON.pdf,2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf,1,1,1,
O.I.L. BULL MOOSE,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE.pdf; 2020_PERMITS=2021_MODEL__O.I.L. MOOSE.pdf,2025_PERMITS=2026_MODEL__O.I.L. BULL MOOSE.pdf,2026_PERMITS=2027_MODEL__O.I.L. BULL MOOSE.pdf,2,1,1,Duplicate/alias labels possible where source folder contains both aggregate and split reports.
O.I.L. DESERT BIGHORN SHEEP,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,2025_PERMITS=2026_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,2026_PERMITS=2027_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,1,1,1,
O.I.L. DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,NO,YES,NO,,2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,,0,1,0,
O.I.L. MTN GOAT,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__O.I.L. MTN GOAT.pdf,2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT.pdf,2026_PERMITS=2027_MODEL__O.I.L. MTN GOAT.pdf,1,1,1,
O.I.L. ROCKY MTN SHEEP,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,2025_PERMITS=2026_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,2026_PERMITS=2027_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,1,1,1,
SPORTSMAN DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,YES,NO,NO,2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,,,1,0,0,
SPORTSMAN PERMITS DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,NO,NO,YES,,,2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,0,0,1,
TURKEY DRAW RESULTS,PRESENT_ALL_THREE,YES,YES,YES,2020_PERMITS=2021_MODEL__TURKEY DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__TURKEY DRAW RESULTS.pdf,2026_PERMITS=2027_MODEL__TURKEY DRAW RESULTS.pdf,1,1,1,
YOUTH ANTLERLESS DRAW RESULTS,PRESENT_2020_2025_ONLY,YES,YES,NO,2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,,1,1,0,
YOUTH D.H. DEER DRAW RESULTS,PRESENT_2020_2025_ONLY,YES,YES,NO,2020_PERMITS=2021_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,,1,1,0,
YOUTH ELK DRAW RESULTS,PARTIAL_OR_SINGLE_YEAR,YES,NO,NO,2020_PERMITS=2021_MODEL__YOUTH ELK DRAW RESULTS.pdf,,,1,0,0,
YOUTH G.S. DEER DRAW RESULTS,PRESENT_2020_2025_ONLY,YES,YES,NO,2020_PERMITS=2021_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,,1,1,0,
YOUTH G.S. MATURE BULL ELK DRAW RESULTS,PRESENT_2025_2026_ONLY,NO,YES,YES,,2025_PERMITS=2026_MODEL__YOUTH G.S. MATURE BULL ELK DRAW RESULTS.pdf,2026_PERMITS=2027_MODEL__YOUTH G.S. MATURE BULL ELK DRAW RESULTS.pdf,0,1,1,
YOUTH TURKEY DRAW RESULTS,PRESENT_2020_2025_ONLY,YES,YES,NO,2020_PERMITS=2021_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,2025_PERMITS=2026_MODEL__YOUTH TURKEY DRAW RESULTS.pdf,,1,1,0,
