hunt_code,residency,points,ladder_2025_draw_res,ladder_2025_draw_nr,ladder_2025_draw_total,truth_2025_total_permits,ladder_pdf_page,ladder_report_page,ladder_draw_source,truth_source_file,truth_source_pdf_page,comparison_status,pdf_link_status
BI6500,Nonresident,0,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,1,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,10,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,11,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,12,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,13,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,14,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,15,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,16,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,17,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,18,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,19,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,2,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,20,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,21,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,22,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,23,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,24,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,25,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,26,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,27,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,28,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,29,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,3,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,30,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,31,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,32,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,4,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,5,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,6,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,7,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,8,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Nonresident,9,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,0,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,1,2,0,2,1,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,10,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,11,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,12,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,13,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,14,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,15,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,16,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,17,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
BI6500,Resident,18,2,0,2,0,535,1,2025_DRAW_RESULTS_TABLES,2025 O.I.L. Draw Results(1).pdf,39.0,MISMATCH_TOTAL,PDF_LINKED
