path,size_bytes,size_mb,tracked,ignored,lfs_tracked,lfs_pointer_payload,family,recommended_home,deploy_target,notes
assets/logos/tan-topo.png,5329351,5.082,yes,no,no,no,frontend_or_public_static,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Large media asset; R2 is safer than Vercel bundle.
data/big_game_draw_point_level.csv,8463461,8.071,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/boundaries/kml/BR1000.kml,5316904,5.071,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/boundaries/kml/CG9999.kml,8399106,8.01,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/boundaries/kml/EB1005.kml,6922570,6.602,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/boundaries/kml/EB1011.kml,7119317,6.79,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/boundaries/kml/PB1000.kml,5405741,5.155,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/hunt_boundaries_arcgis.json,88110587,84.029,no,yes,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/hunt_odds_history.csv,30516275,29.103,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/hunt_odds_history.json,113970739,108.691,no,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/hunt_predictions.json,29495505,28.129,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/utah-elk-habitat.geojson,9483138,9.044,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/utah-mule-deer-habitat.geojson,9803573,9.349,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.geojson,87146863,83.11,no,yes,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.kml,22520888,21.478,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.kmz,8479043,8.086,yes,no,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/utah/foundation_bundle_2026/utah_hunt_foundation_2026.sqlite,73383936,69.984,no,yes,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
data/utah/official_downloads_2026/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson,87146863,83.11,no,yes,no,no,runtime_small_data,CLOUDFLARE_R2_PUBLIC,R2_PUBLIC_URL,Runtime data is large; serve from R2 and leave manifest/small fallback in repo.
