hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,xlsx_res,xlsx_nr,xlsx_total,xlsx_total_printed,xlsx_permit_shape,xlsx_row_start,xlsx_continuation_rows_collapsed,pasted_res,pasted_nr,pasted_total,pasted_permit_shape,xlsx_vs_pasted_status,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,external_agreement_status,recommended_action,source_file,source_sha256
DB0012,Southern Paiute Buck Deer,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,12,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0013,Southern Paiute Buck Deer (late),Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,13,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1000,Henry Mtns,Buck,Deer,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,8,1,9,,RES_NR_SPLIT_TOTAL_COMPUTED,14,15,8,1,9,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,8,1,9,8,1,9,8,1,9,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1001,Paunsaugunt,Buck,Deer,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,26,3,29,,RES_NR_SPLIT_TOTAL_COMPUTED,16,17,26,3,29,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,26,3,29,26,3,29,25,3,28,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1002,Antelope Island,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Nov 11 2026 - Nov 18 2026,1,0,1,,RES_NR_SPLIT_TOTAL_COMPUTED,18,19,1,0,1,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,1,0,1,1,0,1,1,0,1,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1003,Henry Mtns,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 25 2026,24,3,27,,RES_NR_SPLIT_TOTAL_COMPUTED,20,21,24,3,27,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,24,3,27,24,3,27,23,3,26,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1004,Paunsaugunt,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Oct 17 2026 - Oct 31 2026,75,8,83,,RES_NR_SPLIT_TOTAL_COMPUTED,22,23,75,8,83,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,75,8,83,75,8,83,73,7,80,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1005,Henry Mtns,Buck,Deer,Muzzleloader,Premium Limited Entry,Sept 23 2026 - Oct 01 2026,8,1,9,,RES_NR_SPLIT_TOTAL_COMPUTED,24,25,8,1,9,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,8,1,9,8,1,9,8,1,9,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1006,Paunsaugunt,Buck,Deer,Muzzleloader,Premium Limited Entry,Sept 23 2026 - Oct 01 2026,26,3,29,,RES_NR_SPLIT_TOTAL_COMPUTED,26,27,26,3,29,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,26,3,29,26,3,29,25,3,28,MATCHES_HANUMBER_AND_HUNTTABLE_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1007,Henry Mtns,Buck,Deer,Multiseason,Premium Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-Oct 25, 2026",1,0,1,,RES_NR_SPLIT_TOTAL_COMPUTED,28,29,1,0,1,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,1,0,1,1,0,1,1,0,1,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
