hunt_code,residency,points,guaranteed_at_2026,point_pool_zone,display_2026_max_point_pool,expected_display,status
BI6500,Nonresident,0,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,1,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,2,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,3,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,4,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,5,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,6,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,7,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,8,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,9,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,10,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,11,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,12,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,13,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,14,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,15,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,16,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,17,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,18,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,19,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,20,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,21,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,22,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,23,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,24,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,25,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,26,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,27,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,28,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,29,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,30,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,31,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Nonresident,32,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Resident,31,31,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6500,Resident,32,31,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6503,Nonresident,30,30,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6503,Nonresident,31,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6503,Nonresident,32,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6503,Resident,30,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6503,Resident,31,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6503,Resident,32,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Nonresident,30,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Nonresident,31,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Nonresident,32,30,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Resident,28,28,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Resident,29,28,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Resident,30,28,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Resident,31,28,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6504,Resident,32,28,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,20,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,21,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,22,20,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,23,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,24,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,25,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,26,20,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,27,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,28,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,29,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,30,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,31,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Nonresident,32,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,18,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,19,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,20,18,max_pool_cutoff_mixed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,21,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,22,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,23,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,24,18,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,25,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,26,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,27,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,28,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,29,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,30,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,31,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6505,Resident,32,18,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,0,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,1,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,2,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,3,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,4,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,5,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,6,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,7,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,8,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,9,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,10,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,11,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,12,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,13,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,14,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,15,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,16,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,17,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,18,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,19,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,20,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,21,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,22,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,23,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,24,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,25,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,26,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,27,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,28,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,29,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,30,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,31,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Nonresident,32,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,17,17,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,18,17,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,19,17,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,20,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,21,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,22,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,23,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,24,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,25,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,26,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,27,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,28,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,29,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,30,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,31,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6506,Resident,32,17,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,0,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,1,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,2,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,3,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,4,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,5,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,6,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,7,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,8,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,9,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,10,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,11,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,12,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,13,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,14,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,15,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,16,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,17,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,18,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,19,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,20,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,21,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,22,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,23,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,24,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,25,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,26,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,27,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,28,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,29,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,30,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,31,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Nonresident,32,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,20,20,max_pool_cutoff_mixed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,21,20,max_pool_guaranteed,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,22,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,23,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,24,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,25,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,26,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,27,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,28,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,29,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,30,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,31,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6509,Resident,32,20,random_pool,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,0,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,1,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,2,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,3,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
BI6516,Nonresident,4,0,,~1 in 1 or 99%,~1 in 1 or 99%,PASS
