from_report_year,to_report_year,from_model_year,to_model_year,hunt_code,species,unit,weapon,reviewed_status,source_evidence,source_pages,target_source_evidence,target_source_pages,decision_basis
2022,2023,2023,2024,BI1000,Bison,Sportsman Bison,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Bison is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,BR1000,Black Bear,Sportsman Black Bear,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Black Bear is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,CG1000,Cougar,Sportsman Cougar,,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/2023_sportsman_hunt_codes_clean.csv|C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/2023_sportsman_hunt_codes_clean_notes.md|C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2022/pdf/regulations/guidebook_2022-23_cougar.pdf|C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2023/pdf/regulations/2023-24_cougar.pdf|C:/Users/tyler/Desktop/GitHub/HUNTS/pipeline/RAW/hunt_unit_database/2024/pdf/regulation/2024_cougar.pdf,1,Sportsman Cougar is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; do not collapse it into CG9999 in the sportsman row set. Cougar regulations document the later general statewide/no-additional-permit structure separately from this sportsman draw-results row.
2022,2023,2023,2024,DB0007,Buck Deer,Sportsman Deer,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Deer is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,DS1000,Desert Bighorn Sheep,Sportsman Desert Bighorn Sheep,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Desert Bighorn Sheep is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,EB1000,Bull Elk,Sportsman Elk,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Elk is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,GO1000,Mountain Goat,Sportsman Mountain Goat,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Mountain Goat is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,MB1000,Bull Moose,Sportsman Moose,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Moose is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,PB1000,Buck Pronghorn,Sportsman Pronghorn,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Pronghorn is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,RS0001,Rocky Mountain Bighorn Sheep,Sportsman Rocky Mtn Bighorn Sheep,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Rocky Mtn Bighorn Sheep is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
2022,2023,2023,2024,TK0001,Turkey,Sportsman Bearded Turkey,Any Legal Weapon,REVIEWED_SPORTSMAN_ACTIVE_CONTINUITY,2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,C:/Users/tyler/Desktop/BIBLE HUNT CODES/2023/.pdf/2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf,1,Sportsman Bearded Turkey is a reviewed continuous sportsman permit hunt across analyzed years and remains an active sportsman permit family; preserve exact-code continuity.
