source_family,source_file,source_row_count,hunt_code,source_hunt_name,species,sex_type,weapon,hunt_type,hunt_class,source_res,source_nr,source_total,source_permit_shape,mapping_status,notes,comparison_status,current_reconciliation_confidence,current_reconciliation_winner,recommended_res,recommended_nr,recommended_total,database_res,database_nr,database_total,database_hunt_name,database_hunt_type,database_hunt_class,database_source
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0001,Southeastern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southeastern Navajo Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0002,Southeastern Navajo Buck Deer,Deer,Buck,Archery,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southeastern Navajo Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0003,Southeastern Navajo Buck Deer,Deer,Buck,Muzzleloader,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southeastern Navajo Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0004,Southern Navajo Buck Deer,Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southern Navajo Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0005,Southern Navajo Buck Deer,Deer,Buck,Archery,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southern Navajo Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0006,Southern Navajo Buck Deer,Deer,Buck,Muzzleloader,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southern Navajo Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,L.E.,sportsmens,,,1,TOTAL_ONLY,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,MEDIUM_SINGLE_SOURCE,UTAHDRAWS,,,1,,,1,Buck Deer - Statewide Permit,Statewide,Statewide Permit,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0009,Antelope Island - Conservation/Expo,Deer,Buck,Any Legal Weapon,conservation,expo,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Antelope Island - Conservation/Expo,Premium Limited Entry,Premium Limited Entry,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0010,Southern Paiute Buck Deer (early),Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southern Paiute Buck Deer (early),Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0011,Southern Paiute Buck Deer,Deer,Buck,Archery,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southern Paiute Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0012,Southern Paiute Buck Deer,Deer,Buck,Muzzleloader,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southern Paiute Buck Deer,Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB0013,Southern Paiute Buck Deer (late),Deer,Buck,Any Legal Weapon,General,,,,,NO_PERMIT_VALUE,DIRECT_HUNT_CODE,,SOURCE_NO_PERMIT_VALUE,NO_PERMIT_VALUE,NONE,,,,,,,Southern Paiute Buck Deer (late),Tribal,Tribal,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1000,Henry Mtns,Deer,Buck,Archery,L.E.,P.L.E.,8,1,9,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,8,1,9,8,1,9,Henry Mtns Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1001,Paunsaugunt,Deer,Buck,Archery,L.E.,P.L.E.,26,3,29,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,26,3,29,26,3,29,Paunsaugunt Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1002,Antelope Island,Deer,Buck,Any Legal Weapon,L.E.,P.L.E.,1,,1,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_TOTAL_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,1,0,1,1,0,1,Antelope Island Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1003,Henry Mtns,Deer,Buck,Any Legal Weapon,L.E.,P.L.E.,24,3,27,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,24,3,27,24,3,27,Henry Mtns Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1004,Paunsaugunt,Deer,Buck,Any Legal Weapon,L.E.,P.L.E.,75,8,83,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,REVIEW_SOURCE_CONFLICT,HANUMBER,75,8,83,75,8,83,Paunsaugunt Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1005,Henry Mtns,Deer,Buck,Muzzleloader,L.E.,P.L.E.,8,1,9,RES_NR_SPLIT,DIRECT_HUNT_CODE,,SOURCE_MATCHES_RECOMMENDED,HIGH_CONFIRMED_2PLUS,HANUMBER,8,1,9,8,1,9,Henry Mtns Premium,Premium Limited Entry,Premium Limited Entry,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE
