row_key,hunt_code,residency,species,hunt_name,unit_name,average_harvest_age,harvest_success_pct,average_days_hunted,age_source_lineage,blank_classification,likely_should_exist_from_harvest_or_days,classification_reason
BI6532|Nonresident,BI6532,Nonresident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,100.0,2.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6532|Resident,BI6532,Resident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,100.0,2.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6534|Nonresident,BI6534,Nonresident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,100.0,2.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6534|Resident,BI6534,Resident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,100.0,2.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6535|Nonresident,BI6535,Nonresident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,100.0,4.2,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6535|Resident,BI6535,Resident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,100.0,4.2,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6536|Nonresident,BI6536,Nonresident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,66.7,4.3,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6536|Resident,BI6536,Resident,Bison,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",,66.7,4.3,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6537|Nonresident,BI6537,Nonresident,Bison,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",,90.9,3.7,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6537|Resident,BI6537,Resident,Bison,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",,90.9,3.7,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6538|Nonresident,BI6538,Nonresident,Bison,"Nine Mile, Private Lands Only","Nine Mile, Private Lands Only",,2.0,2.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6538|Resident,BI6538,Resident,Bison,"Nine Mile, Private Lands Only","Nine Mile, Private Lands Only",,2.0,2.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6539|Nonresident,BI6539,Nonresident,Bison,Henry Mtns,Henry Mtns,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BI6539|Resident,BI6539,Resident,Bison,Henry Mtns,Henry Mtns,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1000|Nonresident,BR1000,Nonresident,Black Bear,Black Bear - Statewide Permit,Black Bear - Statewide Permit,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1000|Resident,BR1000,Resident,Black Bear,Black Bear - Statewide Permit,Black Bear - Statewide Permit,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1001|Nonresident,BR1001,Nonresident,Black Bear,Black Bear Harvest Objective Units,Black Bear Harvest Objective Units,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1001|Resident,BR1001,Resident,Black Bear,Black Bear Harvest Objective Units,Black Bear Harvest Objective Units,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1007|Nonresident,BR1007,Nonresident,Black Bear,Black Bear Pursuit - Resident,Black Bear Pursuit - Resident,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1007|Resident,BR1007,Resident,Black Bear,Black Bear Pursuit - Resident,Black Bear Pursuit - Resident,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1008|Nonresident,BR1008,Nonresident,Black Bear,Book Cliffs,Book Cliffs,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1008|Resident,BR1008,Resident,Black Bear,Book Cliffs,Book Cliffs,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1009|Nonresident,BR1009,Nonresident,Black Bear,La Sal,La Sal,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1009|Resident,BR1009,Resident,Black Bear,La Sal,La Sal,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1010|Nonresident,BR1010,Nonresident,Black Bear,San Juan,San Juan,4.0,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1010|Resident,BR1010,Resident,Black Bear,San Juan,San Juan,4.0,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1011|Nonresident,BR1011,Nonresident,Black Bear,Book Cliffs,Book Cliffs,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1011|Resident,BR1011,Resident,Black Bear,Book Cliffs,Book Cliffs,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1012|Nonresident,BR1012,Nonresident,Black Bear,La Sal,La Sal,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1012|Resident,BR1012,Resident,Black Bear,La Sal,La Sal,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1013|Nonresident,BR1013,Nonresident,Black Bear,San Juan,San Juan,4.0,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1013|Resident,BR1013,Resident,Black Bear,San Juan,San Juan,4.0,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1015|Nonresident,BR1015,Nonresident,Black Bear,Book Cliffs,Book Cliffs,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1015|Resident,BR1015,Resident,Black Bear,Book Cliffs,Book Cliffs,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1016|Nonresident,BR1016,Nonresident,Black Bear,San Juan,San Juan,4.0,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1016|Resident,BR1016,Resident,Black Bear,San Juan,San Juan,4.0,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1017|Nonresident,BR1017,Nonresident,Black Bear,La Sal,La Sal,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1017|Resident,BR1017,Resident,Black Bear,La Sal,La Sal,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR1018|Nonresident,BR1018,Nonresident,Black Bear,Black Bear Pursuit - Nonresident,Black Bear Pursuit - Nonresident,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR1018|Resident,BR1018,Resident,Black Bear,Black Bear Pursuit - Nonresident,Black Bear Pursuit - Nonresident,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR7000|Nonresident,BR7000,Nonresident,Black Bear,Beaver,Beaver,5.8,70.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7000|Resident,BR7000,Resident,Black Bear,Beaver,Beaver,5.8,70.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7001|Nonresident,BR7001,Nonresident,Black Bear,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,5.7,29.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7001|Resident,BR7001,Resident,Black Bear,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,5.7,29.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7003|Nonresident,BR7003,Nonresident,Black Bear,Manti North,Manti North,4.1,32.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7003|Resident,BR7003,Resident,Black Bear,Manti North,Manti North,4.1,32.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7004|Nonresident,BR7004,Nonresident,Black Bear,Manti South/San Rafael North,Manti South/San Rafael North,3.7,63.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7004|Resident,BR7004,Resident,Black Bear,Manti South/San Rafael North,Manti South/San Rafael North,3.7,63.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7005|Nonresident,BR7005,Nonresident,Black Bear,Nebo,Nebo,3.7,33.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7005|Resident,BR7005,Resident,Black Bear,Nebo,Nebo,3.7,33.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7007|Nonresident,BR7007,Nonresident,Black Bear,Fillmore Pahvant,Fillmore Pahvant,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7007|Resident,BR7007,Resident,Black Bear,Fillmore Pahvant,Fillmore Pahvant,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7008|Nonresident,BR7008,Nonresident,Black Bear,La Sal,La Sal,4.7,49.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7008|Resident,BR7008,Resident,Black Bear,La Sal,La Sal,4.7,49.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7009|Nonresident,BR7009,Nonresident,Black Bear,Mt Dutton,Mt Dutton,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7009|Resident,BR7009,Resident,Black Bear,Mt Dutton,Mt Dutton,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7010|Nonresident,BR7010,Nonresident,Black Bear,Panguitch Lake/Zion,Panguitch Lake/Zion,4.8,29.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7010|Resident,BR7010,Resident,Black Bear,Panguitch Lake/Zion,Panguitch Lake/Zion,4.8,29.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7011|Nonresident,BR7011,Nonresident,Black Bear,Paunsaugunt,Paunsaugunt,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7011|Resident,BR7011,Resident,Black Bear,Paunsaugunt,Paunsaugunt,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7012|Nonresident,BR7012,Nonresident,Black Bear,Boulder/Kaiparowits,Boulder/Kaiparowits,6.2,12.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7012|Resident,BR7012,Resident,Black Bear,Boulder/Kaiparowits,Boulder/Kaiparowits,6.2,12.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7013|Nonresident,BR7013,Nonresident,Black Bear,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,3.5,57.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7013|Resident,BR7013,Resident,Black Bear,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,3.5,57.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7014|Nonresident,BR7014,Nonresident,Black Bear,San Juan,San Juan,4.0,33.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7014|Resident,BR7014,Resident,Black Bear,San Juan,San Juan,4.0,33.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7015|Nonresident,BR7015,Nonresident,Black Bear,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,4.2,8.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7015|Resident,BR7015,Resident,Black Bear,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,4.2,8.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7016|Nonresident,BR7016,Nonresident,Black Bear,Wasatch Mtns West-Central,Wasatch Mtns West-Central,4.7,10.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7016|Resident,BR7016,Resident,Black Bear,Wasatch Mtns West-Central,Wasatch Mtns West-Central,4.7,10.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7017|Nonresident,BR7017,Nonresident,Black Bear,Cache/Ogden,Cache/Ogden,6.2,50.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7017|Resident,BR7017,Resident,Black Bear,Cache/Ogden,Cache/Ogden,6.2,50.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7018|Nonresident,BR7018,Nonresident,Black Bear,Kamas/North Slope Summit,Kamas/North Slope Summit,4.3,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7018|Resident,BR7018,Resident,Black Bear,Kamas/North Slope Summit,Kamas/North Slope Summit,4.3,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7019|Nonresident,BR7019,Nonresident,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,4.4,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7019|Resident,BR7019,Resident,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Chalk Creek/East Canyon/Morgan-South Rich,4.4,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7020|Nonresident,BR7020,Nonresident,Black Bear,Monroe,Monroe,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7020|Resident,BR7020,Resident,Black Bear,Monroe,Monroe,3.0,0.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7021|Nonresident,BR7021,Nonresident,Black Bear,Dolores Triangle,Dolores Triangle,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR7021|Resident,BR7021,Resident,Black Bear,Dolores Triangle,Dolores Triangle,,,,UNAVAILABLE,SOURCE_MISSING,NO,No valid direct or safe repeated age evidence available in current sources.
BR7022|Nonresident,BR7022,Nonresident,Black Bear,La Sal Mtns,La Sal Mtns,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR7022|Resident,BR7022,Resident,Black Bear,La Sal Mtns,La Sal Mtns,4.7,,,UNIT_LEVEL_REPEATED_SOURCE,,NO,
BR7100|Nonresident,BR7100,Nonresident,Black Bear,Beaver,Beaver,5.8,80.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7100|Resident,BR7100,Resident,Black Bear,Beaver,Beaver,5.8,80.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7101|Nonresident,BR7101,Nonresident,Black Bear,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,5.7,36.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7101|Resident,BR7101,Resident,Black Bear,Book Cliffs Bitter Creek/South,Book Cliffs Bitter Creek/South,5.7,36.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7102|Nonresident,BR7102,Nonresident,Black Bear,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,4.5,50.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7102|Resident,BR7102,Resident,Black Bear,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,4.5,50.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7104|Nonresident,BR7104,Nonresident,Black Bear,Manti North,Manti North,4.1,62.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7104|Resident,BR7104,Resident,Black Bear,Manti North,Manti North,4.1,62.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7105|Nonresident,BR7105,Nonresident,Black Bear,Manti South/San Rafael North,Manti South/San Rafael North,3.7,76.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7105|Resident,BR7105,Resident,Black Bear,Manti South/San Rafael North,Manti South/San Rafael North,3.7,76.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7106|Nonresident,BR7106,Nonresident,Black Bear,Nebo,Nebo,3.7,88.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7106|Resident,BR7106,Resident,Black Bear,Nebo,Nebo,3.7,88.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7108|Nonresident,BR7108,Nonresident,Black Bear,La Sal,La Sal,4.7,58.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7108|Resident,BR7108,Resident,Black Bear,La Sal,La Sal,4.7,58.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7109|Nonresident,BR7109,Nonresident,Black Bear,Mt Dutton,Mt Dutton,3.0,100.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7109|Resident,BR7109,Resident,Black Bear,Mt Dutton,Mt Dutton,3.0,100.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7110|Nonresident,BR7110,Nonresident,Black Bear,Nine Mile,Nine Mile,5.7,50.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
BR7110|Resident,BR7110,Resident,Black Bear,Nine Mile,Nine Mile,5.7,50.0,,DIRECT_HUNT_CODE_SOURCE,,NO,
