prefix,total_codes_observed,active_2026_codes,dropped_before_2026_codes,new_in_2026_codes,earliest_first_seen_report_year,latest_last_seen_report_year
BI,29,17,12,1,2020,2026
BR,116,100,16,7,2020,2026
CG,16,0,16,0,2020,2022
DA,34,0,34,0,2020,2025
DB,392,330,62,3,2020,2026
DS,22,19,3,0,2020,2026
EA,216,0,216,0,2020,2025
EB,277,211,66,1,2020,2026
GO,19,18,1,0,2020,2026
MA,10,0,10,0,2020,2025
MB,46,27,19,0,2020,2026
PB,103,88,15,0,2020,2026
PD,53,0,53,0,2020,2025
RE,1,0,1,0,2020,2025
RS,17,16,1,0,2020,2026
TK,8,8,0,0,2020,2026
