hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status
BI1000,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,"Aug 1, 2026 - Jan 31, 2027",HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,,,,,,,,1,,,,,,,,,1,UTAHDRAWS,MEDIUM_SINGLE_SOURCE,1,,DATABASE_BLANK_RECOMMENDATION_HAS_VALUE,PROMOTE_CANDIDATE_AFTER_REVIEW,utahdraws selected as the only non-database source with permit values.,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,
BI6530,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 14 2024 - Sept 22 2024,HANUMBER|DATABASE,3,1,4,,,,,,,,,,3,1,4,3,1,4,HANUMBER,MEDIUM_SINGLE_SOURCE,1,,DATABASE_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
BR1000,Black Bear - Statewide Permit,Black Bear,Either Sex,Any Legal Weapon,Statewide,Any open season on any open bear unit during the 2026 season. See 2026 Black Bear Guidebook for season dates and take methods.,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,,,,,,,,1,,,,,,,,,1,UTAHDRAWS,MEDIUM_SINGLE_SOURCE,1,,DATABASE_BLANK_RECOMMENDATION_HAS_VALUE,PROMOTE_CANDIDATE_AFTER_REVIEW,utahdraws selected as the only non-database source with permit values.,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,
BR7008,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",HANUMBER|DATABASE,49,5,54,,,,,,,,,,49,5,54,49,5,54,HANUMBER,MEDIUM_SINGLE_SOURCE,1,,DATABASE_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
BR7108,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Summer,"May 26 - June 29, 2025",HANUMBER|DATABASE,25,2,27,,,,,,,,,,25,2,27,25,2,27,HANUMBER,MEDIUM_SINGLE_SOURCE,1,,DATABASE_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
BR7208,La Sal,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Fall,"Aug 1 - Aug 31, 2025 & Nov 3 - Nov 9, 2025",HANUMBER|DATABASE,6,0,6,,,,,,,,,,6,,6,6,0,6,HANUMBER,MEDIUM_SINGLE_SOURCE,1,,DATABASE_TOTAL_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
DA1044,Myton,Deer,Antlerless,Any Legal Weapon,General Season,Sept 28 2024 - Dec 13 2024,HANUMBER|DATABASE,,,50,,,,,,,,,,,,50,,,50,HANUMBER,MEDIUM_SINGLE_SOURCE,1,,DATABASE_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
DA1051,Beaver City,Deer,Antlerless,Archery,General-Season,Aug 01 2026 - Sept 04 2026,HUNTTABLE,,,,,,10,,,,,,,,,,,,10,HUNTTABLE,MEDIUM_SINGLE_SOURCE,1,,DATABASE_BLANK_RECOMMENDATION_HAS_VALUE,PROMOTE_CANDIDATE_AFTER_REVIEW,hunttable selected as the only non-database source with permit values.,,LIVE_ONLY,,,
DB0007,Buck Deer - Statewide Permit,Deer,Buck,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",HANUMBER|HUNTTABLE|UTAHDRAWS|BUCK_DEER|DATABASE,,,,,,,,,1,,,,,,1,,,1,UTAHDRAWS,MEDIUM_SINGLE_SOURCE,1,,DATABASE_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,utahdraws selected as the only non-database source with permit values.,OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,
DB1036,Thousand Lakes,Deer,Buck,Muzzleloader,Limited Entry,Oct 30 2024 - Nov 07 2024,HANUMBER|DATABASE,4,1,5,,,,,,,,,,4,1,5,4,1,5,HANUMBER,MEDIUM_SINGLE_SOURCE,1,,DATABASE_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
DB1059,Beaver,Deer,Buck,Muzzleloader,Limited Entry,Oct 30 2024 - Nov 07 2024,HANUMBER|DATABASE,7,1,8,,,,,,,,,,7,1,8,7,1,8,HANUMBER,MEDIUM_SINGLE_SOURCE,1,,DATABASE_MATCHES_RECOMMENDED,PROMOTE_CANDIDATE_AFTER_REVIEW,hanumber selected as the only non-database source with permit values.,OK,DATABASE_ONLY,DATABASE_ONLY,,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026
