hunt_code,prefix,report_year,model_year,raw_observed_in_source,interpreted_status,continuity_status,first_seen_report_year,last_seen_report_year,notes
BI1000,BI,2020,2021,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI1000,BI,2021,2022,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI1000,BI,2022,2023,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI1000,BI,2023,2024,NO,LIKELY_CONTINUED_NOT_OBSERVED,TEMPORARY_SOURCE_GAP_BEFORE_REAPPEARANCE,2020,2026,"The code is absent this year but reappears later, so do not treat this as termination."
BI1000,BI,2024,2025,NO,LIKELY_CONTINUED_NOT_OBSERVED,TEMPORARY_SOURCE_GAP_BEFORE_REAPPEARANCE,2020,2026,"The code is absent this year but reappears later, so do not treat this as termination."
BI1000,BI,2025,2026,NO,LIKELY_CONTINUED_NOT_OBSERVED,TEMPORARY_SOURCE_GAP_BEFORE_REAPPEARANCE,2020,2026,"The code is absent this year but reappears later, so do not treat this as termination."
BI1000,BI,2026,2027,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6500,BI,2020,2021,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6500,BI,2021,2022,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6500,BI,2022,2023,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6500,BI,2023,2024,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6500,BI,2024,2025,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6500,BI,2025,2026,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6500,BI,2026,2027,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6503,BI,2020,2021,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6503,BI,2021,2022,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6503,BI,2022,2023,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6503,BI,2023,2024,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6503,BI,2024,2025,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6503,BI,2025,2026,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6503,BI,2026,2027,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6504,BI,2020,2021,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
BI6504,BI,2021,2022,YES,OBSERVED_IN_SOURCE,CONFIRMED_PRESENT,2020,2026,Source PDF contains the hunt code in this report year.
