hunt_code,hunt_name,species,database_alignment,action_taken,changed_fields,before_res,before_nr,before_total,after_res,after_nr,after_total,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,before_source,after_source,before_status,after_status,notes
BI6537,"Book Cliffs, Little Creek/South",Bison,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,8,7,15,8,7,15,8,7,15,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BI6539,Henry Mtns,Bison,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,11,0,11,11,0,11,11,0,11,HANUMBER,HIGH_CONFIRMED_2PLUS,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,RAC_CURRENT_YEAR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1000,Black Bear - Statewide Permit,Black Bear,DATABASE_BLANK_RECOMMENDATION_HAS_VALUE,RECONCILED_DATABASE_BLANK_FILLED,permit_allotment_2026_total|permit_allotment_2026_source|permit_allotment_2026_source_file|permit_allotment_2026_status,,,,,,1,,,1,UTAHDRAWS,MEDIUM_SINGLE_SOURCE,1,,2026_CURRENT_PERMIT_RECONCILIATION:UTAHDRAWS,,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,DATABASE allotment was blank; available recommended value(s) were populated.
BR1008,Book Cliffs,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,26,2,28,26,2,28,26,2,28,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1009,La Sal,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,14,1,15,14,1,15,14,1,15,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1010,San Juan,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,14,1,15,14,1,15,14,1,15,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1011,Book Cliffs,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,26,2,28,26,2,28,26,2,28,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1012,La Sal,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,14,1,15,14,1,15,14,1,15,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1013,San Juan,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,14,1,15,14,1,15,14,1,15,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1015,Book Cliffs,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,0,2,2,0,2,2,0,2,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1016,San Juan,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,0,2,2,0,2,2,0,2,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR1017,La Sal,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,0,2,2,0,2,2,0,2,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7000,Beaver,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,9,1,10,9,1,10,9,1,10,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7001,Book Cliffs Bitter Creek/South,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,49,5,54,49,5,54,49,5,54,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7003,Manti North,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,17,2,19,17,2,19,17,2,19,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7004,Manti South/San Rafael North,Black Bear,DATABASE_TOTAL_MATCHES_RECOMMENDED,RECONCILED_TOTAL_MATCH,,18,2,20,18,2,20,18,0,20,HANUMBER,MEDIUM_TOTAL_CONFIRMED,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE total already matches recommended total. No split cells were safely fillable.
BR7005,Nebo,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,7,0,7,7,0,7,7,0,7,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7007,Fillmore Pahvant,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7008,La Sal,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,49,5,54,49,5,54,49,5,54,HANUMBER,MEDIUM_SINGLE_SOURCE,1,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7009,Mt Dutton,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,0,4,4,0,4,4,0,4,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7010,Panguitch Lake/Zion,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,9,0,9,9,0,9,9,0,9,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7011,Paunsaugunt,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,4,0,4,4,0,4,4,0,4,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7012,Boulder/Kaiparowits,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,20,2,22,20,2,22,20,2,22,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7013,Fishlake/Thousand Lakes,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,7,0,7,7,0,7,7,0,7,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7014,San Juan,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,35,3,38,35,3,38,35,3,38,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,7,0,7,7,0,7,7,0,7,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7016,Wasatch Mtns West-Central,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,36,4,40,36,4,40,36,4,40,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7017,Cache/Ogden,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7018,Kamas/North Slope Summit,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,5,0,5,5,0,5,5,0,5,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7020,Monroe,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,1,0,1,1,0,1,1,0,1,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7021,Dolores Triangle,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,2,0,2,2,0,2,2,0,2,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7022,La Sal Mtns,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,40,3,43,40,3,43,40,3,43,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7100,Beaver,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,9,1,10,9,1,10,9,1,10,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7101,Book Cliffs Bitter Creek/South,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,14,1,15,14,1,15,14,1,15,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7102,Book Cliffs Little Creek Roadless,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,5,0,5,5,0,5,5,0,5,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7104,Manti North,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,17,1,18,17,1,18,17,1,18,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
BR7105,Manti South/San Rafael North,Black Bear,DATABASE_MATCHES_RECOMMENDED,RECONCILED_EXACT_MATCH_NO_NUMERIC_CHANGE,,18,2,20,18,2,20,18,2,20,HANUMBER,HIGH_CONFIRMED_2PLUS,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,LIVE_DWR_RES_NR_SPLIT,DATABASE allotment already matches recommended resident/nonresident/total values.
