hunt_code,prefix,present_report_year_2020,source_count_report_year_2020,present_report_year_2021,source_count_report_year_2021,present_report_year_2022,source_count_report_year_2022,present_report_year_2023,source_count_report_year_2023,present_report_year_2024,source_count_report_year_2024,present_report_year_2025,source_count_report_year_2025,present_report_year_2026,source_count_report_year_2026
DB1211,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1212,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1213,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1215,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1216,DB,YES,2,YES,2,YES,2,YES,2,NO,0,YES,2,YES,1
DB1217,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1219,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1221,DB,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DB1222,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1223,DB,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0
DB1224,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1225,DB,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DB1227,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1228,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1229,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1230,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1231,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1232,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1233,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1234,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1236,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1237,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1238,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1239,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1240,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1241,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1242,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1243,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1244,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1245,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1246,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1248,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1249,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1250,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1251,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1252,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1253,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1255,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1256,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1257,DB,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DB1258,DB,YES,2,YES,2,YES,2,YES,2,NO,0,YES,2,YES,1
DB1259,DB,YES,2,YES,2,NO,0,NO,0,YES,2,YES,2,YES,1
DB1260,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1261,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1263,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1264,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1265,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1266,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1267,DB,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DB1269,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1270,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1271,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1272,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1273,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1274,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1275,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1276,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1277,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1278,DB,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0
DB1279,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1280,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1281,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1282,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1283,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1285,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1286,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1287,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1288,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1289,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1290,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1291,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1292,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1293,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1294,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1295,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1297,DB,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0
DB1298,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1299,DB,YES,2,NO,0,YES,2,YES,2,YES,2,YES,2,YES,1
DB1300,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1301,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1302,DB,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DB1303,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1304,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1305,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1306,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1307,DB,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0
DB1308,DB,YES,2,NO,0,YES,2,YES,2,YES,2,YES,2,YES,1
DB1309,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1310,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1312,DB,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,YES,1
DB1317,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1320,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DB1321,DB,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DB1322,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1323,DB,YES,2,YES,2,YES,2,NO,0,NO,0,YES,2,YES,1
DB1324,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
DB1325,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1326,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1327,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1328,DB,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1329,DB,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
DB1330,DB,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1331,DB,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1332,DB,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1333,DB,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1334,DB,NO,0,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1335,DB,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,YES,1
DB1336,DB,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,YES,1
DB1337,DB,NO,0,NO,0,YES,2,YES,2,YES,2,YES,2,YES,1
DB1338,DB,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0,NO,0
DB1339,DB,NO,0,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0
DB1340,DB,NO,0,NO,0,YES,2,YES,2,NO,0,NO,0,NO,0
DB1341,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1342,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1343,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,NO,0
DB1344,DB,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,NO,0
DB1345,DB,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,NO,0
DB1347,DB,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,1
DB1348,DB,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,NO,0
DB1349,DB,NO,0,NO,0,NO,0,NO,0,YES,2,YES,2,YES,1
DB1351,DB,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1
DB1500,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1501,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1502,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1503,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1504,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1505,DB,YES,3,YES,3,YES,3,NO,0,NO,0,NO,0,NO,0
DB1506,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1508,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1509,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1510,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1511,DB,YES,3,YES,2,YES,3,YES,2,YES,3,YES,2,YES,1
DB1512,DB,YES,3,YES,3,YES,2,YES,3,YES,3,YES,3,YES,1
DB1513,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1514,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1515,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1516,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1517,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1518,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1519,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1520,DB,YES,3,YES,2,YES,3,YES,3,YES,3,NO,0,NO,0
DB1521,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1522,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1523,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1524,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1525,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1526,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1527,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1528,DB,YES,2,YES,1,YES,3,YES,2,YES,3,NO,0,NO,0
DB1529,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1530,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1531,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1532,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1533,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1534,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1535,DB,YES,3,YES,3,YES,3,NO,0,NO,0,NO,0,NO,0
DB1536,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1538,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1539,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1540,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1541,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1542,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1543,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1544,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1545,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1546,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1547,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1548,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1549,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1550,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1551,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1552,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1553,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1554,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1555,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1556,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1557,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1558,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1559,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1560,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1561,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1562,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1563,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1564,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1565,DB,YES,3,YES,3,YES,3,NO,0,NO,0,NO,0,NO,0
DB1566,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1568,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1569,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1570,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1571,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1572,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1573,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1574,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1575,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1576,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1577,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1578,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1579,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1580,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1581,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1582,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1583,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1584,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1585,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1586,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1587,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1588,DB,YES,3,YES,3,YES,3,YES,3,YES,3,NO,0,NO,0
DB1589,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1590,DB,YES,3,YES,3,YES,3,NO,0,NO,0,NO,0,NO,0
DB1591,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1592,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1593,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1594,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1595,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1596,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1597,DB,YES,3,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1598,DB,NO,0,YES,3,YES,3,YES,3,YES,3,YES,3,YES,1
DB1599,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1600,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1601,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1602,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1603,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1604,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1605,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1606,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1607,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1608,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1609,DB,NO,0,NO,0,NO,0,YES,3,YES,3,YES,3,YES,1
DB1610,DB,NO,0,NO,0,NO,0,YES,3,YES,2,YES,3,YES,1
DB1611,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1612,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1613,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1614,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1615,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1616,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1617,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1618,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1619,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1620,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1621,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1622,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1623,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1624,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1625,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1627,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1628,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1629,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1630,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1631,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DB1769,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1770,DB,YES,1,YES,1,YES,1,YES,1,YES,1,YES,2,YES,1
DB1771,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1772,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1773,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1774,DB,YES,2,YES,1,YES,1,NO,0,NO,0,NO,0,NO,0
DB1775,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1777,DB,YES,1,YES,1,YES,1,YES,1,YES,2,YES,1,YES,1
DB1778,DB,YES,1,YES,1,YES,1,YES,1,YES,2,YES,1,YES,1
DB1779,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1780,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1781,DB,YES,1,YES,1,YES,1,YES,1,YES,2,YES,2,YES,1
DB1782,DB,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1,YES,1
DB1783,DB,YES,2,YES,1,YES,1,YES,2,YES,1,YES,2,YES,1
DB1784,DB,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DB1785,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1786,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1787,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1788,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1789,DB,YES,2,YES,2,YES,2,YES,1,YES,1,NO,0,NO,0
DB1790,DB,YES,2,YES,1,YES,1,YES,1,YES,2,YES,1,YES,1
DB1791,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1792,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1793,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1,YES,1
DB1794,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1795,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1796,DB,YES,2,YES,1,YES,2,YES,2,YES,2,NO,0,NO,0
DB1797,DB,YES,1,YES,1,YES,2,YES,1,YES,1,NO,0,NO,0
DB1798,DB,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,YES,1
DB1799,DB,NO,0,NO,0,NO,0,YES,1,YES,1,YES,1,YES,1
DB1800,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1801,DB,NO,0,NO,0,NO,0,YES,2,YES,2,YES,2,YES,1
DB1802,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1803,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1
DB1804,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1805,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,2,YES,1
DB1806,DB,NO,0,NO,0,NO,0,NO,0,NO,0,YES,1,YES,1
DS1000,DS,YES,1,YES,1,YES,1,NO,0,NO,0,NO,0,YES,1
DS6600,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6601,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6602,DS,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0
DS6603,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6604,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6606,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6607,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6608,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6609,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6610,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6611,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6612,DS,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0
DS6619,DS,YES,2,NO,0,NO,0,NO,0,NO,0,NO,0,NO,0
DS6620,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6621,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6622,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6623,DS,YES,2,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6624,DS,NO,0,YES,2,YES,2,YES,2,YES,2,YES,3,YES,1
DS6625,DS,NO,0,NO,0,NO,0,NO,0,YES,2,YES,3,YES,1
DS6626,DS,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
DS6627,DS,NO,0,NO,0,NO,0,NO,0,NO,0,YES,3,YES,1
EA1004,EA,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
EA1007,EA,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
EA1008,EA,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0,NO,0
EA1009,EA,YES,2,YES,2,YES,2,YES,2,NO,0,NO,0,NO,0
EA1010,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1011,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1012,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1013,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1015,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1017,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1018,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1020,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1021,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
EA1022,EA,YES,2,YES,2,YES,2,YES,2,YES,2,YES,2,NO,0
