prefix,total_codes_observed,active_2026_codes,dropped_before_2026_codes,new_in_2026_codes,earliest_first_seen,latest_last_seen
ABI,1,0,1,0,2022,2024
ABR,1,0,1,0,2022,2024
ACG,1,0,1,0,2022,2022
ADB,1,0,1,0,2022,2024
ADS,1,0,1,0,2022,2024
AEB,1,0,1,0,2022,2024
AGO,1,0,1,0,2022,2024
AMB,1,0,1,0,2022,2024
APB,1,0,1,0,2022,2024
ARS,1,0,1,0,2022,2024
ATK,1,0,1,0,2022,2024
BI,32,17,15,1,2018,2026
BR,116,100,16,7,2018,2026
CG,26,0,26,0,2018,2022
DA,44,0,44,0,2019,2025
DB,392,330,62,3,2018,2026
DS,23,19,4,0,2018,2026
EA,240,0,240,0,2019,2025
EB,278,211,67,1,2018,2026
GO,21,18,3,0,2018,2026
MA,11,0,11,0,2019,2025
MB,48,27,21,0,2018,2026
PB,106,88,18,0,2018,2026
PD,58,0,58,0,2019,2025
RE,1,0,1,0,2020,2025
RS,19,16,3,0,2018,2026
TK,8,8,0,0,2018,2026
