"hunt_code","hunts_crosswalk_status","crosswalk_relationship","crosswalk_hit_count"
"DB1200","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1201","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1209","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1238","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1255","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1310","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1330","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1333","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1334","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1335","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1337","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"DB1349","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EA1135","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EA1145","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EA1158","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EA1256","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EA1259","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EA1263","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EB3520","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EB3531","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EB3545","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EB3613","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"EB3619","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"MB6201","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"MB6265","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"MB6266","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
"PB5339","NOT_FOUND_IN_HUNTS_CROSSWALK","","0"
