hunt_code,prefix,present_report_year,first_missing_report_year,present_model_year,first_missing_model_year,reappears_later,permanent_through_2026,source_files_present_year,source_pages_present_year
BI6507,BI,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,7|497
BI6515,BI,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,9|499
BI6522,BI,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,15|505
CG1030,CG,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,3
CG7613,CG,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,13
CG7615,CG,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,14
CG7619,CG,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,15
DA1005,DA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,7|8
DA1019,DA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,15|16
DA1036,DA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,23|24
DB1009,DB,2020,2021,2021,2022,YES,NO,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,11|12
DB1021,DB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,23|24
DB1051,DB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,50|51
DB1052,DB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,51|52
DB1208,DB,2020,2021,2021,2022,YES,NO,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,84|85
DB1221,DB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,94|95
DB1225,DB,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,98|99
DB1299,DB,2020,2021,2021,2022,YES,NO,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,163|164
DB1308,DB,2020,2021,2021,2022,YES,NO,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__L.E. DEER.pdf,172|173
DS6619,DS,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,14|522
EA1027,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,48|51
EA1028,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,49|52
EA1029,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,50|53
EA1037,EA,2020,2021,2021,2022,YES,NO,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,56|59
EA1092,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,90|93
EA1093,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,91|94
EA1102,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,97|100
EA1103,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,98|101
EA1104,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,99|102
EA1127,EA,2020,2021,2021,2022,NO,YES,2020/2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf|2020/2020_PERMITS=2021_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,114|118
