hunt_code,in_contract_2025,in_pdf_2025,coverage_status
BI1000,NO,YES,PDF_ONLY
BI6500,YES,YES,BOTH
BI6503,YES,YES,BOTH
BI6504,YES,YES,BOTH
BI6505,YES,YES,BOTH
BI6506,YES,YES,BOTH
BI6509,YES,YES,BOTH
BI6516,YES,YES,BOTH
BI6528,YES,YES,BOTH
BI6529,YES,YES,BOTH
BI6530,YES,NO,CONTRACT_ONLY
BI6531,YES,YES,BOTH
BI6532,YES,YES,BOTH
BI6534,YES,YES,BOTH
BI6535,YES,YES,BOTH
BI6536,YES,YES,BOTH
BI6537,YES,YES,BOTH
BR1000,NO,YES,PDF_ONLY
BR1008,YES,YES,BOTH
BR1009,YES,YES,BOTH
BR1010,YES,YES,BOTH
BR1011,YES,YES,BOTH
BR1012,YES,YES,BOTH
BR1013,YES,YES,BOTH
BR1015,YES,YES,BOTH
BR1016,YES,YES,BOTH
BR1017,YES,YES,BOTH
BR7000,YES,YES,BOTH
BR7001,YES,YES,BOTH
BR7003,YES,YES,BOTH
BR7004,YES,YES,BOTH
BR7005,YES,YES,BOTH
BR7007,YES,YES,BOTH
BR7008,YES,YES,BOTH
BR7009,YES,YES,BOTH
BR7010,YES,YES,BOTH
BR7011,YES,YES,BOTH
BR7012,YES,YES,BOTH
BR7013,YES,YES,BOTH
BR7014,YES,YES,BOTH
BR7015,YES,YES,BOTH
BR7016,YES,YES,BOTH
BR7017,YES,YES,BOTH
BR7018,YES,YES,BOTH
BR7019,YES,NO,CONTRACT_ONLY
BR7020,YES,YES,BOTH
BR7100,YES,YES,BOTH
BR7101,YES,YES,BOTH
BR7102,YES,YES,BOTH
BR7104,YES,YES,BOTH
BR7105,YES,YES,BOTH
BR7106,YES,YES,BOTH
BR7108,YES,YES,BOTH
BR7109,YES,YES,BOTH
BR7110,YES,YES,BOTH
BR7111,YES,YES,BOTH
BR7112,YES,YES,BOTH
BR7113,YES,YES,BOTH
BR7114,YES,YES,BOTH
BR7115,YES,YES,BOTH
BR7116,YES,YES,BOTH
BR7117,YES,YES,BOTH
BR7118,YES,YES,BOTH
BR7119,YES,YES,BOTH
BR7120,YES,YES,BOTH
BR7121,YES,YES,BOTH
BR7122,YES,YES,BOTH
BR7123,YES,YES,BOTH
BR7124,YES,YES,BOTH
BR7125,YES,YES,BOTH
BR7200,YES,YES,BOTH
BR7201,YES,YES,BOTH
BR7203,YES,YES,BOTH
BR7204,YES,YES,BOTH
BR7205,YES,YES,BOTH
BR7207,YES,YES,BOTH
BR7208,YES,YES,BOTH
BR7210,YES,YES,BOTH
BR7211,YES,YES,BOTH
BR7212,YES,YES,BOTH
BR7213,YES,YES,BOTH
BR7214,YES,YES,BOTH
BR7215,YES,YES,BOTH
BR7216,YES,YES,BOTH
BR7217,YES,YES,BOTH
BR7218,YES,YES,BOTH
BR7219,YES,YES,BOTH
BR7220,YES,YES,BOTH
BR7221,YES,YES,BOTH
BR7224,YES,YES,BOTH
BR7225,YES,YES,BOTH
BR7228,YES,YES,BOTH
BR7229,YES,YES,BOTH
BR7237,YES,YES,BOTH
BR7300,YES,YES,BOTH
BR7301,YES,YES,BOTH
BR7303,YES,YES,BOTH
BR7304,YES,YES,BOTH
BR7305,YES,YES,BOTH
BR7307,YES,YES,BOTH
BR7308,YES,YES,BOTH
BR7309,YES,YES,BOTH
BR7310,YES,YES,BOTH
BR7311,YES,YES,BOTH
BR7312,YES,YES,BOTH
BR7313,YES,YES,BOTH
BR7314,YES,YES,BOTH
BR7315,YES,YES,BOTH
BR7316,YES,YES,BOTH
BR7317,YES,YES,BOTH
BR7318,YES,YES,BOTH
BR7320,YES,YES,BOTH
BR7321,YES,YES,BOTH
BR7322,YES,YES,BOTH
BR7323,YES,YES,BOTH
BR7325,YES,YES,BOTH
DA1001,YES,YES,BOTH
DA1002,YES,YES,BOTH
DA1003,YES,YES,BOTH
DA1009,YES,YES,BOTH
DA1011,YES,YES,BOTH
DA1012,YES,YES,BOTH
DA1013,YES,YES,BOTH
DA1018,YES,YES,BOTH
DA1027,YES,YES,BOTH
DA1030,YES,YES,BOTH
DA1031,YES,YES,BOTH
DA1033,YES,YES,BOTH
DA1041,YES,YES,BOTH
DA1042,YES,YES,BOTH
DA1044,YES,NO,CONTRACT_ONLY
DA1045,YES,YES,BOTH
DA1046,YES,YES,BOTH
DA1047,YES,YES,BOTH
DA1048,YES,YES,BOTH
DA1049,YES,YES,BOTH
DA1050,YES,YES,BOTH
DB0007,NO,YES,PDF_ONLY
DB0008,YES,YES,BOTH
DB1000,YES,YES,BOTH
DB1001,YES,YES,BOTH
DB1002,YES,YES,BOTH
DB1003,YES,YES,BOTH
DB1004,YES,YES,BOTH
DB1005,YES,YES,BOTH
DB1006,YES,YES,BOTH
DB1007,YES,YES,BOTH
DB1008,YES,YES,BOTH
DB1009,YES,YES,BOTH
DB1010,YES,YES,BOTH
DB1011,YES,YES,BOTH
DB1012,YES,YES,BOTH
DB1013,YES,YES,BOTH
DB1014,YES,YES,BOTH
DB1015,YES,YES,BOTH
DB1016,YES,YES,BOTH
DB1017,YES,YES,BOTH
DB1018,YES,YES,BOTH
DB1019,YES,YES,BOTH
DB1020,YES,YES,BOTH
DB1022,YES,YES,BOTH
DB1023,YES,YES,BOTH
DB1024,YES,YES,BOTH
DB1025,YES,YES,BOTH
DB1026,YES,YES,BOTH
DB1028,YES,YES,BOTH
DB1029,YES,YES,BOTH
DB1030,YES,YES,BOTH
DB1031,YES,YES,BOTH
DB1032,YES,YES,BOTH
DB1033,YES,YES,BOTH
DB1034,YES,YES,BOTH
DB1036,YES,NO,CONTRACT_ONLY
DB1037,YES,YES,BOTH
DB1038,YES,YES,BOTH
DB1039,YES,YES,BOTH
DB1040,YES,YES,BOTH
DB1041,YES,YES,BOTH
DB1042,YES,YES,BOTH
DB1043,YES,YES,BOTH
DB1044,YES,YES,BOTH
DB1045,YES,YES,BOTH
DB1046,YES,YES,BOTH
DB1047,YES,YES,BOTH
DB1048,YES,YES,BOTH
DB1053,YES,YES,BOTH
DB1054,YES,YES,BOTH
DB1055,YES,YES,BOTH
DB1058,YES,YES,BOTH
DB1059,YES,NO,CONTRACT_ONLY
DB1065,YES,YES,BOTH
DB1073,YES,YES,BOTH
DB1074,YES,YES,BOTH
DB1077,YES,YES,BOTH
DB1078,YES,YES,BOTH
DB1079,YES,YES,BOTH
DB1080,YES,YES,BOTH
DB1081,YES,YES,BOTH
DB1082,YES,NO,CONTRACT_ONLY
DB1083,YES,YES,BOTH
DB1084,YES,YES,BOTH
DB1085,YES,YES,BOTH
DB1086,YES,YES,BOTH
DB1087,YES,YES,BOTH
DB1088,YES,NO,CONTRACT_ONLY
DB1089,YES,NO,CONTRACT_ONLY
DB1090,YES,YES,BOTH
DB1091,YES,YES,BOTH
DB1094,YES,NO,CONTRACT_ONLY
DB1100,YES,YES,BOTH
