hunt_code,hunt_name,species,sex_type,weapon,hunt_type,permits_2025_res,permits_2025_nr,permits_2025_total,database_allotment_2026_res,database_allotment_2026_nr,database_allotment_2026_total,recommended_2026_res,recommended_2026_nr,recommended_2026_total,allotment_vs_2025_status,recommended_vs_2025_status,permit_allotment_2026_source,permit_allotment_2026_status,recommended_winner_source,recommended_confidence,recommended_source_support_count,risk_classification,notes
BI1000,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,,,,,,1,,,1,RIGHT_BLANK,RIGHT_BLANK,2026_CURRENT_PERMIT_RECONCILIATION:UTAHDRAWS,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,UTAHDRAWS,MEDIUM_SINGLE_SOURCE,1,NO_2025_NUMERIC_MATCH,
BI6500,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,1,0,1,2,0,2,2,0,2,DIFFERS,DIFFERS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,HANUMBER,HIGH_CONFIRMED_2PLUS,3,NO_2025_NUMERIC_MATCH,
BI6503,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,4,1,5,4,2,6,4,2,6,DIFFERS,DIFFERS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,HANUMBER,REVIEW_SOURCE_CONFLICT,2,NO_2025_NUMERIC_MATCH,
BI6504,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,3,1,4,5,2,7,5,2,7,DIFFERS,DIFFERS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,HANUMBER,HIGH_CONFIRMED_2PLUS,3,NO_2025_NUMERIC_MATCH,
BI6505,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,1,1,2,8,3,11,8,3,11,DIFFERS,DIFFERS,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,HANUMBER,REVIEW_SOURCE_CONFLICT,1,NO_2025_NUMERIC_MATCH,
BI6506,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,1,1,2,11,0,11,11,0,11,DIFFERS,DIFFERS,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,HANUMBER,HIGH_CONFIRMED_2PLUS,2,NO_2025_NUMERIC_MATCH,
BI6509,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,2,1,3,5,0,5,5,0,5,DIFFERS,DIFFERS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,HANUMBER,HIGH_CONFIRMED_2PLUS,3,NO_2025_NUMERIC_MATCH,
BI6516,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2,1,3,6,0,6,6,0,6,DIFFERS,DIFFERS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,HANUMBER,HIGH_CONFIRMED_2PLUS,3,NO_2025_NUMERIC_MATCH,
BI6527,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,,,,,,,,,,BOTH_BLANK,BOTH_BLANK,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,NONE,NO_PERMIT_VALUE,0,NO_2025_NUMERIC_MATCH,
BI6528,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Archery,Once-in-a-lifetime,1,1,2,6,0,6,6,0,6,DIFFERS,DIFFERS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,HANUMBER,HIGH_CONFIRMED_2PLUS,3,NO_2025_NUMERIC_MATCH,
BI6529,"Book Cliffs, Little Creek/South",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,1,1,2,8,0,8,8,0,8,DIFFERS,DIFFERS,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,HANUMBER,HIGH_CONFIRMED_2PLUS,2,NO_2025_NUMERIC_MATCH,
BI6530,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,1,1,2,3,1,4,3,1,4,DIFFERS,DIFFERS,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,HANUMBER,MEDIUM_SINGLE_SOURCE,1,NO_2025_NUMERIC_MATCH,
BI6531,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2,1,3,10,0,10,10,0,10,DIFFERS,DIFFERS,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,HANUMBER,REVIEW_SOURCE_CONFLICT,2,NO_2025_NUMERIC_MATCH,
