boundary_geojson_path,row_refs,hunt_code_sample,local_status,local_reason,local_bytes,local_feature_count,local_is_lfs_pointer,live_status_code,live_content_type,live_status,live_reason,live_feature_count,live_is_lfs_pointer,live_url
"processed_data/boundaries/BR1015.geojson","1","BR1015","valid_geojson","feature_collection","6966","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR1015.geojson"
"processed_data/boundaries/BR1016.geojson","1","BR1016","valid_geojson","feature_collection","21648","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR1016.geojson"
"processed_data/boundaries/BR1017.geojson","1","BR1017","valid_geojson","feature_collection","11709","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR1017.geojson"
"processed_data/boundaries/BR1018.geojson","1","BR1018","valid_geojson","feature_collection","161796","19","false","200","application/geo+json","valid_geojson","feature_collection","19","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR1018.geojson"
"processed_data/boundaries/BR7000.geojson","1","BR7000","valid_geojson","feature_collection","6114","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7000.geojson"
"processed_data/boundaries/BR7001.geojson","1","BR7001","valid_geojson","feature_collection","9846","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7001.geojson"
"processed_data/boundaries/BR7003.geojson","1","BR7003","valid_geojson","feature_collection","5742","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7003.geojson"
"processed_data/boundaries/BR7004.geojson","1","BR7004","valid_geojson","feature_collection","7368","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7004.geojson"
"processed_data/boundaries/BR7005.geojson","1","BR7005","valid_geojson","feature_collection","4808","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7005.geojson"
"processed_data/boundaries/BR7007.geojson","1","BR7007","valid_geojson","feature_collection","3806","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7007.geojson"
"processed_data/boundaries/BR7009.geojson","1","BR7009","valid_geojson","feature_collection","5167","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7009.geojson"
"processed_data/boundaries/BR7010.geojson","1","BR7010","valid_geojson","feature_collection","5711","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7010.geojson"
"processed_data/boundaries/BR7011.geojson","1","BR7011","valid_geojson","feature_collection","9828","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7011.geojson"
"processed_data/boundaries/BR7012.geojson","1","BR7012","valid_geojson","feature_collection","20582","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7012.geojson"
"processed_data/boundaries/BR7013.geojson","1","BR7013","valid_geojson","feature_collection","9833","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7013.geojson"
"processed_data/boundaries/BR7014.geojson","1","BR7014","valid_geojson","feature_collection","21648","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7014.geojson"
"processed_data/boundaries/BR7015.geojson","1","BR7015","valid_geojson","feature_collection","15616","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7015.geojson"
"processed_data/boundaries/BR7016.geojson","1","BR7016","valid_geojson","feature_collection","9867","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7016.geojson"
"processed_data/boundaries/BR7017.geojson","1","BR7017","valid_geojson","feature_collection","5299","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7017.geojson"
"processed_data/boundaries/BR7018.geojson","1","BR7018","valid_geojson","feature_collection","12342","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7018.geojson"
"processed_data/boundaries/BR7020.geojson","1","BR7020","valid_geojson","feature_collection","3783","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7020.geojson"
"processed_data/boundaries/BR7021.geojson","1","BR7021","valid_geojson","feature_collection","3004","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7021.geojson"
"processed_data/boundaries/BR7022.geojson","1","BR7022","valid_geojson","feature_collection","13916","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7022.geojson"
"processed_data/boundaries/BR7100.geojson","1","BR7100","valid_geojson","feature_collection","6114","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7100.geojson"
"processed_data/boundaries/BR7101.geojson","1","BR7101","valid_geojson","feature_collection","9846","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7101.geojson"
"processed_data/boundaries/BR7102.geojson","1","BR7102","valid_geojson","feature_collection","3445","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7102.geojson"
"processed_data/boundaries/BR7104.geojson","1","BR7104","valid_geojson","feature_collection","5742","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7104.geojson"
"processed_data/boundaries/BR7105.geojson","1","BR7105","valid_geojson","feature_collection","7368","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7105.geojson"
"processed_data/boundaries/BR7106.geojson","1","BR7106","valid_geojson","feature_collection","4808","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7106.geojson"
"processed_data/boundaries/BR7109.geojson","1","BR7109","valid_geojson","feature_collection","5167","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7109.geojson"
"processed_data/boundaries/BR7110.geojson","1","BR7110","valid_geojson","feature_collection","9009","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7110.geojson"
"processed_data/boundaries/BR7111.geojson","1","BR7111","valid_geojson","feature_collection","7641","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7111.geojson"
"processed_data/boundaries/BR7112.geojson","1","BR7112","valid_geojson","feature_collection","5711","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7112.geojson"
"processed_data/boundaries/BR7113.geojson","1","BR7113","valid_geojson","feature_collection","9828","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7113.geojson"
"processed_data/boundaries/BR7114.geojson","1","BR7114","valid_geojson","feature_collection","20582","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7114.geojson"
"processed_data/boundaries/BR7115.geojson","1","BR7115","valid_geojson","feature_collection","9833","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7115.geojson"
"processed_data/boundaries/BR7116.geojson","1","BR7116","valid_geojson","feature_collection","21648","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7116.geojson"
"processed_data/boundaries/BR7117.geojson","1","BR7117","valid_geojson","feature_collection","15616","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7117.geojson"
"processed_data/boundaries/BR7118.geojson","1","BR7118","valid_geojson","feature_collection","18206","1","false","200","application/geo+json","valid_geojson","feature_collection","1","false","https://huntbuilder.uoga.org/processed_data/boundaries/BR7118.geojson"
