year_folder,draw_results_year,model_year,old_name,new_name,action_taken,reason
2018,2018,2019,2019 sportsman_odds.pdf,2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_antlerless_drawing_odds_report.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_bg-odds.pdf,2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_deer_odds.pdf,2019_PERMITS=2020_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_dh_odds.pdf,2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_drawing_odds.pdf,2019_PERMITS=2020_MODEL__BEAR DRAW RESULTS.pdf,RENAMED,exact legacy filename mapping
2019,2019,2020,19_lifetime_deer.pdf,2019_PERMITS=2020_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_youth_antlerless_drawing_odds_report.pdf,2019_PERMITS=2020_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_youth_bull_elk.pdf,2019_PERMITS=2020_MODEL__YOUTH ELK DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_youth_deer.pdf,2019_PERMITS=2020_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,19_youth_dh_odds.pdf,2019_PERMITS=2020_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,2019 Cougar draw odds report.pdf,2019_PERMITS=2020_MODEL__COUGAR DRAW RESULTS.pdf,RENAMED,legacy name mapping
2019,2019,2020,2019 sportsman_odds.pdf,2019_PERMITS=2020_MODEL__SPORTSMAN DRAW RESULTS.pdf,RENAMED,legacy name mapping
2021,2021,2022,2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2021_PERMITS=2022_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,RENAMED,legacy name mapping
2021,2021,2022,2021_PERMITS=2022_MODEL__L.E. DEER.pdf,2021_PERMITS=2022_MODEL__L.E. DEER DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__L.E. ELK.pdf,2021_PERMITS=2022_MODEL__L.E. ELK DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__L.E. PRONGHORN.pdf,2021_PERMITS=2022_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf,2021_PERMITS=2022_MODEL__O.I.L. BISON DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE.pdf,2021_PERMITS=2022_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,2021_PERMITS=2022_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__O.I.L. MTN GOAT.pdf,2021_PERMITS=2022_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2021,2021,2022,2021_PERMITS=2022_MODEL__O.I.L. ROCKY MTN SHEEP.pdf,2021_PERMITS=2022_MODEL__O.I.L. ROCKY MTN SHEEP DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2023_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,RENAMED,legacy name mapping
2023,2023,2024,2023_PERMITS=2024_MODEL__L.E. DEER.pdf,2023_PERMITS=2024_MODEL__L.E. DEER DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2024_MODEL__L.E. ELK.pdf,2023_PERMITS=2024_MODEL__L.E. ELK DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2024_MODEL__L.E. PRONGHORN.pdf,2023_PERMITS=2024_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2024_MODEL__O.I.L. BISON.pdf,2023_PERMITS=2024_MODEL__O.I.L. BISON DRAW RESULTS.pdf,RENAMED,canonical category cleanup
2023,2023,2024,2023_PERMITS=2024_MODEL__O.I.L. BULL MOOSE.pdf,2023_PERMITS=2024_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,RENAMED,canonical category cleanup
