hunt_code,prefix,present_report_year,first_missing_report_year,present_model_year,first_missing_model_year,reappears_later,permanent_through_2026,source_files_present_year,source_pages_present_year
BR7008,BR,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,18
BR7108,BR,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,36
BR7208,BR,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,60
BR7237,BR,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,77
BR7307,BR,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,83
DA1001,DA,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2
DA1002,DA,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,3
DA1003,DA,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,4
DA1009,DA,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,5
DA1011,DA,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,6
DA1012,DA,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,7
DA1013,DA,2025,2026,2026,2027,NO,YES,2025/2025_PERMITS=2026_MODEL__ANTLERLESS DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,8
