year_folder,draw_results_year,model_year,old_path,old_name,new_path,new_name,extension,status,action_taken,category,reason
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH D.H. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH D.H. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH ELK DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH ELK DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH ELK DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH ELK DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH ELK DRAW RESULTS,canonical category cleanup
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH G.S. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH G.S. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,ANTLERLESS DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,BEAR DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,COUGAR DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,D.H. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__FILE MANIFEST.csv,2020_PERMITS=2021_MODEL__FILE MANIFEST.csv,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__FILE MANIFEST.csv,2020_PERMITS=2021_MODEL__FILE MANIFEST.csv,.csv,ALREADY_NORMALIZED,NO_ACTION,FILE MANIFEST,already canonical sidecar
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__FILE MANIFEST.xlsx,2020_PERMITS=2021_MODEL__FILE MANIFEST.xlsx,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__FILE MANIFEST.xlsx,2020_PERMITS=2021_MODEL__FILE MANIFEST.xlsx,.xlsx,ALREADY_NORMALIZED,NO_ACTION,FILE MANIFEST,already canonical sidecar
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__FILE NOTES.md,2020_PERMITS=2021_MODEL__FILE NOTES.md,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__FILE NOTES.md,2020_PERMITS=2021_MODEL__FILE NOTES.md,.md,ALREADY_NORMALIZED,NO_ACTION,FILE NOTES,already canonical sidecar
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,G.S. BUCK DEER DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,L.E DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,L.E. BIG GAME DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,L.E. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. ELK DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. ELK DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. ELK DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. ELK DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,L.E. ELK DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__L.E. PRONGHORN DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,L.E. PRONGHORN DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,LIFETIME G.S. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__NORMALIZED_TO_2025_STYLE.zip,2020_PERMITS=2021_MODEL__NORMALIZED_TO_2025_STYLE.zip,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__NORMALIZED_TO_2025_STYLE.zip,2020_PERMITS=2021_MODEL__NORMALIZED_TO_2025_STYLE.zip,.zip,ALREADY_NORMALIZED,NO_ACTION,NORMALIZED_TO_2025_STYLE,normalized zip archive
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,O.I.L. BISON DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. BULL MOOSE DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,O.I.L. BULL MOOSE DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS.pdf,.pdf,REVIEW_TARGET_EXISTS,NO_ACTION,O.I.L. DESERT BIGHORN SHEEP DRAW RESULTS,canonical category cleanup
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,O.I.L. DRAW RESULTS,already normalized naming structure with non-reference category
2020,2020,2021,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,2020_PERMITS=2021_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,O.I.L. MTN GOAT DRAW RESULTS,already normalized naming structure with non-reference category
