"key","path","canonical_url","expected_size_bytes","http_status","content_length","ok","used_by_frontend","served_live","error"
"builder_display_boundary_index_2026_json","processed_data/display-boundary-index-2026.json","https://json.uoga.workers.dev/processed_data/display-boundary-index-2026.json","869897","200","869897","True","True","True",""
"builder_composite_boundaries_2026_geojson","processed_data/statewide_composite_boundaries_2026.geojson","https://json.uoga.workers.dev/processed_data/statewide_composite_boundaries_2026.geojson","87146863","200","87146863","True","True","True",""
"builder_composite_hunt_unit_mapping_2026_geojson","processed_data/composite_hunt_unit_mapping_2026.geojson","https://json.uoga.workers.dev/processed_data/composite_hunt_unit_mapping_2026.geojson","54914353","200","54914353","True","False","True",""
"research_hunt_research_2026_json","processed_data/hunt_research_2026.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026.json","261257548","200","261257548","True","True","True",""
"research_hunt_research_2026_summary_json","processed_data/hunt_research_2026_summary.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_summary.json","10526532","200","10526532","True","True","True",""
"research_hunt_research_2026_ladder_json","processed_data/hunt_research_2026_ladder.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_ladder.json","261257548","200","261257548","True","True","True",""
"research_hunt_research_2026_ladder_preference_json","processed_data/hunt_research_2026_ladder_preference.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_ladder_preference.json","54031489","200","54031489","True","False","True",""
"research_hunt_research_2026_ladder_bonus_max_random_json","processed_data/hunt_research_2026_ladder_bonus_max_random.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_ladder_bonus_max_random.json","124523941","200","124523941","True","False","True",""
"research_hunt_research_2026_split_index_json","processed_data/hunt_research_2026_split/hunt_research_2026.index.json","https://json.uoga.workers.dev/processed_data/hunt_research_2026_split/hunt_research_2026.index.json","998272","200","998272","True","False","True",""
"research_draw_reality_engine_csv","processed_data/draw_reality_engine.csv","https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv","24489639","200","24489639","True","True","True",""
"research_draw_reality_engine_v2_csv","processed_data/draw_reality_engine_v2.csv","https://json.uoga.workers.dev/processed_data/draw_reality_engine_v2.csv","44863034","200","44863034","True","True","True",""
"research_draw_reality_engine_predictive_v2_csv","processed_data/draw_reality_engine_predictive_v2.csv","https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv","24507137","200","24507137","True","True","True",""
"research_point_ladder_view_csv","processed_data/point_ladder_view.csv","https://json.uoga.workers.dev/processed_data/point_ladder_view.csv","140384382","200","140384382","True","True","True",""
"research_hunt_master_enriched_csv","processed_data/hunt_master_enriched.csv","https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv","51769837","200","51769837","True","True","True",""
"research_hunt_unit_reference_linked_csv","processed_data/hunt_unit_reference_linked.csv","https://json.uoga.workers.dev/processed_data/hunt_unit_reference_linked.csv","2468703","200","2468703","True","True","True",""
"public_contract_hunt_odds_history_json","processed_data/public_contracts/hunt_odds_history.json","https://json.uoga.workers.dev/processed_data/public_contracts/hunt_odds_history.json","113951774","200","113951774","True","False","False",""
"runtime_ml_draw_predictions_v1_csv","processed_data/ml_draw_predictions_v1.csv","https://json.uoga.workers.dev/processed_data/ml_draw_predictions_v1.csv","47072089","200","47072089","True","False","True",""
"runtime_draw_reality_view_csv","processed_data/draw_reality_view.csv","https://json.uoga.workers.dev/processed_data/draw_reality_view.csv","14072342","200","14072342","True","False","True",""
