draw_results_year,permit_draw_year,report_year,model_year,hunt_code,prefix,source_appearance_count,source_file_count,source_files,source_report_families,source_pages,source_hunt_titles,combined_total_permits_values,current_database_match_statuses,name_match_statuses,totals_parse_statuses,lifecycle_classes,normalization_notes,duplicate_source_files,conflicting_source_names,conflicting_total_permits,crosscheck_status
2025,2025,2025,2026,BI6532,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,12|47|545,"Bison Archery (hunter’s Choice) - Book Cliffs, Bitter Creek - Archery",5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6534,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,13|48|546,"Bison (hunter’s Choice) - Book Cliffs, Bitter Creek - Any Legal Weapon",5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6535,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,14|49|547,"Bison (hunter’s Choice) - Book Cliffs, Bitter Creek - Any Legal Weapon",5,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6536,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,15|50|548,"Bison (cow Only) - Book Cliffs, Bitter Creek - Any Legal Weapon",2,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BI6537,BI,3,3,2025/2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT DRAW RESULTS.pdf|2025/2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf,LIMITED_ENTRY|ONCE_IN_A_LIFETIME,16|51|549,"Bison (hunter’s Choice) - Book Cliffs, Little Creek/south - Any Legal Weapon",10,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,YES,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR1009,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,4,La Sal - Pursuit,15,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR1010,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,5,San Juan - Pursuit,15,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR1012,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,7,La Sal - Pursuit,15,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR1013,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,8,San Juan - Pursuit,15,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
2025,2025,2025,2026,BR1016,BR,1,1,2025/2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,BEAR,10,San Juan - Pursuit,2,EXACT_CODE_IN_DATABASE,REVIEW_NAME_DIFFERENCE,OK,ACTIVE_IN_2026,,NO,NO,NO,REVIEW_CURRENT_DATABASE_NAME_DIFFERENCE
