hunt_code,hunt_name,species,sex_type,hunt_type,universe_status,delete_recommendation,successor_hunt_code,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_status,notes
BI1000,Bison - Statewide Permit,Bison,Hunters Choice,Statewide,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
BI6500,Antelope Island,Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,2.0,0.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6503,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,4.0,2.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6504,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,2.0,7,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6505,Henry Mtns,Bison,Female Only,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,8.0,3.0,11,RAC_CURRENT_YEAR_SPLIT,Included in active 2026 permit reconciliation union.
BI6506,Henry Mtns,Bison,Female Only,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,11.0,0.0,11,RAC_CURRENT_YEAR_SPLIT,Included in active 2026 permit reconciliation union.
BI6509,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,5.0,0.0,5,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6516,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6527,Nine Mile,Bison,Hunters Choice,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,,NO_QUOTA_PUBLISHED,Included in active 2026 permit reconciliation union.
BI6528,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6529,"Book Cliffs, Little Creek/South",Bison,Female Only,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,8.0,0.0,8,RAC_CURRENT_YEAR_SPLIT,Included in active 2026 permit reconciliation union.
BI6530,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,3.0,1.0,4,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,Included in active 2026 permit reconciliation union.
BI6531,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,10.0,0.0,10,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6532,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,6.0,0.0,6,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6534,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,10.0,0.0,10,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6535,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,8.0,0.0,8,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6536,"Book Cliffs, Bitter Creek",Bison,Female Only,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,15.0,0.0,15,RAC_CURRENT_YEAR_SPLIT,Included in active 2026 permit reconciliation union.
BI6537,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,8.0,7.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BI6538,"Nine Mile, Private Lands Only",Bison,Hunters Choice,General Season,ACTIVE_RECONCILIATION_ROW,KEEP,,,,,NO_QUOTA_PUBLISHED,Included in active 2026 permit reconciliation union.
BI6539,Henry Mtns,Bison,Female Only,Once-in-a-lifetime,ACTIVE_RECONCILIATION_ROW,KEEP,,11.0,0.0,11,RAC_CURRENT_YEAR_SPLIT,Included in active 2026 permit reconciliation union.
BR1000,Black Bear - Statewide Permit,Black Bear,Either Sex,Statewide,ACTIVE_RECONCILIATION_ROW,KEEP,,,,1,RECONCILED_2026_RECOMMENDED_TOTAL_ONLY,Included in active 2026 permit reconciliation union.
BR1001,Black Bear Harvest Objective Units,Black Bear,Either Sex,Harvest Objective,ACTIVE_RECONCILIATION_ROW,KEEP,,,,,,Included in active 2026 permit reconciliation union.
BR1007,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit,ACTIVE_RECONCILIATION_ROW,KEEP,,,,,,Included in active 2026 permit reconciliation union.
BR1008,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,26.0,2.0,28,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1009,La Sal,Black Bear,Either Sex,Restricted Pursuit - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,14.0,1.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1010,San Juan,Black Bear,Either Sex,Restricted Pursuit - Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,14.0,1.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1011,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Late Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,26.0,2.0,28,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1012,La Sal,Black Bear,Either Sex,Restricted Pursuit - Late Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,14.0,1.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1013,San Juan,Black Bear,Either Sex,Restricted Pursuit - Late Summer,ACTIVE_RECONCILIATION_ROW,KEEP,,14.0,1.0,15,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1015,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,0.0,2.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
BR1016,San Juan,Black Bear,Either Sex,Restricted Pursuit - Spring,ACTIVE_RECONCILIATION_ROW,KEEP,,0.0,2.0,2,LIVE_DWR_RES_NR_SPLIT,Included in active 2026 permit reconciliation union.
