file,boundary_id,hunt_code_count,hunt_codes
10003.geojson,10003,1,DS6625
175.geojson,175,30,BR1000;BR1001;BR1007;BR1018;BR7013;BR7115;BR7216;BR7311;EA1078;EA1221;EA1270;EB1000;EB1003;EB1004;EB1005;EB1009;EB1011;EB3018;EB3063;EB3064;EB3065;EB3096;EB3120;EB3192;EL3018;EL3063;EL3064;EL3065;EL3096;EL3192
29.geojson,29,14,CG9999;DB1078;DB1502;DB1627;DB1628;DB1771;EA1267;EA2027;EA2041;LO1502;LO1627;LO1628;MB1000;MB6000
5000.geojson,5000,1,BI1000
5001.geojson,5001,1,BR1000
5002.geojson,5002,1,BR1001
5003.geojson,5003,1,BR1007
5013.geojson,5013,1,BR1018
5053.geojson,5053,1,BR7123
5079.geojson,5079,1,BR7229
51.geojson,51,22,EA1220;EA1271;EA2011;EB1000;EB1003;EB1004;EB1005;EB1009;EB1011;EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172;EL3006;EL3038;EL3039;EL3084;EL3126;EL3172
5101.geojson,5101,1,BR7321
5107.geojson,5107,1,CG9999
5108.geojson,5108,1,DB0007
5109.geojson,5109,1,DB0008
5110.geojson,5110,1,DS1000
5111.geojson,5111,1,EA1180
5112.geojson,5112,1,EA1220
5113.geojson,5113,1,EA1258
5114.geojson,5114,1,EA1270
5115.geojson,5115,1,EA1271
5116.geojson,5116,1,EA2000
5117.geojson,5117,1,EA2041
5118.geojson,5118,1,EA2045
5119.geojson,5119,1,EB1000
5120.geojson,5120,1,EB1001
5121.geojson,5121,1,EB1002
5122.geojson,5122,1,EB1003
5123.geojson,5123,1,EB1004
5124.geojson,5124,1,EB1005
5125.geojson,5125,1,EB1007
5126.geojson,5126,1,EB1009
5127.geojson,5127,1,EB1010
5128.geojson,5128,1,EB1011
5129.geojson,5129,1,EB3209
5130.geojson,5130,1,EX1000
5131.geojson,5131,1,GO1000
5133.geojson,5133,1,MB1000
5134.geojson,5134,1,PB1000
5135.geojson,5135,1,RS0001
5136.geojson,5136,1,TK1001
5137.geojson,5137,1,TK1019
5138.geojson,5138,1,TK1022
5141.geojson,5141,1,DS1003
5145.geojson,5145,1,EA1221
683.geojson,683,3,CG9999;EB1000;EB3209
684.geojson,684,13,BR1000;BR1007;BR1009;BR1012;BR1017;BR7008;BR7108;BR7208;BR7226;BR7307;CG9999;EA1180;EA1258
