path,lfs_tracked,local_real_file_present,live_runtime_used,public_download_used,canonical_source,recommended_action,notes
Git LFS/git-lfs.exe,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*
Git LFS/unins000.exe,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*
data_model/runtime_drafts/mixed_predictive_engine_2026.audit.csv,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,GENERATED_REFERENCE_ONLY; lfs_status=*
data_model/runtime_drafts/mixed_predictive_engine_2026.materialized.csv,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,GENERATED_REFERENCE_ONLY; lfs_status=*
data_model/runtime_drafts/mixed_predictive_engine_2026.predictions.csv,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,GENERATED_REFERENCE_ONLY; lfs_status=*
data_truth/draw_results_truth/normalized/draw_results_long.csv,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,GENERATED_REFERENCE_ONLY; lfs_status=*; manifest_key=truth_draw_results_long_csv; manifest_used_by_frontend=False; manifest_canonical_url=None
processed_data/backups/current_year_allotment_overlay_20260523_071315/point_ladder_view.csv,YES,YES,NO,NO,LEGACY_TO_REMOVE,KEEP_REFERENCE_ONLY,OBSOLETE_OR_LEGACY; lfs_status=*
processed_data/backups/permit_allocations_2026_20260510_160357/processed_data/point_ladder_view.csv,YES,YES,NO,NO,LEGACY_TO_REMOVE,KEEP_REFERENCE_ONLY,OBSOLETE_OR_LEGACY; lfs_status=*
processed_data/backups/permit_allocations_2026_20260523_082859/processed_data/point_ladder_view.csv,YES,YES,NO,NO,LEGACY_TO_REMOVE,KEEP_REFERENCE_ONLY,OBSOLETE_OR_LEGACY; lfs_status=*
processed_data/composite_hunt_unit_mapping_2026.geojson,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*; manifest_key=builder_composite_hunt_unit_mapping_2026_geojson; manifest_used_by_frontend=False; manifest_canonical_url=https://json.uoga.workers.dev/processed_data/composite_hunt_unit_mapping_2026.geojson
processed_data/draw_reality_engine.csv,YES,YES,YES,NO,CLOUDFLARE_R2_PUBLIC,SERVE_FROM_R2,LIVE_RUNTIME_REQUIRED; lfs_status=*; manifest_key=research_draw_reality_engine_csv; manifest_used_by_frontend=True; manifest_canonical_url=https://json.uoga.workers.dev/processed_data/draw_reality_engine.csv
processed_data/draw_reality_engine_backup_before_2024_import.csv,YES,YES,NO,NO,LEGACY_TO_REMOVE,KEEP_REFERENCE_ONLY,OBSOLETE_OR_LEGACY; lfs_status=*; manifest_key=reference_draw_reality_engine_backup_before_2024_import_csv; manifest_used_by_frontend=False; manifest_canonical_url=None
processed_data/draw_reality_engine_predictive_v2.csv,YES,NO,YES,NO,CLOUDFLARE_R2_PUBLIC,SERVE_FROM_R2,LIVE_RUNTIME_REQUIRED; lfs_status=-; manifest_key=research_draw_reality_engine_predictive_v2_csv; manifest_used_by_frontend=True; manifest_canonical_url=https://json.uoga.workers.dev/processed_data/draw_reality_engine_predictive_v2.csv; local_lfs_pointer_payload
processed_data/draw_system_coverage_report.csv,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*; manifest_key=internal_draw_system_coverage_report_csv; manifest_used_by_frontend=False; manifest_canonical_url=None
processed_data/hunt_master_enriched.csv,YES,NO,YES,NO,CLOUDFLARE_R2_PUBLIC,SERVE_FROM_R2,LIVE_RUNTIME_REQUIRED; lfs_status=-; manifest_key=research_hunt_master_enriched_csv; manifest_used_by_frontend=True; manifest_canonical_url=https://json.uoga.workers.dev/processed_data/hunt_master_enriched.csv; local_lfs_pointer_payload
processed_data/hunt_truth_from_json.sqlite,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*; manifest_key=internal_hunt_truth_sqlite; manifest_used_by_frontend=False; manifest_canonical_url=None
processed_data/ml_draw_predictions_v1.csv,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*; manifest_key=runtime_ml_draw_predictions_v1_csv; manifest_used_by_frontend=False; manifest_canonical_url=None
processed_data/public_contracts/hunt_odds_history.json,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*; manifest_key=public_contract_hunt_odds_history_json; manifest_used_by_frontend=False; manifest_canonical_url=https://json.uoga.workers.dev/processed_data/public_contracts/hunt_odds_history.json
processed_data/statewide_composite_boundaries_2026.geojson,YES,YES,YES,NO,CLOUDFLARE_R2_PUBLIC,SERVE_FROM_R2,LIVE_RUNTIME_REQUIRED; lfs_status=*; manifest_key=builder_composite_boundaries_2026_geojson; manifest_used_by_frontend=True; manifest_canonical_url=https://json.uoga.workers.dev/processed_data/statewide_composite_boundaries_2026.geojson
processed_data/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson,YES,YES,NO,NO,LOCAL_REFERENCE_ONLY,KEEP_REFERENCE_ONLY,INTERNAL_REFERENCE_ONLY; lfs_status=*; manifest_key=builder_composite_boundaries_2026_final_locked_geojson; manifest_used_by_frontend=False; manifest_canonical_url=None
