hunt_code,hunt_name,species,confidence,candidate_source_hunt_code,before_permits_2025_res,before_permits_2025_nr,before_permits_2025_total,before_permits_2025_source,after_permits_2025_res,after_permits_2025_nr,after_permits_2025_total,after_permits_2025_source
LO1502,Cache,Deer,MEDIUM,DB1502,,,,,383.0,27.0,410.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1600,Chalk Creek,Deer,MEDIUM,DB1600,,,,,235.0,9.0,244.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1602,Chalk Creek,Deer,MEDIUM,DB1602,,,,,134.0,1.0,135.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1610,Morgan-South Rich,Deer,MEDIUM,DB1610,,,,,78.0,1.0,79.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1604,East Canyon,Deer,MEDIUM,DB1604,,,,,163.0,4.0,167.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1606,East Canyon,Deer,MEDIUM,DB1606,,,,,82.0,4.0,86.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1518,Boulder/Kaiparowits,Deer,MEDIUM,DB1518,,,,,136.0,14.0,150.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1501,Box Elder,Deer,MEDIUM,DB1501,,,,,338.0,34.0,372.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1561,Box Elder,Deer,MEDIUM,DB1561,,,,,377.0,11.0,388.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1514,Ogden,Deer,MEDIUM,DB1514,,,,,146.0,13.0,159.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1508,Kamas,Deer,MEDIUM,DB1508,,,,,103.0,4.0,107.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1513,North Slope,Deer,MEDIUM,DB1513,,,,,209.0,30.0,239.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1573,North Slope,Deer,MEDIUM,DB1573,,,,,210.0,12.0,222.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1523,Yellowstone,Deer,MEDIUM,DB1523,,,,,100.0,7.0,107.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1522,Vernal/Bonanza,Deer,MEDIUM,DB1522,,,,,136.0,12.0,148.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1582,Vernal/Bonanza,Deer,MEDIUM,DB1582,,,,,59.0,5.0,64.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1512,Nine Mile,Deer,MEDIUM,DB1512,,,,,132.0,12.0,144.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1572,Nine Mile,Deer,MEDIUM,DB1572,,,,,98.0,6.0,104.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1504,Nebo,Deer,MEDIUM,DB1504,,,,,534.0,22.0,556.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1569,"La Sal, La Sal Mtns",Deer,MEDIUM,DB1569,,,,,132.0,8.0,140.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1581,"San Juan, Abajo Mtns",Deer,MEDIUM,DB1581,,,,,156.0,25.0,181.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1563,Manti/San Rafael,Deer,MEDIUM,DB1563,,,,,690.0,73.0,763.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1586,"Wasatch Mtns, West",Deer,MEDIUM,DB1586,,,,,448.0,15.0,463.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1585,"Wasatch Mtns, East",Deer,MEDIUM,DB1585,,,,,411.0,28.0,439.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1524,Southwest Desert,Deer,MEDIUM,DB1524,,,,,31.0,6.0,37.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1584,Southwest Desert,Deer,MEDIUM,DB1584,,,,,37.0,4.0,41.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1510,Monroe,Deer,MEDIUM,DB1510,,,,,76.0,10.0,86.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1511,Mt Dutton,Deer,MEDIUM,DB1511,,,,,23.0,2.0,25.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1571,Mt Dutton,Deer,MEDIUM,DB1571,,,,,26.0,3.0,29.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1519,Fishlake,Deer,MEDIUM,DB1519,,,,,89.0,8.0,97.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1516,Panguitch Lake,Deer,MEDIUM,DB1516,,,,,167.0,14.0,181.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1576,Panguitch Lake,Deer,MEDIUM,DB1576,,,,,104.0,18.0,122.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1529,Zion,Deer,MEDIUM,DB1529,,,,,253.0,25.0,278.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1517,Pine Valley,Deer,MEDIUM,DB1517,,,,,198.0,22.0,220.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1577,Pine Valley,Deer,MEDIUM,DB1577,,,,,179.0,16.0,195.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
LO1506,Fillmore,Deer,MEDIUM,DB1506,,,,,188.0,13.0,201.0,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING_MEDIUM_APPROVED
