hunt_code,report_year,model_year,source_kind,source_file,source_page
BI1000,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,1
BI6500,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,492
BI6500,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,2
BI6503,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,493
BI6503,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,3
BI6504,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,494
BI6504,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,4
BI6505,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,495
BI6505,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,5
BI6506,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,496
BI6506,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,6
BI6507,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,497
BI6507,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,7
BI6509,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,498
BI6509,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,8
BI6515,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,499
BI6515,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,9
BI6516,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,500
BI6516,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,10
BI6517,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,501
BI6517,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,11
BI6519,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,502
BI6519,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,12
BI6520,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,503
BI6520,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf,13
BI6521,2020,2021,COMPREHENSIVE_ZIP_PDF,2020/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,504
