hunt_code,prefix,first_seen_year,last_seen_year,years_seen,observed_year_count,missing_years_between_first_last,drop_off_after_year,absent_in_2026,status,source_kinds_by_year,source_files_by_year,source_pages_by_year
ATK0001,ATK,2022,2024,2022|2023|2024,3,,2024,YES,DROPPED_BEFORE_2026,"{""2022"": [""BIBLE_HUNT_CODES""], ""2023"": [""BIBLE_HUNT_CODES""], ""2024"": [""BIBLE_HUNT_CODES""]}","{""2022"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf""], ""2023"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2024_MODEL__SPORTSMAN DRAW RESULTS.pdf""], ""2024"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2025_MODEL__SPORTSMAN DRAW RESULTS.pdf""]}","{""2022"": [""1""], ""2023"": [""1""], ""2024"": [""1""]}"
BI1000,BI,2018,2026,2018|2019|2020|2021|2026,5,2022|2023|2024|2025,,NO,ACTIVE_2026_WITH_HISTORICAL_GAPS,"{""2018"": [""BIBLE_HUNT_CODES""], ""2019"": [""BIBLE_HUNT_CODES""], ""2020"": [""BIBLE_HUNT_CODES""], ""2021"": [""BIBLE_HUNT_CODES""], ""2026"": [""GENERATED_UTAHDRAWS_2026""]}","{""2018"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2018\\2019 sportsman_odds.pdf""], ""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\2019 sportsman_odds.pdf""], ""2020"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf""], ""2021"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf""], ""2026"": [""C:\\Users\\tyler\\Desktop\\GitHub\\HUNT-BUILDER\\pipeline\\RAW\\hunt_unit_database\\2026\\exports\\utahdraws_draw_odds_20260603\\official_style\\pdf_2025_naming_convention\\2026_PERMITS=2027_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf""]}","{""2018"": [""1""], ""2019"": [""1""], ""2020"": [""1""], ""2021"": [""1""], ""2026"": [""5""]}"
BI6500,BI,2019,2026,2019|2020|2021|2022|2023|2024|2025|2026,8,,,NO,ACTIVE_2026,"{""2019"": [""BIBLE_HUNT_CODES""], ""2020"": [""BIBLE_HUNT_CODES""], ""2021"": [""BIBLE_HUNT_CODES""], ""2022"": [""BIBLE_HUNT_CODES""], ""2023"": [""BIBLE_HUNT_CODES""], ""2024"": [""BIBLE_HUNT_CODES""], ""2025"": [""BIBLE_HUNT_CODES""], ""2026"": [""GENERATED_UTAHDRAWS_2026""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""], ""2020"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf""], ""2021"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf""], ""2022"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf""], ""2023"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2024_MODEL__O.I.L. BISON.pdf""], ""2024"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2025_MODEL__O.I.L. BISON.pdf""], ""2025"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf""], ""2026"": [""C:\\Users\\tyler\\Desktop\\GitHub\\HUNT-BUILDER\\pipeline\\RAW\\hunt_unit_database\\2026\\exports\\utahdraws_draw_odds_20260603\\official_style\\pdf_2025_naming_convention\\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf""]}","{""2019"": [""488""], ""2020"": [""2"", ""492""], ""2021"": [""2"", ""499""], ""2022"": [""2"", ""507""], ""2023"": [""2"", ""491""], ""2024"": [""2"", ""482""], ""2025"": [""2"", ""37"", ""535""], ""2026"": [""2""]}"
BI6501,BI,2019,2019,2019,1,,2019,YES,DROPPED_BEFORE_2026,"{""2019"": [""BIBLE_HUNT_CODES""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""]}","{""2019"": [""489""]}"
BI6503,BI,2019,2026,2019|2020|2021|2022|2023|2024|2025|2026,8,,,NO,ACTIVE_2026,"{""2019"": [""BIBLE_HUNT_CODES""], ""2020"": [""BIBLE_HUNT_CODES""], ""2021"": [""BIBLE_HUNT_CODES""], ""2022"": [""BIBLE_HUNT_CODES""], ""2023"": [""BIBLE_HUNT_CODES""], ""2024"": [""BIBLE_HUNT_CODES""], ""2025"": [""BIBLE_HUNT_CODES""], ""2026"": [""GENERATED_UTAHDRAWS_2026""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""], ""2020"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf""], ""2021"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf""], ""2022"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf""], ""2023"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2024_MODEL__O.I.L. BISON.pdf""], ""2024"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2025_MODEL__O.I.L. BISON.pdf""], ""2025"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf""], ""2026"": [""C:\\Users\\tyler\\Desktop\\GitHub\\HUNT-BUILDER\\pipeline\\RAW\\hunt_unit_database\\2026\\exports\\utahdraws_draw_odds_20260603\\official_style\\pdf_2025_naming_convention\\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf""]}","{""2019"": [""490""], ""2020"": [""3"", ""493""], ""2021"": [""3"", ""500""], ""2022"": [""3"", ""508""], ""2023"": [""3"", ""492""], ""2024"": [""3"", ""483""], ""2025"": [""3"", ""38"", ""536""], ""2026"": [""3""]}"
BI6504,BI,2019,2026,2019|2020|2021|2022|2023|2024|2025|2026,8,,,NO,ACTIVE_2026,"{""2019"": [""BIBLE_HUNT_CODES""], ""2020"": [""BIBLE_HUNT_CODES""], ""2021"": [""BIBLE_HUNT_CODES""], ""2022"": [""BIBLE_HUNT_CODES""], ""2023"": [""BIBLE_HUNT_CODES""], ""2024"": [""BIBLE_HUNT_CODES""], ""2025"": [""BIBLE_HUNT_CODES""], ""2026"": [""GENERATED_UTAHDRAWS_2026""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""], ""2020"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf""], ""2021"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf""], ""2022"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf""], ""2023"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2024_MODEL__O.I.L. BISON.pdf""], ""2024"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2025_MODEL__O.I.L. BISON.pdf""], ""2025"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf""], ""2026"": [""C:\\Users\\tyler\\Desktop\\GitHub\\HUNT-BUILDER\\pipeline\\RAW\\hunt_unit_database\\2026\\exports\\utahdraws_draw_odds_20260603\\official_style\\pdf_2025_naming_convention\\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf""]}","{""2019"": [""491""], ""2020"": [""4"", ""494""], ""2021"": [""4"", ""501""], ""2022"": [""4"", ""509""], ""2023"": [""4"", ""493""], ""2024"": [""4"", ""484""], ""2025"": [""4"", ""39"", ""537""], ""2026"": [""4""]}"
BI6505,BI,2019,2026,2019|2020|2021|2022|2023|2024|2025|2026,8,,,NO,ACTIVE_2026,"{""2019"": [""BIBLE_HUNT_CODES""], ""2020"": [""BIBLE_HUNT_CODES""], ""2021"": [""BIBLE_HUNT_CODES""], ""2022"": [""BIBLE_HUNT_CODES""], ""2023"": [""BIBLE_HUNT_CODES""], ""2024"": [""BIBLE_HUNT_CODES""], ""2025"": [""BIBLE_HUNT_CODES""], ""2026"": [""GENERATED_UTAHDRAWS_2026""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""], ""2020"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf""], ""2021"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf""], ""2022"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf""], ""2023"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2024_MODEL__O.I.L. BISON.pdf""], ""2024"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2025_MODEL__O.I.L. BISON.pdf""], ""2025"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf""], ""2026"": [""C:\\Users\\tyler\\Desktop\\GitHub\\HUNT-BUILDER\\pipeline\\RAW\\hunt_unit_database\\2026\\exports\\utahdraws_draw_odds_20260603\\official_style\\pdf_2025_naming_convention\\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf""]}","{""2019"": [""492""], ""2020"": [""5"", ""495""], ""2021"": [""5"", ""502""], ""2022"": [""5"", ""510""], ""2023"": [""5"", ""494""], ""2024"": [""5"", ""485""], ""2025"": [""5"", ""40"", ""538""], ""2026"": [""5""]}"
BI6506,BI,2019,2026,2019|2020|2021|2022|2023|2024|2025|2026,8,,,NO,ACTIVE_2026,"{""2019"": [""BIBLE_HUNT_CODES""], ""2020"": [""BIBLE_HUNT_CODES""], ""2021"": [""BIBLE_HUNT_CODES""], ""2022"": [""BIBLE_HUNT_CODES""], ""2023"": [""BIBLE_HUNT_CODES""], ""2024"": [""BIBLE_HUNT_CODES""], ""2025"": [""BIBLE_HUNT_CODES""], ""2026"": [""GENERATED_UTAHDRAWS_2026""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""], ""2020"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf""], ""2021"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2021\\2021_PERMITS=2022_MODEL__O.I.L. BISON.pdf""], ""2022"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2022\\2022_PERMITS=2023_MODEL__O.I.L. BISON.pdf""], ""2023"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2023_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2023\\2023_PERMITS=2024_MODEL__O.I.L. BISON.pdf""], ""2024"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2024_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2024\\2024_PERMITS=2025_MODEL__O.I.L. BISON.pdf""], ""2025"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__O.I.L. MTN GOAT.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2025\\2025_PERMITS=2026_MODEL__OIL DRAW RESULTS.pdf""], ""2026"": [""C:\\Users\\tyler\\Desktop\\GitHub\\HUNT-BUILDER\\pipeline\\RAW\\hunt_unit_database\\2026\\exports\\utahdraws_draw_odds_20260603\\official_style\\pdf_2025_naming_convention\\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf""]}","{""2019"": [""493""], ""2020"": [""6"", ""496""], ""2021"": [""6"", ""503""], ""2022"": [""6"", ""511""], ""2023"": [""6"", ""495""], ""2024"": [""6"", ""486""], ""2025"": [""6"", ""41"", ""539""], ""2026"": [""6""]}"
BI6507,BI,2019,2020,2019|2020,2,,2020,YES,DROPPED_BEFORE_2026,"{""2019"": [""BIBLE_HUNT_CODES""], ""2020"": [""BIBLE_HUNT_CODES""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""], ""2020"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf"", ""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2020\\2020_PERMITS=2021_MODEL__O.I.L. BISON.pdf""]}","{""2019"": [""494""], ""2020"": [""7"", ""497""]}"
BI6508,BI,2019,2019,2019,1,,2019,YES,DROPPED_BEFORE_2026,"{""2019"": [""BIBLE_HUNT_CODES""]}","{""2019"": [""C:\\Users\\tyler\\Desktop\\BIBLE HUNT CODES\\2019\\19_bg-odds.pdf""]}","{""2019"": [""495""]}"
