hunt_code,prefix,first_seen_report_year,last_seen_report_year,observed_years,gap_years_likely_continued,terminal_absent_years_through_2026,gap_count,terminal_absent_year_count,active_in_2026,lifecycle_interpretation
BR7016,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7017,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7018,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7019,BR,2022,2024,2022|2023|2024,,2025|2026,0,2,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7020,BR,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7021,BR,2026,2026,2026,,,0,0,YES,ACTIVE_2026
BR7022,BR,2026,2026,2026,,,0,0,YES,ACTIVE_2026
BR7100,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7101,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7102,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7104,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7105,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7106,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7108,BR,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7109,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7110,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7111,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7112,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7113,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7114,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7115,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7116,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7117,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7118,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7119,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7120,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7121,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7122,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7123,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7124,BR,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7125,BR,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7126,BR,2026,2026,2026,,,0,0,YES,ACTIVE_2026
BR7127,BR,2026,2026,2026,,,0,0,YES,ACTIVE_2026
BR7200,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7201,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7203,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7204,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7205,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7207,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7208,BR,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7209,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7210,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7211,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7212,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7213,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7214,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7215,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7216,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7217,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7218,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7219,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7220,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7221,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7224,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7225,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7226,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7227,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7228,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7229,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7230,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7231,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7232,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7233,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7234,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7235,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7236,BR,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7237,BR,2025,2025,2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7238,BR,2026,2026,2026,,,0,0,YES,ACTIVE_2026
BR7239,BR,2026,2026,2026,,,0,0,YES,ACTIVE_2026
BR7300,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7301,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7303,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7304,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7305,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7307,BR,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
BR7308,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7309,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7310,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7311,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7312,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7313,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7314,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7315,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7316,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7317,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7318,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7320,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7321,BR,2020,2026,2020|2021|2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7322,BR,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7323,BR,2022,2026,2022|2023|2024|2025|2026,,,0,0,YES,ACTIVE_2026
BR7325,BR,2025,2026,2025|2026,,,0,0,YES,ACTIVE_2026
BR7326,BR,2026,2026,2026,,,0,0,YES,ACTIVE_2026
CG1000,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG1029,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG1030,CG,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG1034,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7502,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7503,CG,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7506,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7602,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7603,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7605,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7610,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7612,CG,2020,2022,2020|2021|2022,,2023|2024|2025|2026,0,4,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7613,CG,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7615,CG,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG7619,CG,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
CG9999,CG,2021,2021,2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1000,DA,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1001,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1002,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1003,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1004,DA,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1005,DA,2020,2020,2020,,2021|2022|2023|2024|2025|2026,0,6,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1007,DA,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1009,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1011,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1012,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1013,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1017,DA,2020,2021,2020|2021,,2022|2023|2024|2025|2026,0,5,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
DA1018,DA,2020,2025,2020|2021|2022|2023|2024|2025,,2026,0,1,NO,TERMINAL_DROPOFF_AFTER_LAST_OBSERVED
