target_hunt_code,candidate_source_hunt_code,target_hunt_name,source_hunt_name,target_species,source_species,target_weapon,source_weapon,name_similarity_jaccard,species_ok,weapon_ok,confidence,source_res,source_nr,source_total,source_file,action,reason
EL3056,EB3056,Panguitch Lake,Early,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,3,0,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3057,EB3057,Panguitch Lake,Late,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,2,1,3,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3093,EB3093,Panguitch Lake,Panguitch Lake,ELK,ELK,MUZZLELOADER,MUZZLELOADER,1.0,True,True,HIGH,3,1,4,24_le_bull_elk.pdf,POPULATE,Deterministic prefix crosswalk + species/weapon match + strong name similarity.
EL3188,EB3188,Panguitch Lake,Late,ELK,ELK,ARCHERY,ARCHERY,0.0,True,True,LOW,1,1,2,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
EL3189,EB3189,Panguitch Lake,Mid,ELK,ELK,ANY LEGAL WEAPON,ANY LEGAL WEAPON,0.0,True,True,LOW,6,1,7,24_le_bull_elk.pdf,SKIP,Confidence below HIGH threshold.
LO1516,DB1516,Panguitch Lake,Panguitch Lake - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,167,14,181,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1546,DB1546,Panguitch Lake,Panguitch Lake - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (LATE),ANY LEGAL WEAPON,0.4,True,False,LOW,260,28,288,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1576,DB1576,Panguitch Lake,Panguitch Lake - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,104,18,122,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1594,DB1594,Panguitch Lake,Panguitch Lake - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (EARLY),ANY LEGAL WEAPON,0.4,True,False,LOW,132,11,143,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1529,DB1529,Zion,Zion - Archery,DEER,DEER,ARCHERY,ARCHERY,0.5,True,True,MEDIUM,253,25,278,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1559,DB1559,Zion,Zion - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (LATE),ANY LEGAL WEAPON,0.25,True,False,LOW,415,42,457,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1589,DB1589,Zion,Zion - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.3333,True,True,LOW,171,23,194,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1597,DB1597,Zion,Zion - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (EARLY),ANY LEGAL WEAPON,0.25,True,False,LOW,170,14,184,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1517,DB1517,Pine Valley,Pine Valley - Archery,DEER,DEER,ARCHERY,ARCHERY,0.6667,True,True,MEDIUM,198,22,220,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1547,DB1547,Pine Valley,Pine Valley - Any Legal Weapon,DEER,DEER,ANY LEGAL WEAPON (LATE),ANY LEGAL WEAPON,0.4,True,False,LOW,402,34,436,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
LO1577,DB1577,Pine Valley,Pine Valley - Muzzleloader,DEER,DEER,MUZZLELOADER,MUZZLELOADER,0.5,True,True,MEDIUM,179,16,195,24_deer_odds.pdf,SKIP,Confidence below HIGH threshold.
