year,source_kind,file_path,page_count,unique_hunt_codes_found
2018,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2018\2019 sportsman_odds.pdf,1,11
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_antlerless_drawing_odds_report.pdf,264,256
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_bg-odds.pdf,551,535
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_deer_odds.pdf,97,95
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_dh_odds.pdf,31,29
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_drawing_odds.pdf,99,97
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_lifetime_deer.pdf,96,95
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_antlerless_drawing_odds_report.pdf,235,232
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_bull_elk.pdf,1,1
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_deer.pdf,95,94
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\19_youth_dh_odds.pdf,23,22
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 Cougar draw odds report.pdf,25,24
2019,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019 sportsman_odds.pdf,1,11
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__ANTLERLESS DRAW RESULTS.pdf,237,227
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,102,100
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,15,14
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__D.H. DEER DRAW RESULTS.pdf,31,29
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,97,95
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,561,545
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. DEER.pdf,184,182
2020,BIBLE_HUNT_CODES,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2020\2020_PERMITS=2021_MODEL__L.E. ELK.pdf,192,190
