action_taken,hunt_code,hunt_name,species,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source
CLEARED_NONCOVERED_2024_FOR_2025,DB0009,Antelope Island - Conservation/Expo,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1121,Antelope Island Management,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,RS1000,Antelope Island Conservation,Rocky Mountain Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,RS6700,Antelope Island,Rocky Mountain Bighorn Sheep,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1056,Book Cliffs (North & South),Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1075,Book Cliffs (North & South),Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1076,Book Cliffs (North & South),Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3002,Book Cliffs Little Creek Roadless,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3028,Book Cliffs Little Creek Roadless,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3079,Book Cliffs Little Creek Roadless,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3167,Book Cliffs Little Creek Roadless,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA2026,"Box Elder, Hansel Mtn",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,PB5080,"Box Elder, Snowville",Pronghorn,1.0,2.0,3.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1627,Cache,Deer,957.0,32.0,989.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1628,Cache,Deer,230.0,6.0,236.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1771,Cache,Deer,106.0,1.0,107.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2027,Cache,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1502,Cache,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1627,Cache,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1628,Cache,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3003,Cache Meadowville,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3032,Cache Meadowville,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3033,Cache Meadowville,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3081,Cache Meadowville,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3168,Cache Meadowville,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3169,Cache Meadowville,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3132,Cache North,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3139,Cache North,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3005,Cache South,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3036,Cache South,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3037,Cache South,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3083,Cache South,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3170,Cache South,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3171,Cache South,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA2011,Manti,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3006,Manti,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3038,Manti,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3039,Manti,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3084,Manti,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3126,Manti,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3172,Manti,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1799,Chalk Creek,Deer,17.0,1.0,18.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2004,Chalk Creek,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1599,Chalk Creek,Deer,,,,
