action_taken,hunt_code,hunt_name,species,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source
CLEARED_NONCOVERED_2024_FOR_2025,LO1600,Chalk Creek,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1601,Chalk Creek,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1602,Chalk Creek,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LP5033,"Fillmore, Oak Creek South - Private Land Only",Pronghorn,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LD1019,"Fillmore, Oak Creek LE - Private Land Only",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA2039,"Fillmore, Pahvant",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3008,Fillmore Pahvant,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3042,Fillmore Pahvant,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3043,Fillmore Pahvant,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3086,Fillmore Pahvant,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3180,Fillmore Pahvant,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3181,Fillmore Pahvant,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BI6539,Henry Mtns,Bison,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1009,Henry Mtns Management,Deer,2.0,1.0,3.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DS1002,"Kaiparowits, East",Desert Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DS1006,"Kaiparowits, West",Desert Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7021,Dolores Triangle,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7126,Dolores Triangle,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7238,Dolores Triangle,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1118,Dolores Triangle,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3044,La Sal Dolores Triangle,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA2019,"West Desert, Tintic Valley",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1801,Morgan-South Rich,Deer,9.0,0.0,9.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2002,Morgan-South Rich,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EB3208,Morgan-South Rich,Elk,3.0,1.0,4.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EL3208,Morgan-South Rich,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1607,Morgan-South Rich,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1608,Morgan-South Rich,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1609,Morgan-South Rich,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1610,Morgan-South Rich,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,MA1007,Morgan-South Rich,Moose,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2008,"Nine Mile, Anthro-Myton Bench",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA1273,"North Slope, Three Corners",Elk,7.0,1.0,8.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA1274,"North Slope, Three Corners",Elk,8.0,1.0,9.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA1277,"North Slope, Three Corners",Elk,5.0,1.0,6.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EB3210,"North Slope, Three Corners",Elk,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EL3013,North Slope Three Corners,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3053,North Slope Three Corners,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3091,North Slope Three Corners,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3210,North Slope Three Corners,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA2005,"North Slope, West Daggett",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA2015,Paunsaugunt,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LD1001,Paunsaugunt - Private Land Only,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LD1004,Paunsaugunt - Private Land Only,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LD1006,Paunsaugunt - Private Land Only,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3145,Boulder,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3148,Boulder,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3151,Boulder,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3154,Boulder,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3190,Boulder,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3191,Boulder,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3018,Fishlake/Thousand Lakes,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3063,Fishlake/Thousand Lakes,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3064,Fishlake/Thousand Lakes,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3065,Fishlake/Thousand Lakes,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3096,Fishlake/Thousand Lakes,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3192,Fishlake/Thousand Lakes,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3019,San Juan Bull Elk,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3066,San Juan Bull Elk,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3067,San Juan Bull Elk,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3097,San Juan Bull Elk,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3193,San Juan Bull Elk,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3194,San Juan Bull Elk,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DS1004,"San Rafael, Dirty Devil",Desert Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LP5046,"San Rafael, North - Private Land Only",Pronghorn,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DS1007,"San Rafael, South",Desert Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,PD1052,Heist CWMU,Pronghorn,4.0,0.0,4.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2030,Diamond Mtn,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3020,Diamond Mtn,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3068,Diamond Mtn,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3069,Diamond Mtn,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3098,Diamond Mtn,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3195,Diamond Mtn,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3196,Diamond Mtn,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LD1023,Diamond Mtn - Private Land Only,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0008,Diamond Mtn Landowner Association,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0009,Diamond Mtn Landowner Association,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0010,Diamond Mtn Landowner Association,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0011,Diamond Mtn Landowner Association,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0012,Diamond Mtn Landowner Association,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0013,Diamond Mtn Landowner Association,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0014,Diamond Mtn Landowner Association,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO0015,Diamond Mtn Landowner Association,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3022,Wasatch Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3072,Wasatch Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3073,Wasatch Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3100,Wasatch Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3127,Wasatch Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3199,Wasatch Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA1276,"Wasatch Mtns, Box Elder Peak",Elk,20.0,3.0,23.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2013,"Wasatch Mtns, Currant Creek",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3137,West Desert Deep Creek,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3144,West Desert Deep Creek,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LP5051,"West Desert, Rush Valley - Private Land Only",Pronghorn,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1800,East Canyon,Deer,37.0,0.0,37.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2003,East Canyon,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EB3205,East Canyon,Elk,3.0,1.0,4.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EL3205,East Canyon,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1603,East Canyon,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1604,East Canyon,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1605,East Canyon,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1606,East Canyon,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA2029,"Nine Mile, Range Creek",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EA1281,"Mt Dutton, Deep Creek",Elk,19.0,3.0,22.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,TK0001,Turkey - Statewide Permit,Turkey,,,,
CLEARED_NONCOVERED_2024_FOR_2025,TK1000,Statewide,Turkey,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1629,Boulder/Kaiparowits,Deer,288.0,22.0,310.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1630,Boulder/Kaiparowits,Deer,78.0,9.0,87.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1787,Boulder/Kaiparowits,Deer,51.0,5.0,56.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1518,Boulder/Kaiparowits,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1629,Boulder/Kaiparowits,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1630,Boulder/Kaiparowits,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1258,Little Red Creek CWMU,Deer,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,PD1048,The Rose of Snowville CWMU,Pronghorn,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA1263,Weber Florence Creek/Stillman Creek CWMU,Elk,15.0,0.0,15.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,PD1049,Zane CWMU,Pronghorn,3.0,0.0,3.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1216,Castle Valley Outdoors CWMU,Deer,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,PB5338,Castle Valley Outdoors CWMU,Pronghorn,2.0,0.0,2.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,MA1009,Causey Spring CWMU,Moose,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,MB6201,Beaver Hollow CWMU,Moose,,,,
CLEARED_NONCOVERED_2024_FOR_2025,MA1010,Deseret CWMU,Moose,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA1257,Tunnel Hollow CWMU,Elk,3.0,0.0,3.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,PD1047,Antelope Creek CWMU,Pronghorn,3.0,0.0,3.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,MB6262,Junction Valley CWMU,Moose,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,PB5346,Junction Valley CWMU,Pronghorn,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1631,Box Elder,Deer,433.0,23.0,456.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1770,Box Elder,Deer,42.0,1.0,43.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1501,Box Elder,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1531,Box Elder,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1561,Box Elder,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1631,Box Elder,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,MB6012,Box Elder,Moose,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1783,Ogden,Deer,42.0,1.0,43.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1514,Ogden,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1544,Ogden,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1574,Ogden,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7324,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7325,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1777,Kamas,Deer,27.0,0.0,27.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2040,Kamas,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1508,Kamas,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1538,Kamas,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1568,Kamas,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1592,Kamas,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1782,North Slope,Deer,37.0,0.0,37.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1513,North Slope,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1543,North Slope,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1573,North Slope,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1598,North Slope,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1792,Yellowstone,Deer,36.0,1.0,37.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2006,Yellowstone,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1523,Yellowstone,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1553,Yellowstone,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1583,Yellowstone,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1791,Vernal/Bonanza,Deer,40.0,3.0,43.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2028,Vernal/Bonanza,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1522,Vernal/Bonanza,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1552,Vernal/Bonanza,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1582,Vernal/Bonanza,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BI6527,Nine Mile,Bison,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BI6538,"Nine Mile, Private Lands Only",Bison,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1781,Nine Mile,Deer,37.0,1.0,38.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1512,Nine Mile,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1542,Nine Mile,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1572,Nine Mile,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1593,Nine Mile,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1773,Nebo,Deer,136.0,2.0,138.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2016,Nebo,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1504,Nebo,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1534,Nebo,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1564,Nebo,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7022,La Sal Mtns,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7127,La Sal Mtns,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7239,La Sal Mtns,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7326,La Sal Mtns,Black Bear,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1778,La Sal Mtns,Deer,65.0,5.0,70.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2009,La Sal Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3009,La Sal La Sal Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3045,La Sal La Sal Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3046,La Sal La Sal Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3087,La Sal La Sal Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3182,La Sal La Sal Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,EL3183,La Sal La Sal Mtns,Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1509,"La Sal, La Sal Mtns",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1539,"La Sal, La Sal Mtns",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1569,"La Sal, La Sal Mtns",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1790,"San Juan, Abajo Mtns",Deer,51.0,14.0,65.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1521,"San Juan, Abajo Mtns",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1551,"San Juan, Abajo Mtns",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1581,"San Juan, Abajo Mtns",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1772,Manti/San Rafael,Deer,279.0,7.0,286.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1503,Manti/San Rafael,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1533,Manti/San Rafael,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1563,Manti/San Rafael,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1795,"Wasatch Mtns, West",Deer,137.0,3.0,140.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA2012,"Wasatch Mtns, West-Central",Elk,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1526,"Wasatch Mtns, West",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1556,"Wasatch Mtns, West",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1586,"Wasatch Mtns, West",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1794,"Wasatch Mtns, East",Deer,185.0,1.0,186.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1525,"Wasatch Mtns, East",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1555,"Wasatch Mtns, East",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1585,"Wasatch Mtns, East",Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,DB1793,Southwest Desert,Deer,1.0,1.0,2.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,LO1524,Southwest Desert,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1554,Southwest Desert,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LO1584,Southwest Desert,Deer,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LP5049,Southwest Desert - Private Land Only,Pronghorn,,,,
CLEARED_NONCOVERED_2024_FOR_2025,LP5025,Beaver - Private Land Only,Pronghorn,,,,
CLEARED_NONCOVERED_2024_FOR_2025,BR7237,Monroe,Black Bear,1.0,0.0,1.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,DB1779,Monroe,Deer,23.0,1.0,24.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EA1286,Monroe,Elk,8.0,1.0,9.0,2025_DRAW_RESULTS_TABLES
CLEARED_NONCOVERED_2024_FOR_2025,EL3010,Monroe,Elk,,,,
