source_family,source_file,source_row_count,hunt_code,source_hunt_name,species,sex_type,weapon,hunt_type,hunt_class,source_res,source_nr,source_total,source_permit_shape,mapping_status,notes
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1012,"Fillmore, Oak Creek LE",Deer,Buck,Archery,L.E.,,12,1,13,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1013,Dolores Triangle,Deer,Buck,Archery,L.E.,,5,,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,L.E.,,15,2,17,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1015,Diamond Mtn,Deer,Buck,Archery,L.E.,,22,2,24,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1016,"West Desert, Vernon",Deer,Buck,Archery,L.E.,,46,5,51,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1017,"Book Cliffs, North",Deer,Buck,Any Legal Weapon,L.E.,,137,15,152,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1018,"Book Cliffs, South",Deer,Buck,Any Legal Weapon,L.E.,,34,4,38,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1019,"Fillmore, Oak Creek LE",Deer,Buck,Any Legal Weapon,L.E.,,33,4,37,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1020,Dolores Triangle,Deer,Buck,Any Legal Weapon,L.E.,,13,2,15,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,L.E.,,42,5,47,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1023,Diamond Mtn,Deer,Buck,Any Legal Weapon,L.E.,,61,7,68,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1024,"West Desert, Vernon",Deer,Buck,Any Legal Weapon,L.E.,,130,14,144,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1025,Book Cliffs,Deer,Buck,Muzzleloader,L.E.,,55,6,61,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1026,"Cache, Crawford Mtn",Deer,Buck,Muzzleloader,L.E.,,8,1,9,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1028,Fillmore,Deer,Buck,Muzzleloader,L.E.,,11,1,12,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1029,"Fillmore, Oak Creek LE",Deer,Buck,Muzzleloader,L.E.,,12,1,13,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1030,Kamas,Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1031,Dolores Triangle,Deer,Buck,Muzzleloader,L.E.,,5,,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1032,Monroe,Deer,Buck,Muzzleloader,L.E.,,5,1,6,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1033,Nine Mile,Deer,Buck,Muzzleloader,L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1034,Pine Valley,Deer,Buck,Muzzleloader,L.E.,,13,2,15,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1037,"San Juan, Elk Ridge",Deer,Buck,Muzzleloader,L.E.,,15,2,17,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1038,Diamond Mtn,Deer,Buck,Muzzleloader,L.E.,,22,2,24,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1039,Yellowstone,Deer,Buck,Muzzleloader,L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1040,Southwest Desert,Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1041,"Wasatch Mtns, East",Deer,Buck,Muzzleloader,L.E.,,30,3,33,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1042,"West Desert, Vernon",Deer,Buck,Muzzleloader,L.E.,,46,5,51,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1043,Zion,Deer,Buck,Muzzleloader,L.E.,,15,2,17,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1044,Book Cliffs,Deer,Buck,Multiseason,L.E.,,8,1,9,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1045,"Fillmore, Oak Creek LE",Deer,Buck,Multiseason,L.E.,,2,,2,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1046,"San Juan, Elk Ridge",Deer,Buck,Multiseason,L.E.,,2,,2,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1047,Diamond Mtn,Deer,Buck,Multiseason,L.E.,,4,,4,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1048,"West Desert, Vernon",Deer,Buck,Multiseason,L.E.,,7,1,8,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1053,Mt Dutton,Deer,Buck,Muzzleloader,L.E.,,4,1,5,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1054,Ogden,Deer,Buck,Muzzleloader,L.E.,,13,1,14,RES_NR_SPLIT,DIRECT_HUNT_CODE,
DEER_BUCK_DB_DIRECT,C:/Users/tyler/Desktop/species truth data/2026 deer buck db.csv,1,DB1055,Fishlake,Deer,Buck,Muzzleloader,L.E.,,6,1,7,RES_NR_SPLIT,DIRECT_HUNT_CODE,
