hunt_code,hunt_name,species,before_res,before_nr,before_total,after_res,after_nr,after_total,source,status,notes
MA1005,Morgan-South Rich,Moose,6.0,1.0,7,2,1,3,USER_CONFIRMED_MOOSE_RECOMMENDED_VALUES,RECONCILED_2026_MOOSE_RECOMMENDED_USER_CONFIRMED,User confirmed Moose values match recommended values.
MA1007,Morgan-South Rich,Moose,3.0,0.0,3,2,0,2,USER_CONFIRMED_MOOSE_RECOMMENDED_VALUES,RECONCILED_2026_MOOSE_RECOMMENDED_USER_CONFIRMED,User confirmed Moose values match recommended values.
MA1008,"Wasatch Mtns, Salt Lake-Timpanogos",Moose,4.0,1.0,5,2,0,2,USER_CONFIRMED_MOOSE_RECOMMENDED_VALUES,RECONCILED_2026_MOOSE_RECOMMENDED_USER_CONFIRMED,User confirmed Moose values match recommended values.
