"generated_utc","relative_path","size_mb","r2_uri","status","message"
"20260619T030652Z","data_truth/finalized_draw_truth_ALL.csv","123.279","r2://uoga-data/data_truth/finalized_draw_truth_ALL.csv","UPLOADED","⛅️ wrangler 4.95.0 (update available 4.102.0)
──────────────────────────────────────────────
Resource location: local 

Use --remote if you want to access the remote instance.

Creating object ""data_truth/finalized_draw_truth_ALL.csv"" in bucket ""uoga-data"".
Upload complete."
"20260619T030652Z","data_truth/finalized_point_distribution.csv","135.073","r2://uoga-data/data_truth/finalized_point_distribution.csv","UPLOADED","⛅️ wrangler 4.95.0 (update available 4.102.0)
──────────────────────────────────────────────
Resource location: local 

Use --remote if you want to access the remote instance.

Creating object ""data_truth/finalized_point_distribution.csv"" in bucket ""uoga-data"".
Upload complete."
