actual_draw_year,hunt_code,residency,eligible_applicants,quota,source_file,source_url
2022,EB1007,Resident,7624,450,22_youth_bull_elk.pdf,https://wildlife.utah.gov/pdf/bg/2022/22_youth_bull_elk.pdf
2022,EB1007,Nonresident,433,50,22_youth_bull_elk.pdf,https://wildlife.utah.gov/pdf/bg/2022/22_youth_bull_elk.pdf
2023,EB1007,Resident,7036,675,23_youth_elk.pdf,https://wildlife.utah.gov/pdf/bg/2023/23_youth_elk.pdf
2023,EB1007,Nonresident,381,75,23_youth_elk.pdf,https://wildlife.utah.gov/pdf/bg/2023/23_youth_elk.pdf
2024,EB1007,Resident,6759,675,24_youth_elk.pdf,https://wildlife.utah.gov/pdf/bg/2024/24_youth_elk.pdf
2024,EB1007,Nonresident,375,75,24_youth_elk.pdf,https://wildlife.utah.gov/pdf/bg/2024/24_youth_elk.pdf
2025,EB1007,Resident,6597,675,25_youth_elk.pdf,https://wildlife.utah.gov/pdf/bg/2025/25_youth_elk.pdf
2025,EB1007,Nonresident,353,75,25_youth_elk.pdf,https://wildlife.utah.gov/pdf/bg/2025/25_youth_elk.pdf
