"local_path","r2_object","mb"
"processed_data/audits/hunt_research_2026_before_numeric_fix_snapshot.json","uoga-data/hunt-builder/github-large-files/processed_data/audits/hunt_research_2026_before_numeric_fix_snapshot.json","305.06"
"processed_data/hunt_research_2026_ladder.json","uoga-data/hunt-builder/github-large-files/processed_data/hunt_research_2026_ladder.json","304.74"
"processed_data/hunt_research_2026_ladder_bonus_max_random.json","uoga-data/hunt-builder/github-large-files/processed_data/hunt_research_2026_ladder_bonus_max_random.json","144.96"
"processed_data/point_ladder_view.csv","uoga-data/hunt-builder/github-large-files/processed_data/point_ladder_view.csv","126.32"
"data/hunt_boundaries_arcgis.json","uoga-data/hunt-builder/github-large-files/data/hunt_boundaries_arcgis.json","84.03"
"data/utah/official_downloads_2026/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson","uoga-data/hunt-builder/github-large-files/data/utah/official_downloads_2026/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson","83.11"
"processed_data/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson","uoga-data/hunt-builder/github-large-files/processed_data/statewide_composite_boundaries_2026_FINAL_LOCKED.geojson","83.11"
"data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.geojson","uoga-data/hunt-builder/github-large-files/data/utah/foundation_bundle_2026/utah_boundaries_canonical_2026.geojson","83.11"
"data/utah/foundation_bundle_2026/utah_hunt_foundation_2026.sqlite","uoga-data/hunt-builder/github-large-files/data/utah/foundation_bundle_2026/utah_hunt_foundation_2026.sqlite","69.98"
"data_truth/draw_results_truth/normalized/draw_results_2025_for_2026_candidate_promotion_file_records.csv","uoga-data/hunt-builder/github-large-files/data_truth/draw_results_truth/normalized/draw_results_2025_for_2026_candidate_promotion_file_records.csv","64.88"
"processed_data/hunt_research_2026_ladder_preference.json","uoga-data/hunt-builder/github-large-files/processed_data/hunt_research_2026_ladder_preference.json","62.35"
"processed_data/backups/permit_allocations_2026_20260523_082859/processed_data/point_ladder_view.csv","uoga-data/hunt-builder/github-large-files/processed_data/backups/permit_allocations_2026_20260523_082859/processed_data/point_ladder_view.csv","58.08"
