hunt_code,hunt_name,species,sex,sex_class,weapon,season,hunt_category,hunt_type,hunt_class,draw_design,draw_method,point_system,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2023_res,permits_2023_nr,permits_2023_total,percent_harvest_success_previous_hunting_season,average_harvest_age,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,resident_p_draw_percent,nonresident_p_draw_percent,total_p_draw_percent,p_draw_percent,engine_route
DB1771,Cache,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,588,,,588,140,1,141,188,3,191,106,3,109,31.5,,,25000,13550,,,,,PREFERENCE_DRAW
DB1799,Chalk Creek,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,292,,,292,18,1,19,12,0,12,22,0,22,36.4,,,12000,7150,,,,,PREFERENCE_DRAW
DB1801,Morgan-South Rich,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,211,,,211,11,0,11,11,0,11,10,0,10,8.3,,,16000,2450,,,,,PREFERENCE_DRAW
DB1800,East Canyon,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,186,,,186,48,0,48,45,0,45,43,0,43,28.0,,,13500,2700,,,,,PREFERENCE_DRAW
DB1787,Boulder/Kaiparowits,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,70,,,70,180,15,195,108,11,119,3,1,4,26.1,,,8500,8200,,,,,PREFERENCE_DRAW
DB1770,Box Elder,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,688,,,688,44,1,45,31,1,32,20,0,20,41.9,,,20000,18300,,,,,PREFERENCE_DRAW
DB1783,Ogden,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,297,,,297,46,1,47,49,0,49,48,0,48,27.1,,,11000,7300,,,,,PREFERENCE_DRAW
DB1777,Kamas,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,55,,,55,31,0,31,31,2,33,49,1,50,14.7,,,8000,2350,,,,,PREFERENCE_DRAW
DB1782,North Slope,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,340,,,340,39,0,39,54,0,54,50,0,50,22.0,,,10000,6500,,,,,PREFERENCE_DRAW
DB1792,Yellowstone,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,63,,,63,88,1,89,55,2,57,38,1,39,45.1,,,11000,8400,,,,,PREFERENCE_DRAW
DB1791,Vernal/Bonanza,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,45,,,45,107,3,110,55,1,56,2,0,2,59.8,,,13000 (Diamond Mtn/Vernal/Bonanza),9900 (Diamond Mtn/Vernal/Bonanza),,,,,PREFERENCE_DRAW
DB1773,Nebo,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,349,,,349,179,3,182,173,0,173,202,0,202,34.4,,,14000,14850,,,,,PREFERENCE_DRAW
DB1778,La Sal Mtns,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,67,,,67,94,11,105,79,8,87,45,5,50,42.8,,,8000,8800,,,,,PREFERENCE_DRAW
DB1790,"San Juan, Abajo Mtns",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,261,,,261,58,16,74,56,11,67,44,13,57,30.0,,,13500,14900,,,,,PREFERENCE_DRAW
DB1772,Manti/San Rafael,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,573,,,573,435,8,443,328,6,334,422,5,427,38.3,,,28000,28400,,,,,PREFERENCE_DRAW
DB1795,"Wasatch Mtns, West",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,701,,,701,159,3,162,187,4,191,217,1,218,21.0,,,22600,13200,,,,,PREFERENCE_DRAW
DB1794,"Wasatch Mtns, East",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,,,271,,,271,381,3,384,320,2,322,155,6,161,33.8,,,"4000 Avintaquin, 17000 Currant Creek","3600 Avintaquin, 15500 Currant Creek",,,,,PREFERENCE_DRAW
