hunt_code,hunt_name,species,sex,sex_class,weapon,season,hunt_category,hunt_type,hunt_class,draw_design,draw_method,point_system,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2023_res,permits_2023_nr,permits_2023_total,percent_harvest_success_previous_hunting_season,average_harvest_age,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,resident_p_draw_percent,nonresident_p_draw_percent,total_p_draw_percent,p_draw_percent,engine_route
DB1289,Sharp Mountain,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,81.8,,,,,,,,,AVAILABILITY_ONLY
EA1235,Sharp Mountain,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,10,0,10,10,0,10,10,0,10,8,0,8,12,0,12,71.4,,,,,,,,,AVAILABILITY_ONLY
EB3610,Sharp Mountain,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,83.3,,,,,,,,,AVAILABILITY_ONLY
DB1293,South Canyon,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,2,0,2,1,0,1,75.0,,,,,,,,,AVAILABILITY_ONLY
EA1167,South Canyon,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,12,0,12,12,0,12,12,0,12,6,0,6,12,0,12,80.0,,,,,,,,,AVAILABILITY_ONLY
EB3554,South Canyon,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,2,0,2,1,0,1,72.7,,,,,,,,,AVAILABILITY_ONLY
DB1303,North Peaks,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,66.7,,,,,,,,,AVAILABILITY_ONLY
EB3565,North Peaks,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,50.0,,,,,,,,,AVAILABILITY_ONLY
DB1252,Ingham Peak,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,5,0,5,3,0,3,4,0,4,86.4,,,,,,,,,AVAILABILITY_ONLY
EB3528,Ingham Peak,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,60.0,,,,,,,,,AVAILABILITY_ONLY
DB1328,Clear Creek,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,25.0,,,,,,,,,AVAILABILITY_ONLY
DB1250,Indian Creek,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,25.0,,,,,,,,,AVAILABILITY_ONLY
DB1281,Rattlesnake Pass,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,3,0,3,3,0,3,90.5,,,,,,,,,AVAILABILITY_ONLY
DB1241,Golden Spike,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,80.0,,,,,,,,,AVAILABILITY_ONLY
DB1306,Washakie,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1209,Blind Spring,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1277,Pocatello Valley,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1280,Promontory Point,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1270,Nucor West,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1273,Park Valley Hereford,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,6,0,6,6,0,6,6,0,6,5,0,5,10,0,10,88.9,,,,,,,,,AVAILABILITY_ONLY
DB1222,Coldwater Ranch,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,90.9,,,,,,,,,AVAILABILITY_ONLY
EA1125,Coldwater Ranch,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,25,0,25,25,0,25,25,0,25,10,0,10,24,0,24,72.2,,,,,,,,,AVAILABILITY_ONLY
EB3509,Coldwater Ranch,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,2,0,2,2,0,2,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1211,Blue Spring Hills,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1308,West Hills,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,3,0,3,3,0,3,87.5,,,,,,,,,AVAILABILITY_ONLY
DB1231,Dove Creek,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,85.7,,,,,,,,,AVAILABILITY_ONLY
DB1269,North Promontory,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1239,Fort Ranch,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0.0,,,,,,,,,AVAILABILITY_ONLY
EA1158,Riverview Ranch LLC,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,7,0,7,7,0,7,7,0,7,5,0,5,8,0,8,87.5,,,,,,,,,AVAILABILITY_ONLY
EB3545,Riverview Ranch LLC,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,2,0,2,2,0,2,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1264,Mountain Meadow,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0.0,,,,,,,,,AVAILABILITY_ONLY
DB1236,Engineer Springs,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,66.7,,,,,,,,,AVAILABILITY_ONLY
DB1233,East Fork Chalk Creek,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,63.6,,,,,,,,,AVAILABILITY_ONLY
EA1132,East Fork Chalk Creek,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,30,0,30,30,0,30,30,0,30,13,0,13,36,0,36,40.0,,,,,,,,,AVAILABILITY_ONLY
EB3517,East Fork Chalk Creek,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,75.9,,,,,,,,,AVAILABILITY_ONLY
DB1237,Ensign Ranches,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,3,0,3,4,0,4,95.8,,,,,,,,,AVAILABILITY_ONLY
EA1134,Ensign Ranches,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,48,0,48,48,0,48,60,0,60,28,0,28,72,0,72,55.1,,,,,,,,,AVAILABILITY_ONLY
EB3519,Ensign Ranches,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,6,0,6,6,0,6,4,0,4,4,0,4,4,0,4,90.9,,,,,,,,,AVAILABILITY_ONLY
DB1349,Weber Florence Creek,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,9,0,9,9,0,9,9,0,9,9,0,9,,,,55.6,,,,,,,,,AVAILABILITY_ONLY
EA1263,Weber Florence Creek,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,35,0,35,35,0,35,35,0,35,,,,,,,,,,,,,,,,AVAILABILITY_ONLY
EB3619,Weber Florence Creek,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,10,0,10,10,0,10,10,0,10,10,0,10,,,,70.0,,,,,,,,,AVAILABILITY_ONLY
DB1242,Grass Valley/Clark Canyon,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,14,0,14,14,0,14,14,0,14,14,0,14,14,0,14,53.5,,,,,,,,,AVAILABILITY_ONLY
EA1136,Grass Valley/Clark Canyon,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,50,0,50,50,0,50,50,0,50,29,0,29,60,0,60,74.0,,,,,,,,,AVAILABILITY_ONLY
EB3521,Grass Valley/Clark Canyon,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,10,0,10,10,0,10,10,0,10,10,0,10,10,0,10,61.6,,,,,,,,,AVAILABILITY_ONLY
DB1200,Alton,Deer,Buck,Buck,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,4,0,4,3,0,3,85.7,,,,,,,,,AVAILABILITY_ONLY
DB1201,Alton,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1334,Alton,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,66.7,,,,,,,,,AVAILABILITY_ONLY
EA1118,Alton,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,6,0,6,6,0,6,6,0,6,4,0,4,10,0,10,50.0,,,,,,,,,AVAILABILITY_ONLY
EB3500,Alton,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,80.0,,,,,,,,,AVAILABILITY_ONLY
DB1205,Bar J Ranch,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,20.0,,,,,,,,,AVAILABILITY_ONLY
EA1119,Bar J Ranch,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,12,0,12,12,0,12,12,0,12,5,0,5,14,0,14,62.5,,,,,,,,,AVAILABILITY_ONLY
EB3501,Bar J Ranch,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1243,Grazing Pasture,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,25.0,,,,,,,,,AVAILABILITY_ONLY
EA1137,Grazing Pasture,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,9,0,9,9,0,9,9,0,9,6,0,6,10,0,10,100.0,,,,,,,,,AVAILABILITY_ONLY
EB3522,Grazing Pasture,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
DB1255,Johnson Mtn Ranch,Deer,Buck,Buck,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,50.0,,,,,,,,,AVAILABILITY_ONLY
EA1145,Johnson Mtn Ranch,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,20,0,20,20,0,20,20,0,20,8,0,8,24,0,24,89.5,,,,,,,,,AVAILABILITY_ONLY
EB3531,Johnson Mtn Ranch,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,100.0,,,,,,,,,AVAILABILITY_ONLY
DA1013,Mt Carmel,Deer,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,,,5,,,5,5,0,5,2,0,2,6,0,6,75.0,,,,,,,,,AVAILABILITY_ONLY
DB1266,Mt Carmel,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,3,0,3,2,0,2,83.3,,,,,,,,,AVAILABILITY_ONLY
DB1271,Oak Ranch,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,2,0,2,3,0,3,3,0,3,30.8,,,,,,,,,AVAILABILITY_ONLY
DB1272,Old Woman Plateau,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,55.6,,,,,,,,,AVAILABILITY_ONLY
EA1153,Old Woman Plateau,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,4,0,4,4,0,4,4,0,4,2,0,2,4,0,4,33.3,,,,,,,,,AVAILABILITY_ONLY
EB3540,Old Woman Plateau,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,100.0,,,,,,,,,AVAILABILITY_ONLY
PB5315,Zane,Pronghorn,Buck,Buck,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,100.0,,,,,,,,,AVAILABILITY_ONLY
PD1049,Zane,Pronghorn,Doe,Doe,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,,,,,,,6,0,6,,,,,,,66.7,,,,,,,,,AVAILABILITY_ONLY
DB1287,Scofield Canyons,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,87.5,,,,,,,,,AVAILABILITY_ONLY
EA1161,Scofield Canyons,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,9,0,9,9,0,9,9,0,9,6,0,6,10,0,10,75.0,,,,,,,,,AVAILABILITY_ONLY
EB3548,Scofield Canyons,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,87.5,,,,,,,,,AVAILABILITY_ONLY
EA1162,Scofield East,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,14,0,14,14,0,14,14,0,14,6,0,6,10,0,10,84.6,,,,,,,,,AVAILABILITY_ONLY
EB3549,Scofield East,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,87.5,,,,,,,,,AVAILABILITY_ONLY
DB1288,Scofield West,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,66.7,,,,,,,,,AVAILABILITY_ONLY
EA1163,Scofield West,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,19,0,19,19,0,19,19,0,19,13,0,13,36,0,36,57.9,,,,,,,,,AVAILABILITY_ONLY
EB3550,Scofield West,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,2,0,2,2,0,2,2,0,2,2,0,2,1,0,1,77.8,,,,,,,,,AVAILABILITY_ONLY
DB1279,Preston Nutter Ranch,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,100.0,,,,,,,,,AVAILABILITY_ONLY
EA1156,Preston Nutter Ranch,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,21,0,21,21,0,21,21,0,21,4,0,4,6,0,6,80.0,,,,,,,,,AVAILABILITY_ONLY
EB3543,Preston Nutter Ranch,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,3,0,3,3,0,3,3,0,3,2,0,2,2,0,2,38.9,,,,,,,,,AVAILABILITY_ONLY
DB1283,Roan Cliffs,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,57.1,,,,,,,,,AVAILABILITY_ONLY
EA1159,Roan Cliffs,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,6,0,6,6,0,6,6,0,6,2,0,2,4,0,4,25.0,,,,,,,,,AVAILABILITY_ONLY
EB3546,Roan Cliffs,Elk,Bull,Bull,Any Legal Weapon,Contact operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,87.5,,,,,,,,,AVAILABILITY_ONLY
DB1295,Spring Creek/Dodge,Deer,Buck,Buck,Any Legal Weapon,Contact Operator for 2026 season dates,,CWMU,Max/Weighted Split,,,,6,0,6,6,0,6,6,0,6,6,0,6,5,0,5,91.8,,,,,,,,,AVAILABILITY_ONLY
EA1168,Spring Creek/Dodge,Elk,Antlerless,Antlerless,Any Legal Weapon,Contact operator for 2025 season dates,,CWMU,Max/Weighted Split,,,,15,0,15,15,0,15,14,0,14,11,0,11,15,0,15,80.0,,,,,,,,,AVAILABILITY_ONLY
