hunt_code,hunt_name,species,sex,sex_class,weapon,season,hunt_category,hunt_type,hunt_class,draw_design,draw_method,point_system,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2023_res,permits_2023_nr,permits_2023_total,percent_harvest_success_previous_hunting_season,average_harvest_age,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,resident_p_draw_percent,nonresident_p_draw_percent,total_p_draw_percent,p_draw_percent,engine_route
DB1771,Cache,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,115,5,120,,,588,140,1,141,188,3,191,106,3,109,31.5,,,25000,13550,,,,,PREFERENCE_DRAW
DB1799,Chalk Creek,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,27,0,27,,,292,18,1,19,12,0,12,22,0,22,36.4,,,12000,7150,,,,,PREFERENCE_DRAW
DB1801,Morgan-South Rich,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,11,0,11,,,211,11,0,11,11,0,11,10,0,10,8.3,,,16000,2450,,,,,PREFERENCE_DRAW
DB1800,East Canyon,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,46,0,46,,,186,48,0,48,45,0,45,43,0,43,28.0,,,13500,2700,,,,,PREFERENCE_DRAW
DB1787,Boulder/Kaiparowits,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,56,2,58,,,70,180,15,195,108,11,119,3,1,4,26.1,,,8500,8200,,,,,PREFERENCE_DRAW
DB1770,Box Elder,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,37,1,38,,,688,44,1,45,31,1,32,20,0,20,41.9,,,20000,18300,,,,,PREFERENCE_DRAW
DB1783,Ogden,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,77,1,78,,,297,46,1,47,49,0,49,48,0,48,27.1,,,11000,7300,,,,,PREFERENCE_DRAW
DB1777,Kamas,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,24,0,24,,,55,31,0,31,31,2,33,49,1,50,14.7,,,8000,2350,,,,,PREFERENCE_DRAW
DB1782,North Slope,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,68,1,69,,,340,39,0,39,54,0,54,50,0,50,22.0,,,10000,6500,,,,,PREFERENCE_DRAW
DB1792,Yellowstone,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,43,3,46,,,63,88,1,89,55,2,57,38,1,39,45.1,,,11000,8400,,,,,PREFERENCE_DRAW
DB1791,Vernal/Bonanza,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,33,0,33,,,45,107,3,110,55,1,56,2,0,2,59.8,,,13000 (Diamond Mtn/Vernal/Bonanza),9900 (Diamond Mtn/Vernal/Bonanza),,,,,PREFERENCE_DRAW
DB1773,Nebo,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,201,1,202,,,349,179,3,182,173,0,173,202,0,202,34.4,,,14000,14850,,,,,PREFERENCE_DRAW
DB1778,La Sal Mtns,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,54,10,64,,,67,94,11,105,79,8,87,45,5,50,42.8,,,8000,8800,,,,,PREFERENCE_DRAW
DB1790,"San Juan, Abajo Mtns",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,44,11,55,,,261,58,16,74,56,11,67,44,13,57,30.0,,,13500,14900,,,,,PREFERENCE_DRAW
DB1772,Manti/San Rafael,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,513,1,514,,,573,435,8,443,328,6,334,422,5,427,38.3,,,28000,28400,,,,,PREFERENCE_DRAW
DB1795,"Wasatch Mtns, West",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,137,2,139,,,701,159,3,162,187,4,191,217,1,218,21.0,,,22600,13200,,,,,PREFERENCE_DRAW
DB1794,"Wasatch Mtns, East",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,230,3,233,,,271,381,3,384,320,2,322,155,6,161,33.8,,,"4000 Avintaquin, 17000 Currant Creek","3600 Avintaquin, 15500 Currant Creek",,,,,PREFERENCE_DRAW
DB1793,Southwest Desert,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,37,1,38,,,46,1,1,2,21,2,23,30,3,33,28.0,,,3500,2050,,,,,PREFERENCE_DRAW
DB1779,Monroe,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,32,0,32,,,45,59,2,61,43,2,45,31,3,34,44.3,,,7000,5000,,,,,PREFERENCE_DRAW
DB1780,Mt Dutton,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,15,1,16,,,26,5,1,6,19,2,21,16,1,17,43.9,,,3200,1500,,,,,PREFERENCE_DRAW
DB1788,Fishlake,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,28,0,28,,,49,76,6,82,52,3,55,14,1,15,47.0,,,7000,4640,,,,,PREFERENCE_DRAW
DB1785,Panguitch Lake,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,73,4,77,,,112,178,20,198,56,6,62,50,5,55,49.3,,,11000,9500,,,,,PREFERENCE_DRAW
DB1798,Zion,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,189,13,202,,,256,32,3,35,186,21,207,160,17,177,34.5,,,19000,14650,,,,,PREFERENCE_DRAW
DB1786,Pine Valley,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,138,19,157,,,228,1,1,2,193,21,214,216,23,239,28.8,,,19500,13000,,,,,PREFERENCE_DRAW
DB1803,"Beaver, West",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,36,0,36,,,44,30,4,34,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1802,"Beaver, East",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,49,0,49,,,61,137,8,145,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1775,Fillmore,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,26,0,26,,,42,159,14,173,127,5,132,2,1,3,34.2,,,9600,,,,,,PREFERENCE_DRAW
DB1804,Cedar/Stansbury,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,41,0,41,,,42,48,2,50,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1806,"West Desert, Swasey",Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,23,1,24,,,36,18,0,18,,,,,,,,,,,,,,,,PREFERENCE_DRAW
DB1805,Oquirrh/Tintic,Deer,Buck,Buck,Dedicated Hunter,Multiseason,,General Season,Preference,,,,56,1,57,,,65,154,3,157,,,,,,,,,,,,,,,,PREFERENCE_DRAW
