row_number,hunt_code,year,match_method,column,old_value,new_value
2,BI6500,2019,identity,permits_2019_res,,2
2,BI6500,2019,identity,permits_2019_nr,,0
2,BI6500,2019,identity,permits_2019_total,,2
2,BI6500,2019,identity,permits_2019_source,,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL
2,BI6500,2020,identity,permits_2020_res,,2
2,BI6500,2020,identity,permits_2020_nr,,0
2,BI6500,2020,identity,permits_2020_total,,2
2,BI6500,2020,identity,permits_2020_source,,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL
2,BI6500,2021,identity,permits_2021_res,,0
2,BI6500,2021,identity,permits_2021_nr,,0
2,BI6500,2021,identity,permits_2021_total,,0
2,BI6500,2021,identity,permits_2021_source,,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL
2,BI6500,2022,unique_hunt_code,permits_2022_res,,4
2,BI6500,2022,unique_hunt_code,permits_2022_nr,,0
2,BI6500,2022,unique_hunt_code,permits_2022_total,,4
2,BI6500,2022,unique_hunt_code,permits_2022_source,,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL
2,BI6500,2023,unique_hunt_code,permits_2023_res,,2
2,BI6500,2023,unique_hunt_code,permits_2023_nr,,0
2,BI6500,2023,unique_hunt_code,permits_2023_total,,2
2,BI6500,2023,unique_hunt_code,permits_2023_source,,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL
2,BI6500,2024,identity,permits_2024_res,1,2
2,BI6500,2024,identity,permits_2024_total,1,2
2,BI6500,2025,identity,permits_2025_res,1,2
2,BI6500,2025,identity,permits_2025_total,1,2
2,BI6500,2026,unique_hunt_code,permits_2026_res,,2
2,BI6500,2026,unique_hunt_code,permits_2026_nr,,0
2,BI6500,2026,unique_hunt_code,permits_2026_total,,2
4,DB1002,2019,identity,permits_2019_res,,1
4,DB1002,2019,identity,permits_2019_nr,,0
4,DB1002,2019,identity,permits_2019_total,,1
4,DB1002,2019,identity,permits_2019_source,,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL
4,DB1002,2020,identity,permits_2020_res,,1
4,DB1002,2020,identity,permits_2020_nr,,0
4,DB1002,2020,identity,permits_2020_total,,1
4,DB1002,2020,identity,permits_2020_source,,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL
4,DB1002,2021,identity,permits_2021_res,,0
4,DB1002,2021,identity,permits_2021_nr,,0
4,DB1002,2021,identity,permits_2021_total,,0
4,DB1002,2021,identity,permits_2021_source,,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL
4,DB1002,2022,identity,permits_2022_res,,2
4,DB1002,2022,identity,permits_2022_nr,,0
4,DB1002,2022,identity,permits_2022_total,,2
4,DB1002,2022,identity,permits_2022_source,,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL
4,DB1002,2023,identity,permits_2023_res,,1
4,DB1002,2023,identity,permits_2023_nr,,0
4,DB1002,2023,identity,permits_2023_total,,1
4,DB1002,2023,identity,permits_2023_source,,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL
4,DB1002,2026,identity,permits_2026_res,,1
4,DB1002,2026,identity,permits_2026_nr,,0
4,DB1002,2026,identity,permits_2026_total,,1
5,DB1121,2026,identity,permits_2026_res,,2
5,DB1121,2026,identity,permits_2026_nr,,0
5,DB1121,2026,identity,permits_2026_total,,2
7,RS6700,2025,identity,permits_2025_res,,1
7,RS6700,2025,identity,permits_2025_nr,,0
7,RS6700,2025,identity,permits_2025_total,,1
7,RS6700,2025,identity,permits_2025_source,,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL
7,RS6700,2026,identity,permits_2026_res,,2
7,RS6700,2026,identity,permits_2026_nr,,0
7,RS6700,2026,identity,permits_2026_total,,2
8,DA1041,2019,identity,permits_2019_res,,21
8,DA1041,2019,identity,permits_2019_nr,,1
8,DA1041,2019,identity,permits_2019_total,,22
8,DA1041,2019,identity,permits_2019_source,,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL
8,DA1041,2020,identity,permits_2020_res,,18
8,DA1041,2020,identity,permits_2020_nr,,2
8,DA1041,2020,identity,permits_2020_total,,20
8,DA1041,2020,identity,permits_2020_source,,CANONICAL_YEARLY_DRAW_RESULTS_2020_FOR_2021_MODEL
8,DA1041,2021,unique_hunt_code,permits_2021_res,,29
8,DA1041,2021,unique_hunt_code,permits_2021_nr,,0
8,DA1041,2021,unique_hunt_code,permits_2021_total,,29
8,DA1041,2021,unique_hunt_code,permits_2021_source,,CANONICAL_YEARLY_DRAW_RESULTS_2021_FOR_2022_MODEL
8,DA1041,2022,identity,permits_2022_res,,20
8,DA1041,2022,identity,permits_2022_nr,,0
8,DA1041,2022,identity,permits_2022_total,,20
8,DA1041,2022,identity,permits_2022_source,,CANONICAL_YEARLY_DRAW_RESULTS_2022_FOR_2023_MODEL
8,DA1041,2023,identity,permits_2023_res,,26
8,DA1041,2023,identity,permits_2023_nr,,4
8,DA1041,2023,identity,permits_2023_total,,30
8,DA1041,2023,identity,permits_2023_source,,CANONICAL_YEARLY_DRAW_RESULTS_2023_FOR_2024_MODEL
8,DA1041,2025,identity,permits_2025_res,6,14
8,DA1041,2025,identity,permits_2025_total,7,15
8,DA1041,2026,identity,permits_2026_res,,0
8,DA1041,2026,identity,permits_2026_nr,,0
8,DA1041,2026,identity,permits_2026_total,,0
9,BR1008,2019,unique_hunt_code,permits_2019_res,,26
9,BR1008,2019,unique_hunt_code,permits_2019_nr,,2
9,BR1008,2019,unique_hunt_code,permits_2019_total,,28
9,BR1008,2019,unique_hunt_code,permits_2019_source,,CANONICAL_YEARLY_DRAW_RESULTS_2019_FOR_2020_MODEL
9,BR1008,2020,unique_hunt_code,permits_2020_res,,26
