row_number,hunt_code,year,match_method
21,BR7224,2022,identity
21,BR7224,2023,identity
21,BR7224,2024,identity
21,BR7224,2025,identity
21,BR7224,2026,identity
22,BR7225,2019,identity
22,BR7225,2020,identity
22,BR7225,2021,identity
22,BR7225,2022,identity
22,BR7225,2023,identity
22,BR7225,2024,identity
22,BR7225,2025,identity
22,BR7225,2026,identity
23,BR7301,2019,identity
23,BR7301,2020,identity
23,BR7301,2021,unique_hunt_code
23,BR7301,2022,unique_hunt_code
23,BR7301,2023,unique_hunt_code
23,BR7301,2024,unique_hunt_code
23,BR7301,2025,identity
23,BR7301,2026,identity
24,EB3002,2019,identity
24,EB3002,2020,identity
24,EB3002,2021,identity
24,EB3002,2022,identity
24,EB3002,2023,identity
24,EB3002,2024,identity
24,EB3002,2025,identity
24,EB3002,2026,identity
25,EB3028,2019,unique_hunt_code
25,EB3028,2020,unique_hunt_code
25,EB3028,2021,unique_hunt_code
25,EB3028,2022,unique_hunt_code
25,EB3028,2023,unique_hunt_code
25,EB3028,2024,unique_hunt_code
25,EB3028,2025,unique_hunt_code
25,EB3028,2026,identity
26,EB3079,2019,identity
26,EB3079,2020,identity
26,EB3079,2021,identity
26,EB3079,2022,identity
26,EB3079,2023,identity
26,EB3079,2024,identity
26,EB3079,2025,identity
26,EB3079,2026,identity
27,EB3104,2019,identity
27,EB3104,2020,identity
27,EB3104,2021,unique_hunt_code
27,EB3104,2022,unique_hunt_code
27,EB3104,2023,unique_hunt_code
27,EB3104,2024,unique_hunt_code
27,EB3104,2025,unique_hunt_code
27,EB3104,2026,identity
28,EB3167,2019,no_match
28,EB3167,2020,no_match
28,EB3167,2021,no_match
28,EB3167,2022,no_match
28,EB3167,2023,identity
28,EB3167,2024,unique_hunt_code
28,EB3167,2025,unique_hunt_code
28,EB3167,2026,identity
29,EL3002,2019,no_match
29,EL3002,2020,no_match
29,EL3002,2021,no_match
29,EL3002,2022,no_match
29,EL3002,2023,no_match
29,EL3002,2024,no_match
29,EL3002,2025,no_match
29,EL3002,2026,no_match
30,EL3028,2019,no_match
30,EL3028,2020,no_match
30,EL3028,2021,no_match
30,EL3028,2022,no_match
30,EL3028,2023,no_match
30,EL3028,2024,no_match
30,EL3028,2025,no_match
30,EL3028,2026,no_match
31,EL3079,2019,no_match
31,EL3079,2020,no_match
31,EL3079,2021,no_match
31,EL3079,2022,no_match
31,EL3079,2023,no_match
31,EL3079,2024,no_match
31,EL3079,2025,no_match
31,EL3079,2026,no_match
32,EL3167,2019,no_match
32,EL3167,2020,no_match
32,EL3167,2021,no_match
32,EL3167,2022,no_match
32,EL3167,2023,no_match
32,EL3167,2024,no_match
32,EL3167,2025,no_match
32,EL3167,2026,no_match
33,DB1018,2019,identity
33,DB1018,2020,identity
33,DB1018,2021,identity
33,DB1018,2022,identity
33,DB1018,2023,identity
33,DB1018,2024,identity
33,DB1018,2025,identity
33,DB1018,2026,identity
34,PB5002,2019,identity
34,PB5002,2020,identity
34,PB5002,2021,identity
34,PB5002,2022,identity
34,PB5002,2023,identity
34,PB5002,2024,identity
34,PB5002,2025,identity
34,PB5002,2026,identity
35,PB5027,2019,identity
35,PB5027,2020,identity
35,PB5027,2021,identity
35,PB5027,2022,identity
35,PB5027,2023,identity
35,PB5027,2024,identity
35,PB5027,2025,identity
35,PB5027,2026,identity
36,RS1001,2019,no_match
36,RS1001,2020,no_match
36,RS1001,2021,no_match
36,RS1001,2022,no_match
36,RS1001,2023,no_match
36,RS1001,2024,no_match
36,RS1001,2025,no_match
36,RS1001,2026,no_match
37,RS6701,2019,identity
37,RS6701,2020,identity
37,RS6701,2021,identity
37,RS6701,2022,unique_hunt_code
37,RS6701,2023,unique_hunt_code
37,RS6701,2024,unique_hunt_code
37,RS6701,2025,identity
37,RS6701,2026,identity
38,EA1266,2019,no_match
38,EA1266,2020,no_match
38,EA1266,2021,no_match
38,EA1266,2022,no_match
38,EA1266,2023,no_match
38,EA1266,2024,unique_hunt_code
38,EA1266,2025,identity
38,EA1266,2026,identity
39,EA2026,2019,no_match
39,EA2026,2020,no_match
39,EA2026,2021,no_match
39,EA2026,2022,no_match
39,EA2026,2023,no_match
39,EA2026,2024,no_match
39,EA2026,2025,no_match
39,EA2026,2026,identity
40,RE1000,2019,no_match
40,RE1000,2020,unique_hunt_code
40,RE1000,2021,unique_hunt_code
40,RE1000,2022,unique_hunt_code
40,RE1000,2023,identity
40,RE1000,2024,identity
40,RE1000,2025,identity
40,RE1000,2026,identity
41,RS1003,2019,no_match
41,RS1003,2020,no_match
41,RS1003,2021,no_match
41,RS1003,2022,no_match
41,RS1003,2023,no_match
41,RS1003,2024,no_match
41,RS1003,2025,no_match
41,RS1003,2026,no_match
42,RS6703,2019,identity
42,RS6703,2020,identity
42,RS6703,2021,identity
42,RS6703,2022,unique_hunt_code
42,RS6703,2023,unique_hunt_code
42,RS6703,2024,unique_hunt_code
42,RS6703,2025,identity
42,RS6703,2026,identity
43,RS6704,2019,identity
43,RS6704,2020,identity
43,RS6704,2021,unique_hunt_code
43,RS6704,2022,unique_hunt_code
43,RS6704,2023,unique_hunt_code
43,RS6704,2024,unique_hunt_code
43,RS6704,2025,identity
43,RS6704,2026,identity
44,RS6722,2019,identity
44,RS6722,2020,identity
44,RS6722,2021,unique_hunt_code
44,RS6722,2022,unique_hunt_code
44,RS6722,2023,unique_hunt_code
44,RS6722,2024,unique_hunt_code
44,RS6722,2025,identity
44,RS6722,2026,identity
45,DA1031,2019,identity
45,DA1031,2020,identity
45,DA1031,2021,unique_hunt_code
45,DA1031,2022,identity
45,DA1031,2023,identity
45,DA1031,2024,unique_hunt_code
45,DA1031,2025,identity
45,DA1031,2026,identity
46,DA1033,2019,identity
46,DA1033,2020,identity
46,DA1033,2021,unique_hunt_code
46,DA1033,2022,identity
46,DA1033,2023,identity
46,DA1033,2024,unique_hunt_code
46,DA1033,2025,identity
46,DA1033,2026,identity
47,DA1042,2019,identity
47,DA1042,2020,identity
47,DA1042,2021,unique_hunt_code
47,DA1042,2022,identity
47,DA1042,2023,identity
47,DA1042,2024,unique_hunt_code
47,DA1042,2025,identity
47,DA1042,2026,identity
48,PB5003,2019,identity
48,PB5003,2020,identity
48,PB5003,2021,identity
48,PB5003,2022,identity
48,PB5003,2023,identity
48,PB5003,2024,identity
48,PB5003,2025,identity
48,PB5003,2026,identity
49,PB5028,2019,identity
49,PB5028,2020,identity
49,PB5028,2021,identity
49,PB5028,2022,identity
49,PB5028,2023,identity
49,PB5028,2024,identity
49,PB5028,2025,identity
49,PB5028,2026,identity
50,PD1012,2019,unique_hunt_code
50,PD1012,2020,unique_hunt_code
50,PD1012,2021,unique_hunt_code
50,PD1012,2022,identity
50,PD1012,2023,identity
50,PD1012,2024,identity
50,PD1012,2025,identity
50,PD1012,2026,identity
51,PB5004,2019,identity
51,PB5004,2020,identity
51,PB5004,2021,identity
51,PB5004,2022,identity
51,PB5004,2023,identity
51,PB5004,2024,identity
51,PB5004,2025,identity
51,PB5004,2026,identity
52,PB5029,2019,identity
52,PB5029,2020,identity
52,PB5029,2021,identity
52,PB5029,2022,identity
52,PB5029,2023,identity
52,PB5029,2024,identity
52,PB5029,2025,identity
52,PB5029,2026,identity
53,PB5005,2019,identity
53,PB5005,2020,identity
53,PB5005,2021,identity
53,PB5005,2022,identity
53,PB5005,2023,identity
53,PB5005,2024,identity
53,PB5005,2025,identity
53,PB5005,2026,identity
54,PB5030,2019,identity
54,PB5030,2020,identity
54,PB5030,2021,identity
54,PB5030,2022,identity
54,PB5030,2023,identity
54,PB5030,2024,identity
54,PB5030,2025,identity
54,PB5030,2026,identity
55,PB5080,2019,no_match
55,PB5080,2020,no_match
55,PB5080,2021,no_match
55,PB5080,2022,no_match
55,PB5080,2023,no_match
55,PB5080,2024,no_match
55,PB5080,2025,identity
55,PB5080,2026,identity
56,PD1000,2019,unique_hunt_code
56,PD1000,2020,unique_hunt_code
56,PD1000,2021,unique_hunt_code
56,PD1000,2022,identity
56,PD1000,2023,identity
56,PD1000,2024,identity
56,PD1000,2025,identity
56,PD1000,2026,identity
57,DA1001,2019,unique_hunt_code
57,DA1001,2020,unique_hunt_code
57,DA1001,2021,unique_hunt_code
57,DA1001,2022,unique_hunt_code
57,DA1001,2023,unique_hunt_code
57,DA1001,2024,unique_hunt_code
57,DA1001,2025,identity
57,DA1001,2026,identity
58,DA1002,2019,unique_hunt_code
58,DA1002,2020,unique_hunt_code
58,DA1002,2021,unique_hunt_code
58,DA1002,2022,unique_hunt_code
58,DA1002,2023,unique_hunt_code
58,DA1002,2024,unique_hunt_code
58,DA1002,2025,identity
58,DA1002,2026,identity
59,DB1078,2019,no_match
59,DB1078,2020,identity
59,DB1078,2021,identity
59,DB1078,2022,identity
59,DB1078,2023,identity
59,DB1078,2024,identity
59,DB1078,2025,identity
59,DB1078,2026,identity
60,DB1502,2019,identity
60,DB1502,2020,identity
60,DB1502,2021,unique_hunt_code
60,DB1502,2022,identity
60,DB1502,2023,identity
60,DB1502,2024,identity
60,DB1502,2025,identity
60,DB1502,2026,identity
61,DB1627,2019,no_match
61,DB1627,2020,no_match
61,DB1627,2021,no_match
61,DB1627,2022,no_match
61,DB1627,2023,no_match
61,DB1627,2024,no_match
61,DB1627,2025,identity
61,DB1627,2026,identity
62,DB1628,2019,no_match
62,DB1628,2020,no_match
62,DB1628,2021,no_match
62,DB1628,2022,no_match
62,DB1628,2023,no_match
62,DB1628,2024,no_match
62,DB1628,2025,identity
62,DB1628,2026,identity
63,DB1771,2019,identity
63,DB1771,2020,identity
63,DB1771,2021,unique_hunt_code
63,DB1771,2022,unique_hunt_code
63,DB1771,2023,identity
63,DB1771,2024,unique_hunt_code
63,DB1771,2025,identity
63,DB1771,2026,identity
64,EA1267,2019,no_match
64,EA1267,2020,no_match
64,EA1267,2021,no_match
64,EA1267,2022,no_match
64,EA1267,2023,no_match
64,EA1267,2024,unique_hunt_code
64,EA1267,2025,identity
64,EA1267,2026,identity
65,EA2027,2019,no_match
65,EA2027,2020,no_match
65,EA2027,2021,no_match
65,EA2027,2022,no_match
65,EA2027,2023,no_match
65,EA2027,2024,no_match
65,EA2027,2025,no_match
65,EA2027,2026,identity
66,LO1502,2019,no_match
66,LO1502,2020,no_match
66,LO1502,2021,no_match
66,LO1502,2022,no_match
66,LO1502,2023,no_match
66,LO1502,2024,no_match
66,LO1502,2025,no_match
66,LO1502,2026,no_match
67,LO1627,2019,no_match
67,LO1627,2020,no_match
67,LO1627,2021,no_match
67,LO1627,2022,no_match
67,LO1627,2023,no_match
67,LO1627,2024,no_match
67,LO1627,2025,no_match
67,LO1627,2026,no_match
68,LO1628,2019,no_match
68,LO1628,2020,no_match
68,LO1628,2021,no_match
68,LO1628,2022,no_match
68,LO1628,2023,no_match
68,LO1628,2024,no_match
68,LO1628,2025,no_match
68,LO1628,2026,no_match
69,MB6000,2019,identity
69,MB6000,2020,identity
69,MB6000,2021,identity
69,MB6000,2022,identity
69,MB6000,2023,identity
69,MB6000,2024,identity
69,MB6000,2025,identity
69,MB6000,2026,identity
70,DB1026,2019,identity
70,DB1026,2020,identity
70,DB1026,2021,identity
70,DB1026,2022,identity
70,DB1026,2023,identity
70,DB1026,2024,identity
70,DB1026,2025,identity
70,DB1026,2026,identity
71,EB3003,2019,identity
71,EB3003,2020,identity
71,EB3003,2021,identity
71,EB3003,2022,identity
71,EB3003,2023,identity
71,EB3003,2024,identity
71,EB3003,2025,identity
71,EB3003,2026,identity
72,EB3032,2019,unique_hunt_code
72,EB3032,2020,unique_hunt_code
72,EB3032,2021,unique_hunt_code
72,EB3032,2022,unique_hunt_code
72,EB3032,2023,unique_hunt_code
72,EB3032,2024,unique_hunt_code
72,EB3032,2025,unique_hunt_code
72,EB3032,2026,identity
73,EB3033,2019,unique_hunt_code
73,EB3033,2020,unique_hunt_code
73,EB3033,2021,unique_hunt_code
73,EB3033,2022,unique_hunt_code
73,EB3033,2023,unique_hunt_code
73,EB3033,2024,unique_hunt_code
73,EB3033,2025,unique_hunt_code
73,EB3033,2026,identity
74,EB3081,2019,identity
74,EB3081,2020,identity
74,EB3081,2021,identity
74,EB3081,2022,identity
74,EB3081,2023,identity
74,EB3081,2024,identity
74,EB3081,2025,identity
74,EB3081,2026,identity
75,EB3105,2019,identity
75,EB3105,2020,identity
75,EB3105,2021,unique_hunt_code
75,EB3105,2022,unique_hunt_code
75,EB3105,2023,unique_hunt_code
75,EB3105,2024,unique_hunt_code
75,EB3105,2025,unique_hunt_code
75,EB3105,2026,identity
76,EB3168,2019,no_match
76,EB3168,2020,no_match
76,EB3168,2021,no_match
76,EB3168,2022,no_match
76,EB3168,2023,identity
76,EB3168,2024,unique_hunt_code
76,EB3168,2025,no_match
76,EB3168,2026,identity
77,EB3169,2019,no_match
77,EB3169,2020,no_match
77,EB3169,2021,no_match
77,EB3169,2022,no_match
77,EB3169,2023,identity
77,EB3169,2024,unique_hunt_code
77,EB3169,2025,unique_hunt_code
77,EB3169,2026,identity
78,EL3003,2019,no_match
78,EL3003,2020,no_match
78,EL3003,2021,no_match
78,EL3003,2022,no_match
78,EL3003,2023,no_match
78,EL3003,2024,no_match
78,EL3003,2025,no_match
78,EL3003,2026,no_match
79,EL3032,2019,no_match
79,EL3032,2020,no_match
79,EL3032,2021,no_match
79,EL3032,2022,no_match
79,EL3032,2023,no_match
79,EL3032,2024,no_match
79,EL3032,2025,no_match
79,EL3032,2026,no_match
80,EL3033,2019,no_match
80,EL3033,2020,no_match
80,EL3033,2021,no_match
80,EL3033,2022,no_match
80,EL3033,2023,no_match
80,EL3033,2024,no_match
80,EL3033,2025,no_match
80,EL3033,2026,no_match
81,EL3081,2019,no_match
81,EL3081,2020,no_match
81,EL3081,2021,no_match
81,EL3081,2022,no_match
81,EL3081,2023,no_match
81,EL3081,2024,no_match
81,EL3081,2025,no_match
81,EL3081,2026,no_match
82,EL3168,2019,no_match
82,EL3168,2020,no_match
82,EL3168,2021,no_match
82,EL3168,2022,no_match
82,EL3168,2023,no_match
82,EL3168,2024,no_match
82,EL3168,2025,no_match
82,EL3168,2026,no_match
83,EL3169,2019,no_match
83,EL3169,2020,no_match
83,EL3169,2021,no_match
83,EL3169,2022,no_match
83,EL3169,2023,no_match
83,EL3169,2024,no_match
83,EL3169,2025,no_match
83,EL3169,2026,no_match
84,EB3132,2019,no_match
84,EB3132,2020,no_match
84,EB3132,2021,unique_hunt_code
84,EB3132,2022,unique_hunt_code
84,EB3132,2023,unique_hunt_code
84,EB3132,2024,unique_hunt_code
84,EB3132,2025,unique_hunt_code
84,EB3132,2026,identity
85,EB3139,2019,no_match
85,EB3139,2020,no_match
85,EB3139,2021,unique_hunt_code
85,EB3139,2022,unique_hunt_code
85,EB3139,2023,unique_hunt_code
85,EB3139,2024,unique_hunt_code
85,EB3139,2025,identity
85,EB3139,2026,identity
86,EL3132,2019,no_match
86,EL3132,2020,no_match
86,EL3132,2021,no_match
86,EL3132,2022,no_match
86,EL3132,2023,no_match
86,EL3132,2024,no_match
86,EL3132,2025,no_match
86,EL3132,2026,no_match
87,EL3139,2019,no_match
87,EL3139,2020,no_match
87,EL3139,2021,no_match
87,EL3139,2022,no_match
87,EL3139,2023,no_match
87,EL3139,2024,no_match
87,EL3139,2025,no_match
87,EL3139,2026,no_match
88,EA1010,2019,identity
88,EA1010,2020,identity
88,EA1010,2021,unique_hunt_code
88,EA1010,2022,identity
88,EA1010,2023,identity
88,EA1010,2024,unique_hunt_code
88,EA1010,2025,identity
88,EA1010,2026,identity
89,EA1193,2019,identity
89,EA1193,2020,identity
89,EA1193,2021,unique_hunt_code
89,EA1193,2022,identity
89,EA1193,2023,identity
89,EA1193,2024,unique_hunt_code
89,EA1193,2025,identity
89,EA1193,2026,identity
90,PB5073,2019,no_match
90,PB5073,2020,no_match
90,PB5073,2021,no_match
90,PB5073,2022,no_match
90,PB5073,2023,identity
90,PB5073,2024,identity
90,PB5073,2025,identity
90,PB5073,2026,identity
91,PB5074,2019,no_match
91,PB5074,2020,no_match
91,PB5074,2021,no_match
91,PB5074,2022,no_match
91,PB5074,2023,identity
91,PB5074,2024,identity
