row,hunt_code,column,old,new,species,sex_type,weapon
110,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
111,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
112,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
113,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
114,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
115,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
116,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
117,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
118,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
119,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
120,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
121,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
122,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
123,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
124,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
125,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
126,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
127,DA1044,hunt_name,"South Slope, Myton",Myton,Deer,Antlerless,Any Legal Weapon
200,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
201,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
202,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
203,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
204,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
205,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
206,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
207,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
208,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
209,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
210,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
211,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
212,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
213,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
214,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
215,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
216,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
217,DA1048,hunt_name,Fillmore City,"Fillmore, Fillmore City",Deer,Antlerless,Archery
218,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
219,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
220,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
221,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
222,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
223,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
224,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
225,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
226,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
227,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
228,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
229,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
230,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
231,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
232,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
233,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
234,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
235,DA1049,hunt_name,"South Slope, Ashley Valley","Vernal, Ashley Valley",Deer,Antlerless,Archery
290,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
291,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
292,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
293,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
294,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
295,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
296,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
297,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
298,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
299,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
300,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
301,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
302,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
303,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
304,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
305,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
306,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
307,DA1011,hunt_name,George Creek CWMU,George Creek,Deer,Antlerless,Any Legal Weapon
308,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
309,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
310,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
311,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
312,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
313,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
314,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
315,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
316,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
317,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
318,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
319,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
320,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
321,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
322,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
323,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
324,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
325,DA1012,hunt_name,Junction Valley CWMU,Junction Valley,Deer,Antlerless,Any Legal Weapon
326,DA1013,hunt_name,Mt Carmel CWMU,Mt Carmel,Deer,Antlerless,Any Legal Weapon
327,DA1013,hunt_name,Mt Carmel CWMU,Mt Carmel,Deer,Antlerless,Any Legal Weapon
328,DA1013,hunt_name,Mt Carmel CWMU,Mt Carmel,Deer,Antlerless,Any Legal Weapon
329,DA1013,hunt_name,Mt Carmel CWMU,Mt Carmel,Deer,Antlerless,Any Legal Weapon
330,DA1013,hunt_name,Mt Carmel CWMU,Mt Carmel,Deer,Antlerless,Any Legal Weapon
