hunt_code,lookup_rows,boundary_ids,status
DB1223,0,,no_lookup
DB1278,0,,no_lookup
DB1297,0,,no_lookup
DB1307,0,,no_lookup
DB1339,0,,no_lookup
DB1340,0,,no_lookup
DB1500,0,,no_lookup
DB1515,0,,no_lookup
DB1520,0,,no_lookup
DB1527,0,,no_lookup
DB1528,0,,no_lookup
DB1530,0,,no_lookup
DB1532,0,,no_lookup
DB1545,0,,no_lookup
DB1548,0,,no_lookup
DB1550,0,,no_lookup
DB1557,0,,no_lookup
DB1558,0,,no_lookup
DB1560,0,,no_lookup
DB1562,0,,no_lookup
DB1575,0,,no_lookup
DB1578,0,,no_lookup
DB1580,0,,no_lookup
DB1587,0,,no_lookup
DB1588,0,,no_lookup
DB1769,0,,no_lookup
DB1784,0,,no_lookup
DB1789,0,,no_lookup
DB1796,0,,no_lookup
DB1797,0,,no_lookup
EA1009,0,,no_lookup
EA1052,0,,no_lookup
EA1091,0,,no_lookup
EA1098,0,,no_lookup
EA1099,0,,no_lookup
EA1100,0,,no_lookup
EA1144,0,,no_lookup
EA1155,0,,no_lookup
EA1194,0,,no_lookup
EA1205,0,,no_lookup
EA1227,0,,no_lookup
EA1253,0,,no_lookup
EA1255,0,,no_lookup
EA2035,0,,no_lookup
EB3510,0,,no_lookup
EB3542,0,,no_lookup
EB3563,0,,no_lookup
EB3612,0,,no_lookup
MB6252,0,,no_lookup
