file,year,row_number,hunt_code,field,old_value,new_value,source_pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31874,CG1000,total_success_ratio,,"1 in 1,411.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31874,CG1000,total_p_draw,,0.000708717221828,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31874,CG1000,total_p_draw_percent,,0.070871722,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31875,DB0007,resident_eligible_applicants,,10594,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31875,DB0007,resident_bonus_permits,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31875,DB0007,resident_regular_permits,,1,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31875,DB0007,resident_success_ratio,,"1 in 10,594.0",audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31875,DB0007,resident_p_draw,,9.43930526713e-05,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31875,DB0007,resident_p_draw_percent,,0.0094393053,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
data_truth/draw_results_truth/normalized/canonical_yearly/draw_results_2022_for_2023_canonical_yearly_draw_results.csv,2022,31875,DB0007,nonresident_eligible_applicants,,0,audits/2025_canonical_finalization/fresh_live_pulls_20260621_192945/older_years_biggame_odds/2022/22-23_sportsman_odds.pdf
