year,output_kind,rows,path,normalized_legacy_sportsman_rows,zero_applicant_scorable_rows
2019,scorable,31939,outputs/2019 scorable draw results.csv,11,19932
2019,reference,1539,outputs/2019 non-scorable reference rows.csv,,
2019,quota,0,outputs/2019 quota allotment rows.csv,,
2020,scorable,31902,outputs/2020 scorable draw results.csv,11,19564
2020,reference,1468,outputs/2020 non-scorable reference rows.csv,,
2020,quota,0,outputs/2020 quota allotment rows.csv,,
2021,scorable,32340,outputs/2021 scorable draw results.csv,11,19601
2021,reference,1448,outputs/2021 non-scorable reference rows.csv,,
2021,quota,0,outputs/2021 quota allotment rows.csv,,
2022,scorable,33449,outputs/2022 scorable draw results.csv,11,20359
2022,reference,1427,outputs/2022 non-scorable reference rows.csv,,
2022,quota,0,outputs/2022 quota allotment rows.csv,,
2023,scorable,35833,outputs/2023 scorable draw results.csv,10,22106
2023,reference,1,outputs/2023 non-scorable reference rows.csv,,
2023,quota,0,outputs/2023 quota allotment rows.csv,,
2024,scorable,43334,outputs/2024 scorable draw results.csv,10,26625
2024,reference,1,outputs/2024 non-scorable reference rows.csv,,
2024,quota,0,outputs/2024 quota allotment rows.csv,,
2025,scorable,37724,outputs/2025 scorable draw results.csv,0,23037
2025,reference,396,outputs/2025 non-scorable reference rows.csv,,
2025,quota,0,outputs/2025 quota allotment rows.csv,,
2026,scorable,22452,outputs/2026 scorable draw results.csv,0,10400
2026,reference,262,outputs/2026 non-scorable reference rows.csv,,
2026,quota,262,outputs/2026 quota allotment rows.csv,,
