row,hunt_code,hunt_name,species,sex_type,weapon,hunt_type
248,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
249,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
250,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
251,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
252,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
253,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
578,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
579,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
580,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
581,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
582,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
583,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
584,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
585,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
586,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
587,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
588,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
589,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
590,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
591,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
592,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
593,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
594,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
595,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
776,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
777,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
778,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
779,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
780,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
781,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
782,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
783,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
784,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
785,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
786,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
787,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
788,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
789,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
790,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
791,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
792,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
793,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2612,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2613,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2614,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2615,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2616,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2617,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2618,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2619,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2620,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2621,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2622,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2623,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2624,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2625,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2626,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2627,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2628,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
2629,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
3834,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3835,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3836,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3837,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3838,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3839,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3840,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3841,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3842,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3843,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3844,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3845,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3846,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3847,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3848,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3849,DA1001,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3882,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3883,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3884,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3885,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3886,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3887,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3888,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3889,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3890,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3891,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3892,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3893,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3894,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3895,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3896,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
3897,DA1002,"Box Elder, West Bear River",Deer,Antlerless,Archery,Limited Entry
4074,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4075,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4076,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4077,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4078,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4079,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4080,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4081,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4082,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4083,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4084,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4085,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4086,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4087,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4088,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4089,EA1174,Two Bear CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4234,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4235,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4236,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4237,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4238,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4239,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4240,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4241,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4242,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4243,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4244,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4245,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4246,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4247,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4248,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
4249,EA1198,Bear Springs CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5818,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5819,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5820,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5821,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5822,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5823,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5824,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5825,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5826,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5827,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5828,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5829,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5830,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5831,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5832,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
5833,EA1120,Bear Mountain CWMU,Elk,Antlerless,Any Legal Weapon,CWMU
10531,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10532,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10533,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10534,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10535,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10536,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10537,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10538,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10539,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10540,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10541,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10542,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10543,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10544,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10545,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10546,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10547,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10548,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10549,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10550,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10551,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10552,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10553,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10554,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10555,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10556,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10557,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10558,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10559,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10560,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10561,DB1014,"San Juan, Elk Ridge",Deer,Buck,Archery,Limited Entry
10934,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10935,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10936,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10937,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10938,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10939,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10940,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10941,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10942,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10943,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10944,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10945,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10946,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10947,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10948,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10949,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10950,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10951,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10952,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10953,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10954,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10955,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10956,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10957,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10958,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10959,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10960,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10961,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10962,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10963,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
10964,DB1304,Two Bear CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11616,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11617,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11618,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11619,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11620,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11621,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11622,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11623,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11624,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11625,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11626,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11627,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11628,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11629,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11630,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11631,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11632,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11633,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11634,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11635,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11636,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11637,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11638,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11639,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11640,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11641,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11642,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11643,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11644,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11645,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
11646,DB1334,Alton - Cactus Buck CWMU,Deer,Buck,Any Legal Weapon,Limited Entry
12391,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12392,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12393,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12394,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12395,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12396,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12397,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12398,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12399,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12400,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12401,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12402,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12403,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12404,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12405,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12406,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12407,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12408,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12409,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12410,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12411,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12412,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12413,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12414,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12415,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12416,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12417,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12418,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12419,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12420,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12421,EB3019,San Juan Bull Elk,Elk,Bull,Archery,Limited Entry
12918,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12919,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12920,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12921,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12922,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12923,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12924,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12925,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12926,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12927,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12928,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12929,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12930,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12931,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12932,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12933,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12934,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12935,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12936,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12937,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12938,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12939,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12940,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12941,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12942,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
12943,DB1022,"San Juan, Elk Ridge",Deer,Buck,Any Legal Weapon,Limited Entry
