source_csv,included_in_source_universe,row_count,unique_hunt_codes,sample_hunt_codes
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,True,1776,107,DB0008|DB1501|DB1502|DB1503|DB1504|DB1506|DB1508|DB1509|DB1510|DB1511|DB1512|DB1513
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_06_draw_only_youth_elk.csv,True,2,1,EB1007
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_08_limited_entry_buck_deer.csv,True,3945,193,DB1000|DB1001|DB1002|DB1003|DB1004|DB1005|DB1006|DB1007|DB1008|DB1009|DB1010|DB1011
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_09_limited_entry_bull_elk.csv,True,6456,210,EB3000|EB3002|EB3003|EB3005|EB3006|EB3008|EB3009|EB3010|EB3011|EB3013|EB3015|EB3018
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_10_limited_entry_buck_pronghorn.csv,True,1477,88,PB5000|PB5001|PB5002|PB5003|PB5004|PB5005|PB5006|PB5008|PB5009|PB5011|PB5012|PB5013
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_11_bull_moose.csv,True,927,27,MB6000|MB6001|MB6002|MB6003|MB6004|MB6005|MB6006|MB6007|MB6008|MB6009|MB6010|MB6011
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_12_bison.csv,True,578,17,BI6500|BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6528|BI6529|BI6531|BI6532|BI6534
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_13_desert_bighorn_sheep.csv,True,727,19,DBS|DS6600|DS6601|DS6603|DS6604|DS6606|DS6607|DS6608|DS6609|DS6610|DS6611|DS6620
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_14_rocky_mtn_bighorn_sheep.csv,True,535,16,RMB|RS6700|RS6701|RS6703|RS6704|RS6708|RS6709|RS6712|RS6713|RS6720|RS6721|RS6722
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_15_mountain_goat.csv,True,582,18,GO6800|GO6801|GO6803|GO6804|GO6805|GO6806|GO6807|GO6808|GO6810|GO6813|GO6814|GO6817
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_32_dedicated_hunter_buck_deer.csv,True,301,32,DB1770|DB1771|DB1772|DB1773|DB1775|DB1777|DB1778|DB1779|DB1780|DB1781|DB1782|DB1783
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_black_bear_01_black_bear.csv,True,1461,91,BER|BR7000|BR7001|BR7003|BR7004|BR7005|BR7007|BR7009|BR7010|BR7011|BR7012|BR7013
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_black_bear_16_black_bear_restricted_pursuit.csv,True,89,10,BPU|BR1008|BR1009|BR1010|BR1011|BR1012|BR1013|BR1015|BR1016|BR1017
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_22_sportsman_deer.csv,False,1,1,DB0007
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_23_sportsman_elk.csv,False,1,1,EB1000
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_24_sportsman_pronghorn.csv,False,1,1,PB1000
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_25_sportsman_moose.csv,False,1,1,MB1000
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_26_sportsman_bison.csv,False,1,1,BI1000
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_27_sportsman_rocky_mtn_bighorn_sheep.csv,False,1,1,RS0001
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_28_sportsman_desert_bighorn_sheep.csv,False,1,1,DS1000
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_29_sportsman_mountain_goat.csv,False,1,1,GO1000
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_30_sportsman_black_bear.csv,False,1,1,BR1000
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_31_sportsman_turkey.csv,False,1,1,TK0001
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_sportsman_all.csv,True,10,10,BI1000|BR1000|DB0007|DS1000|EB1000|GO1000|MB1000|PB1000|RS0001|TK0001
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,True,187,8,TK1003|TK1004|TK1005|TK1006|TK1007|TK1018|TK1021|TKY
