surface,source_csv,hunt_code,legacy_hunt_code_prefix,hunt_code_prefix_status,residency,point_level,hunt_name,species,hunt_category,applicants,permits,source_file,source_namespace,raw_hunt_code_status
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,6,General Deer Preference Point,Buck Deer,Preference Point,1274,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,1,General Deer Preference Point,Buck Deer,Preference Point,2188,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,13,General Deer Preference Point,Buck Deer,Preference Point,55,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,9,General Deer Preference Point,Buck Deer,Preference Point,165,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,13,General Deer Preference Point,Buck Deer,Preference Point,284,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,11,General Deer Preference Point,Buck Deer,Preference Point,295,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,12,General Deer Preference Point,Buck Deer,Preference Point,255,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,14,General Deer Preference Point,Buck Deer,Preference Point,56,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,4,General Deer Preference Point,Buck Deer,Preference Point,1574,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,18,General Deer Preference Point,Buck Deer,Preference Point,40,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,15,General Deer Preference Point,Buck Deer,Preference Point,21,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,17,General Deer Preference Point,Buck Deer,Preference Point,17,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,18,General Deer Preference Point,Buck Deer,Preference Point,6,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,23,General Deer Preference Point,Buck Deer,Preference Point,9,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,20,General Deer Preference Point,Buck Deer,Preference Point,25,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,16,General Deer Preference Point,Buck Deer,Preference Point,15,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,16,General Deer Preference Point,Buck Deer,Preference Point,126,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,24,General Deer Preference Point,Buck Deer,Preference Point,10,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,2,General Deer Preference Point,Buck Deer,Preference Point,2971,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,3,General Deer Preference Point,Buck Deer,Preference Point,2095,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,7,General Deer Preference Point,Buck Deer,Preference Point,963,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,0,General Deer Preference Point,Buck Deer,Preference Point,5390,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,9,General Deer Preference Point,Buck Deer,Preference Point,576,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,5,General Deer Preference Point,Buck Deer,Preference Point,922,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,5,General Deer Preference Point,Buck Deer,Preference Point,1437,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,10,General Deer Preference Point,Buck Deer,Preference Point,380,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,0,General Deer Preference Point,Buck Deer,Preference Point,2854,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,12,General Deer Preference Point,Buck Deer,Preference Point,66,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,8,General Deer Preference Point,Buck Deer,Preference Point,768,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,15,General Deer Preference Point,Buck Deer,Preference Point,373,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,7,General Deer Preference Point,Buck Deer,Preference Point,356,0,,,FAMILY_AGGREGATE_LABEL
