source_csv,hunt_code,residency,point_level,hunt_name,species,hunt_category,applicants,permits,raw_hunt_code_status
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,0,Central Area,LE Bearded Turkey,Limited-Entry,0,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,1,Central Area,LE Bearded Turkey,Limited-Entry,2,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,2,Central Area,LE Bearded Turkey,Limited-Entry,3,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,3,Central Area,LE Bearded Turkey,Limited-Entry,1,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,4,Central Area,LE Bearded Turkey,Limited-Entry,0,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,5,Central Area,LE Bearded Turkey,Limited-Entry,0,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,6,Central Area,LE Bearded Turkey,Limited-Entry,0,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Nonresident,9,Central Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,0,Central Area,LE Bearded Turkey,Limited-Entry,233,18,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,1,Central Area,LE Bearded Turkey,Limited-Entry,108,27,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,2,Central Area,LE Bearded Turkey,Limited-Entry,41,9,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,3,Central Area,LE Bearded Turkey,Limited-Entry,342,67,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,4,Central Area,LE Bearded Turkey,Limited-Entry,6,6,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,5,Central Area,LE Bearded Turkey,Limited-Entry,160,125,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,6,Central Area,LE Bearded Turkey,Limited-Entry,112,112,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,7,Central Area,LE Bearded Turkey,Limited-Entry,10,10,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,8,Central Area,LE Bearded Turkey,Limited-Entry,5,5,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1003,Resident,9,Central Area,LE Bearded Turkey,Limited-Entry,2,2,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Nonresident,0,Northeastern Area,LE Bearded Turkey,Limited-Entry,17,3,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Nonresident,1,Northeastern Area,LE Bearded Turkey,Limited-Entry,5,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Nonresident,2,Northeastern Area,LE Bearded Turkey,Limited-Entry,7,3,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Nonresident,4,Northeastern Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Nonresident,5,Northeastern Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Resident,0,Northeastern Area,LE Bearded Turkey,Limited-Entry,328,38,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Resident,1,Northeastern Area,LE Bearded Turkey,Limited-Entry,28,15,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Resident,2,Northeastern Area,LE Bearded Turkey,Limited-Entry,121,40,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Resident,3,Northeastern Area,LE Bearded Turkey,Limited-Entry,84,84,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Resident,4,Northeastern Area,LE Bearded Turkey,Limited-Entry,40,40,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Resident,5,Northeastern Area,LE Bearded Turkey,Limited-Entry,9,9,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1004,Resident,6,Northeastern Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Nonresident,0,Northern Area,LE Bearded Turkey,Limited-Entry,1,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Nonresident,1,Northern Area,LE Bearded Turkey,Limited-Entry,8,3,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Nonresident,10,Northern Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Nonresident,2,Northern Area,LE Bearded Turkey,Limited-Entry,3,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Nonresident,4,Northern Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Nonresident,5,Northern Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Nonresident,6,Northern Area,LE Bearded Turkey,Limited-Entry,1,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,0,Northern Area,LE Bearded Turkey,Limited-Entry,118,33,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,1,Northern Area,LE Bearded Turkey,Limited-Entry,346,86,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,2,Northern Area,LE Bearded Turkey,Limited-Entry,192,60,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,3,Northern Area,LE Bearded Turkey,Limited-Entry,160,150,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,4,Northern Area,LE Bearded Turkey,Limited-Entry,46,46,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,5,Northern Area,LE Bearded Turkey,Limited-Entry,10,10,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,6,Northern Area,LE Bearded Turkey,Limited-Entry,3,3,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1005,Resident,7,Northern Area,LE Bearded Turkey,Limited-Entry,0,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Nonresident,0,Southeastern Area,LE Bearded Turkey,Limited-Entry,19,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Nonresident,1,Southeastern Area,LE Bearded Turkey,Limited-Entry,14,3,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Nonresident,2,Southeastern Area,LE Bearded Turkey,Limited-Entry,10,1,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Nonresident,3,Southeastern Area,LE Bearded Turkey,Limited-Entry,6,0,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Nonresident,4,Southeastern Area,LE Bearded Turkey,Limited-Entry,8,8,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Resident,0,Southeastern Area,LE Bearded Turkey,Limited-Entry,61,8,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Resident,1,Southeastern Area,LE Bearded Turkey,Limited-Entry,32,10,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Resident,2,Southeastern Area,LE Bearded Turkey,Limited-Entry,137,30,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Resident,3,Southeastern Area,LE Bearded Turkey,Limited-Entry,127,39,VALID_CODE_SHAPE
pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,TK1006,Resident,4,Southeastern Area,LE Bearded Turkey,Limited-Entry,83,83,VALID_CODE_SHAPE
