hunt_code,hunt_name,species,sex_type,weapon,hunt_type,best_crosswalk_status,best_confidence,recommended_resolution_bucket,boundary_confirmed,regulation_present,permit_conflict,evidence_source_count,evidence_sources,status_counts,notes
BI6505,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:4,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
BI6536,"Book Cliffs, Bitter Creek",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:6,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner.
DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1010,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,4,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|MERGED_UNITS:1|NEEDS_MANUAL_REMAP:8,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. Merge/split/structure evidence is present. At least one source still calls for manual remap/review.
EA1011,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,4,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|MERGED_UNITS:1|NEEDS_MANUAL_REMAP:5,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. Merge/split/structure evidence is present. At least one source still calls for manual remap/review.
EA1021,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:3,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1033,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
EA1035,"Kamas, Oakley",Elk,Antlerless,Any Legal Weapon,General Season,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,true,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,CODE_MATCH_BOUNDARY_CONFIRMED:5|NEEDS_MANUAL_REMAP:1,Boundary workbook/current database confirms current-code boundary. Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
