hunt_code,boundary_id,hunt_name_database,species_database,sex_type_database,weapon_database,hunt_type_database,hunt_class_database,rollup_bucket,resolution_status,database_family_match,boundary_confirmed,permit_conflict,current_allotment_res,current_allotment_nr,current_allotment_total,current_allotment_source,current_allotment_status,recommended_total_from_conflict_file,database_total_from_conflict_file,database_total_matches_recommended_total,best_crosswalk_status,best_confidence,evidence_source_count,evidence_sources,confirmed_boundary_ids_from_evidence,candidate_boundary_ids_from_evidence,historical_hunt_codes_from_evidence,regulation_present,notes
BI6505,94,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,NO:sex_type,true,true,8.0,3.0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,11,11,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,94,94,BI6503|BI6504|BI6505|BI6506|BI6516,true,Identity is current/active and DATABASE total matches the selected/recommended total. Database display-family comparison flagged NO:sex_type.
BI6536,667,"Book Cliffs, Bitter Creek",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,NO:sex_type,true,true,15.0,0.0,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,15,15,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,667,667,BI6529|BI6530|BI6531|BI6534|BI6535|BI6536|BI6537,true,Identity is current/active and DATABASE total matches the selected/recommended total. Database display-family comparison flagged NO:sex_type.
DA1009,169,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_TOTAL_ONLY,25,25,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,169,169,DA1009,true,Identity is current/active and DATABASE total matches the selected/recommended total.
DA1018,840,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,,,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_TOTAL_ONLY,20,20,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,840,840,DA1018,true,Identity is current/active and DATABASE total matches the selected/recommended total.
DA1033,23,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,,,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_TOTAL_ONLY,5,5,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,23,23,DA1033|DA1042,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1010,38,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,18.0,2.0,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,20,20,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,4,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,38,38,EA1010|EA1011|EA1012|EA1044|EA1193|EA1206|EA1228|EA1229|EA1267,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1011,39,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,9.0,1.0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,10,10,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,4,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,39,39,EA1010|EA1011|EA1012|EA1193|EA1206|EA1267,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1021,616,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,207.0,23.0,230,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,230,230,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,616,616,EA1021|EA1207|EA1208|EA1226,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1033,611,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,112.0,13.0,125,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,125,125,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,611,611,EA1033|EA1035,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1035,104,"Kamas, Oakley",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,112.0,13.0,125,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,125,125,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,104,104,EA1033|EA1035,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1054,132,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,45.0,5.0,50,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,50,50,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,132,132,EA1054|EA1239|EA1240,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1063,609,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,67.0,8.0,75,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,75,75,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,609,609,EA1063|EA1064|EA1269,true,Identity is current/active and DATABASE total matches the selected/recommended total.
