hunt_code,boundary_id,hunt_name_database,species_database,sex_type_database,weapon_database,hunt_type_database,hunt_class_database,rollup_bucket,resolution_status,database_family_match,boundary_confirmed,permit_conflict,current_allotment_res,current_allotment_nr,current_allotment_total,current_allotment_source,current_allotment_status,recommended_total_from_conflict_file,database_total_from_conflict_file,database_total_matches_recommended_total,best_crosswalk_status,best_confidence,evidence_source_count,evidence_sources,confirmed_boundary_ids_from_evidence,candidate_boundary_ids_from_evidence,historical_hunt_codes_from_evidence,regulation_present,notes
EA1069,634,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,35,35,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,634,634,EA1069,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1129,568,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,425.0,0.0,425,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,425,425,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,568,568,EA1129,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1134,522,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,60.0,0.0,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,60,60,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,522,522,EA1134|EA1157|EA1192,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1139,577,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,10.0,0.0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,10,10,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,577,577,EA1139,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1149,551,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,CWMU,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,15.0,0.0,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,15,15,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,551,551,EA1135|EA1149|EA1170|EA1260,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1193,38,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,18.0,2.0,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,20,20,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,4,boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,38,38,EA1010|EA1011|EA1012|EA1044|EA1193|EA1206|EA1228|EA1229|EA1267,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1208,616,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,247.0,28.0,275,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,275,275,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,616,616,EA1021|EA1207|EA1208|EA1226,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1222,685,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,27.0,3.0,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,30,30,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,685,685,EA1222|EA1223,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1223,685,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,27.0,3.0,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,30,30,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,685,685,EA1222|EA1223,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1251,893,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,13.0,2.0,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,15,15,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,893,893,EA1101|EA1251|EA1252,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1266,18,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,18.0,2.0,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,20,20,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,18,18,EA1203|EA1204|EA1266,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1267,29,Cache,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,81.0,9.0,90,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,90,90,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,5,boundary_id_to_hunt_code|boundary_xlsx|conservation_area|model_year_crosswalk|runtime_boundary_draft,29,29,EA1010|EA1011|EA1012|EA1193|EA1206|EA1267,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1269,924,Ogden (excludes Hyrum),Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,180.0,20.0,200,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,200,200,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,924,924,EA1063|EA1064|EA1269,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1284,634,Panguitch Lake,Elk,Antlerless,Muzzleloader,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,35,35,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,2,boundary_xlsx|runtime_boundary_draft,634,634,,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA1285,634,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,35,35,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,634,634,EA1069,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA2033,611,Kamas,Elk,Antlerless,Archery,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,225.0,25.0,250,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,250,250,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,611,611,EA2033,true,Identity is current/active and DATABASE total matches the selected/recommended total.
EA2036,86,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,54.0,6.0,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,60,60,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,86,86,EA2036,true,Identity is current/active and DATABASE total matches the selected/recommended total.
MA1005,117,Morgan-South Rich,Moose,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,NO:hunt_type,true,true,6.0,1.0,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,7,7,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,117,117,MA1005,true,Identity is current/active and DATABASE total matches the selected/recommended total. Database display-family comparison flagged NO:hunt_type.
MA1007,117,Morgan-South Rich,Moose,Antlerless,Archery,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,NO:hunt_type,true,true,3.0,0.0,3,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,3,3,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,2,boundary_xlsx|runtime_boundary_draft,117,117,,true,Identity is current/active and DATABASE total matches the selected/recommended total. Database display-family comparison flagged NO:hunt_type.
MA1008,937,"Wasatch Mtns, Salt Lake-Timpanogos",Moose,Antlerless,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,NO:hunt_type,true,true,4.0,1.0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,5,5,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,937,937,MA1006,true,Identity is current/active and DATABASE total matches the selected/recommended total. Database display-family comparison flagged NO:hunt_type.
PD1000,27,"Box Elder, Snowville",Pronghorn,Doe,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,72.0,8.0,80,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,80,80,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,27,27,PD1000|PD1012|PD1017|PD1045,true,Identity is current/active and DATABASE total matches the selected/recommended total.
PD1012,24,"Box Elder, Promontory",Pronghorn,Doe,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,22.0,3.0,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,25,25,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,24,24,PD1000|PD1012|PD1017,true,Identity is current/active and DATABASE total matches the selected/recommended total.
PD1016,537,Zane CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,,MANUAL_REMAP_REQUIRED,REMAINS_MANUAL_REMAP,YES,false,true,4.0,0.0,4,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,4,4,true,NEEDS_MANUAL_REMAP,HIGH,1,model_year_crosswalk,,537,PD1016,true,Manual crosswalk/remap remains before this row should be treated as resolved.
PD1017,755,"Box Elder, West",Pronghorn,Doe,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,49.0,6.0,55,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,55,55,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,755,755,PD1000|PD1012|PD1017,true,Identity is current/active and DATABASE total matches the selected/recommended total.
PD1026,826,Pahvant Ensign CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,,MANUAL_REMAP_REQUIRED,REMAINS_MANUAL_REMAP,YES,false,true,4.0,0.0,4,DWR_HUNT_PLANNER_HaNumber_MATCHED_PERMITS_2026,HISTORICAL_2025_ONLY_NOT_ACTIVE_2026,4,4,true,NEEDS_MANUAL_REMAP,HIGH,1,model_year_crosswalk,,826,PD1026,true,Manual crosswalk/remap remains before this row should be treated as resolved.
PD1044,895,Vernal-Ouray Valley,Pronghorn,Doe,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,9.0,1.0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,10,10,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,895,895,PD1044,true,Identity is current/active and DATABASE total matches the selected/recommended total.
PD1056,703,Parker Mtn,Pronghorn,Doe,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,36.0,4.0,40,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,40,40,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,703,703,PD1006,true,Identity is current/active and DATABASE total matches the selected/recommended total.
PD1057,873,"Parker Mtn, Highlands",Pronghorn,Doe,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,35,35,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,873,873,PD1006,true,Identity is current/active and DATABASE total matches the selected/recommended total.
PD1059,940,"Parker Mtn, Plains",Pronghorn,Doe,Any Legal Weapon,General Season,Antlerless,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,RESOLVED_PERMIT_CONFLICT_BY_DATABASE_TRUTH,YES,true,true,27.0,3.0,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,30,30,true,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,3,boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,940,940,PD1006,true,Identity is current/active and DATABASE total matches the selected/recommended total.
BR7307,684,La Sal,Black Bear,Either Sex,Multiseason,Multiseason - Conservation,,BOUNDARY_CONFIRMED_IDENTITY_READY,RESOLVED_HUNT_CODE_BOUNDARY_IDENTITY,YES,true,false,,,4,Utah DWR 2025-2027 Conservation Permit Database,TOTAL_ONLY,,4,false,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,6,black_bear_primary|black_bear_secondary|boundary_id_to_hunt_code|boundary_xlsx|model_year_crosswalk|runtime_boundary_draft,684,684,BR7307,false,Hunt-code identity and database boundary mapping are ready for downstream use.
BR7324,610,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Multiseason,Conservation,,BOUNDARY_CONFIRMED_IDENTITY_READY,RESOLVED_HUNT_CODE_BOUNDARY_IDENTITY,YES,true,false,,,1,,,,1,false,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,4,black_bear_primary|black_bear_secondary|boundary_xlsx|runtime_boundary_draft,610,610,,false,Hunt-code identity and database boundary mapping are ready for downstream use.
