hunt_code,hunt_name,species,sex_type,weapon,hunt_type,best_crosswalk_status,best_confidence,recommended_resolution_bucket,boundary_confirmed,regulation_present,permit_conflict,evidence_source_count,evidence_sources,status_counts,notes
PD1016,Zane CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,NEEDS_MANUAL_REMAP,HIGH,MANUAL_REMAP_REQUIRED,false,true,true,1,model_year_crosswalk,NEEDS_MANUAL_REMAP:1,Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
PD1026,Pahvant Ensign CWMU,Pronghorn,Doe,Any Legal Weapon,CWMU,NEEDS_MANUAL_REMAP,HIGH,MANUAL_REMAP_REQUIRED,false,true,true,1,model_year_crosswalk,NEEDS_MANUAL_REMAP:1,Permit values still conflict; identity evidence does not settle numeric winner. At least one source still calls for manual remap/review.
BR7019,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Any Legal Weapon,Limited Entry - Spring,EXACT_MATCH,HIGH,MANUAL_REMAP_REQUIRED,false,false,false,3,black_bear_primary|black_bear_secondary|model_year_crosswalk,EXACT_MATCH:2|NEEDS_MANUAL_REMAP:1,At least one source still calls for manual remap/review.
MB6263,Moon Ranch CWMU,Moose,Bull,Any Legal Weapon,CWMU,NEEDS_MANUAL_REMAP,HIGH,MANUAL_REMAP_REQUIRED,false,false,false,3,model_year_crosswalk|model_year_dropped_review|remaining_boundary_closeout,HISTORICAL_ONLY:2|NEEDS_MANUAL_REMAP:1,At least one source still calls for manual remap/review.
MB6264,Sand Creek CWMU,Moose,Bull,Any Legal Weapon,CWMU,NEEDS_MANUAL_REMAP,HIGH,MANUAL_REMAP_REQUIRED,false,false,false,3,model_year_crosswalk|model_year_dropped_review|remaining_boundary_closeout,HISTORICAL_ONLY:2|NEEDS_MANUAL_REMAP:1,At least one source still calls for manual remap/review.
