hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note,remaining_unresolved_bucket,remaining_review_required,crosswalk_resolution_status,resolved_status,resolved_res,resolved_nr,resolved_total,resolved_matching_sources,resolved_matching_source_count,resolved_source_rule,crosswalk_status
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
DS1003,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 12 - Nov 10, 2026",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
DS1004,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
DS1007,"San Rafael, South",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
RS1001,"Book Cliffs, South",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
RS1003,"Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Oct 25 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
RS1006,"Nine Mile, Gray Canyon",Rocky Mountain Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Nov 1 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,1,0,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,FULL_SPLIT,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,RESOLVED_BY_PARALLEL_PUBLIC_UNIT_REFERENCE,1,0,1,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,PROMOTED_PARALLEL_PUBLIC_UNIT_REFERENCE
CG9999,Cougar - Statewide,Cougar,Either Sex,Any Legal Weapon,Statewide,,HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,,,,,NONE,NO_PERMIT_VALUE,0,,NOT_COMPARED,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,UNLIMITED_PERMITS,true_no_permit_value,,0,,,,No current permit value found in the compared sources.,true_no_permit_value,false,RESOLVED_BY_REVIEWED_CURRENT_REFERENCE,RESOLVED_BY_REVIEWED_CURRENT_REFERENCE,,,,CURRENT_TO_HISTORICAL_CROSSWALK,1,Crosswalk review status indicates deterministic migration path for this row; kept as resolved for permit repair queue with full source audit columns preserved.,REVIEWED_CURRENT_REFERENCE
