hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note
EA1010,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,18,2,20,31,4,35,,,,,,,18,2,20,18,2,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,31,4,35,Non-database sources conflict and fewer than three current sources match.
EA1011,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,9,1,10,18,2,20,,,,,,,9,1,10,9,1,10,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,9,1,10,Non-database sources conflict and fewer than three current sources match.
EA1021,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,HANUMBER|HUNTTABLE|DATABASE,207,23,230,252,28,280,,,,,,,207,23,230,207,23,230,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,252,28,280,Non-database sources conflict and fewer than three current sources match.
EA1033,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Jan 18 2026,HANUMBER|HUNTTABLE|DATABASE,112,13,125,90,10,100,,,,,,,112,13,125,112,13,125,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.
EA1035,"Kamas, Oakley",Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,112,13,125,90,10,100,,,,,,,112,13,125,112,13,125,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.
EA1054,"Nine Mile, West Anthro",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 30 2025,HANUMBER|HUNTTABLE|DATABASE,45,5,50,90,10,100,,,,,,,45,5,50,45,5,50,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.
EA1063,Ogden,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,67,8,75,90,10,100,,,,,,,67,8,75,67,8,75,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,90,10,100,Non-database sources conflict and fewer than three current sources match.
EA1069,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,22,3,25,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31,4,35,Non-database sources conflict and fewer than three current sources match.
EA1129,Deseret CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,425,0,425,,,360,,,,,,,425,0,425,425,0,425,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,425,0,425,Non-database sources conflict and fewer than three current sources match.
EA1134,Ensign Ranches CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,60,0,60,,,48,,,,,,,60,0,60,60,0,60,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,60,0,60,Non-database sources conflict and fewer than three current sources match.
EA1139,Hardscrabble CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,10,0,10,,,5,,,,,,,10,0,10,10,0,10,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,10,0,10,Non-database sources conflict and fewer than three current sources match.
EA1149,Minnie Maud Ridge CWMU,Elk,Antlerless,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,HANUMBER|HUNTTABLE|DATABASE,15,0,15,,,16,,,,,,,15,0,15,15,0,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true_source_conflicts,HANUMBER,1,15,0,15,Non-database sources conflict and fewer than three current sources match.
EA1193,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 10 2026,HANUMBER|HUNTTABLE|DATABASE,18,2,20,31,4,35,,,,,,,18,2,20,18,2,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,31,4,35,Non-database sources conflict and fewer than three current sources match.
EA1208,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,Nov 15 2025 - Jan 18 2026,HANUMBER|HUNTTABLE|DATABASE,247,28,275,292,33,325,,,,,,,247,28,275,247,28,275,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,292,33,325,Non-database sources conflict and fewer than three current sources match.
EA1222,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Nov 22 2025 - Dec 12 2025,HANUMBER|HUNTTABLE|DATABASE,27,3,30,36,4,40,,,,,,,27,3,30,27,3,30,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36,4,40,Non-database sources conflict and fewer than three current sources match.
EA1223,"Beaver, East",Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 27 2025,HANUMBER|HUNTTABLE|DATABASE,27,3,30,36,4,40,,,,,,,27,3,30,27,3,30,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,36,4,40,Non-database sources conflict and fewer than three current sources match.
EA1251,"Southwest Desert, Burbank/Garrison",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,13,2,15,11,1,12,,,,,,,13,2,15,13,2,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,13,2,15,Non-database sources conflict and fewer than three current sources match.
EA1266,"Box Elder, Hansel Mtn",Elk,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Jan 31 2026,HANUMBER|HUNTTABLE|DATABASE,18,2,20,27,3,30,,,,,,,18,2,20,18,2,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,27,3,30,Non-database sources conflict and fewer than three current sources match.
EA1267,Cache,Elk,Antlerless,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,HANUMBER|HUNTTABLE|DATABASE,81,9,90,180,20,200,,,,,,,81,9,90,81,9,90,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,81,9,90,Non-database sources conflict and fewer than three current sources match.
EA1269,Ogden (Excludes Hyrum),Elk,Antlerless,Any Legal Weapon,General Season,Dec 01 2025 - Dec 31 2025,HANUMBER|HUNTTABLE|DATABASE,180,20,200,270,30,300,,,,,,,180,20,200,180,20,200,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,270,30,300,Non-database sources conflict and fewer than three current sources match.
EA1284,Panguitch Lake,Elk,Antlerless,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,49,6,55,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,49,6,55,Non-database sources conflict and fewer than three current sources match.
EA1285,Panguitch Lake,Elk,Antlerless,Any Legal Weapon,General Season,Dec 13 2025 - Dec 21 2025,HANUMBER|HUNTTABLE|DATABASE,31,4,35,22,3,25,,,,,,,31,4,35,31,4,35,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,31,4,35,Non-database sources conflict and fewer than three current sources match.
EA2033,Kamas,Elk,Antlerless,Archery,General Season,Aug 16 2025 - Sep 17 2025,HANUMBER|HUNTTABLE|DATABASE,225,25,250,180,20,200,,,,,,,225,25,250,225,25,250,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER,1,225,25,250,Non-database sources conflict and fewer than three current sources match.
EA2036,"Oquirrh-Stansbury, East",Elk,Antlerless,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,HANUMBER|HUNTTABLE|DATABASE,54,6,60,63,7,70,,,,,,,54,6,60,54,6,60,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HUNTTABLE,1,63,7,70,Non-database sources conflict and fewer than three current sources match.
EB3000,"Beaver, East",Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,22,3,25,22,3,25,21,3,24,,,,22,3,25,22,3,25,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,22,3,25,Non-database sources conflict and fewer than three current sources match.
EB3003,"Cache, Meadowville",Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,9,1,10,9,1,10,8,1,9,,,,9,1,10,9,1,10,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,9,1,10,Non-database sources conflict and fewer than three current sources match.
EB3005,"Cache, South",Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,10,1,11,10,1,11,9,1,10,,,,10,1,11,10,1,11,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,10,1,11,Non-database sources conflict and fewer than three current sources match.
EB3006,Manti,Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,148,17,165,148,17,165,146,16,162,,,,148,17,165,148,17,165,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,148,17,165,Non-database sources conflict and fewer than three current sources match.
EB3008,"Fillmore, Pahvant",Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,19,2,21,19,2,21,18,2,20,,,,19,2,21,19,2,21,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,19,2,21,Non-database sources conflict and fewer than three current sources match.
EB3009,La Sal Mtns,Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,36,4,40,36,4,40,35,4,39,,,,36,4,40,36,4,40,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,36,4,40,Non-database sources conflict and fewer than three current sources match.
EB3011,Mt Dutton,Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,19,2,21,19,2,21,18,2,20,,,,19,2,21,19,2,21,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,19,2,21,Non-database sources conflict and fewer than three current sources match.
EB3015,Panguitch Lake,Elk,Bull,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,17,2,19,17,2,19,16,2,18,,,,17,2,19,17,2,19,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,17,2,19,Non-database sources conflict and fewer than three current sources match.
