hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note
BI6503,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Oct 28 2026 - Nov 8 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,4,2,6,4,2,6,3,2,5,,,,4,2,6,4,2,6,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,4,2,6,Non-database sources conflict and fewer than three current sources match.
BI6505,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Dec 9 2026 - Dec 20 2026,HANUMBER|UTAHDRAWS|DATABASE,8,3,11,,,,8,2,10,,,,8,3,11,8,3,11,HANUMBER,REVIEW_SOURCE_CONFLICT,1,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT,true_source_conflicts,HANUMBER,1,8,3,11,Non-database sources conflict and fewer than three current sources match.
BI6531,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Sept 21 2026 - Oct 02 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,10,0,10,10,0,10,9,0,9,,,,10,0,10,10,0,10,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,10,0,10,Non-database sources conflict and fewer than three current sources match.
BI6536,"Book Cliffs, Bitter Creek",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Nov 14 2026 - Nov 29 2026,HANUMBER|UTAHDRAWS|DATABASE,15,0,15,,,,14,0,14,,,,15,0,15,15,0,15,HANUMBER,REVIEW_SOURCE_CONFLICT,1,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,DATABASE_ONLY,SOURCE_AND_DATABASE,,RAC_CURRENT_YEAR_SPLIT,true_source_conflicts,HANUMBER,1,15,0,15,Non-database sources conflict and fewer than three current sources match.
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,,,25,,,20,,,,,,,,,25,,,25,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,25,Non-database sources conflict and fewer than three current sources match.
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,Aug 01 2025 - Aug 15 2025,HANUMBER|HUNTTABLE|DATABASE,,,20,,,15,,,,,,,,,20,,,20,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,20,Non-database sources conflict and fewer than three current sources match.
DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,Aug 01 2025 - Sep 14 2025,HANUMBER|HUNTTABLE|DATABASE,,,5,,,10,,,,,,,,,5,,,5,HANUMBER,REVIEW_SOURCE_CONFLICT,1,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: hunttable.",OK,LIVE_AND_DATABASE,DATABASE_ONLY,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER,1,,,5,Non-database sources conflict and fewer than three current sources match.
DB0008,Extended Archery Deer,Deer,Hunters Choice,Archery,Extended Archery,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,,,2000,,,2000,1781,197,2016,,,,,,2000,,,2000,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_TOTAL_ONLY,true_source_conflicts,HANUMBER|HUNTTABLE,2,,,2000,Non-database sources conflict and fewer than three current sources match.
DS6601,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,10,3,13,10,3,13,9,3,12,,,,10,3,13,10,3,13,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,10,3,13,Non-database sources conflict and fewer than three current sources match.
DS6609,"San Rafael, North",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,HANUMBER|HUNTTABLE|UTAHDRAWS|DATABASE,8,0,8,8,0,8,7,0,7,,,,8,0,8,8,0,8,HANUMBER,REVIEW_SOURCE_CONFLICT,2,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REVIEW_BEFORE_PROMOTION,"hanumber selected by precedence, but conflicts with: utahdraws.",OK,LIVE_AND_DATABASE,SOURCE_AND_DATABASE,,LIVE_DWR_RES_NR_SPLIT,true_source_conflicts,HANUMBER|HUNTTABLE,2,8,0,8,Non-database sources conflict and fewer than three current sources match.
