current_hunt_code,historical_hunt_code,draw_year,model_year,historical_hunt_name,current_hunt_name,species,sex_type,weapon,hunt_type,historical_unit_name,current_unit_name,historical_boundary_id,current_boundary_id,boundary_match,permits_res_historical,permits_nr_historical,permits_total_historical,permits_res_current,permits_nr_current,permits_total_current,crosswalk_status,confidence,evidence_source,evidence_notes,source_file_historical,source_file_current,source_priority_historical,source_priority_current,merge_split_flag,statewide_flag,unlimited_flag,source_permit_conflict_flag,unresolved_split_bucket,regulation_presence_status,recommended_action
DA1009,,,2026,,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,,"Pine Valley, Enterprise",,169,YES,,,,,,25,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,boundary_xlsx,Current code exists in 2026 boundary crosswalk workbook.,,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\processed_data\hunt_boundary_crosswalk_2026.xlsx,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1009,DA1009,2025,2026,"Pine Valley, Enterprise","Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,"Pine Valley, Enterprise","Pine Valley, Enterprise",169,169,YES,,,20,,,25,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_CURRENT_ACTIVE_NO_NEXT_YEAR_PDF_MATCH.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1009,DA1009,2025,2026,"Pine Valley, Enterprise","Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,"Pine Valley, Enterprise","Pine Valley, Enterprise",169,169,YES,,,20,,,25,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_CURRENT_ACTIVE_NO_NEXT_YEAR_PDF_MATCH.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1009,DA1009,2025,2026,"Pine Valley, Enterprise","Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,"Pine Valley, Enterprise","Pine Valley, Enterprise",169,169,YES,,,20,,,25,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_CURRENT_ACTIVE_NO_NEXT_YEAR_PDF_MATCH.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1009,,,2026,,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,,"Pine Valley, Enterprise",,169,YES,,,,,,25,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,runtime_boundary_draft,Current code appears in runtime draft boundary crosswalk.,,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_model\runtime_drafts\hunt_boundary_crosswalk_v2.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1018,,,2026,,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,,"Pine Valley, New Harmony",,840,YES,,,,,,20,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,boundary_xlsx,Current code exists in 2026 boundary crosswalk workbook.,,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\processed_data\hunt_boundary_crosswalk_2026.xlsx,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1018,DA1018,2025,2026,"Pine Valley, New Harmony","Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,"Pine Valley, New Harmony","Pine Valley, New Harmony",840,840,YES,,,16,,,20,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_CURRENT_ACTIVE_NO_NEXT_YEAR_PDF_MATCH.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1018,DA1018,2025,2026,"Pine Valley, New Harmony","Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,"Pine Valley, New Harmony","Pine Valley, New Harmony",840,840,YES,,,16,,,20,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_CURRENT_ACTIVE_NO_NEXT_YEAR_PDF_MATCH.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1018,DA1018,2025,2026,"Pine Valley, New Harmony","Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,"Pine Valley, New Harmony","Pine Valley, New Harmony",840,840,YES,,,16,,,20,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_CURRENT_ACTIVE_NO_NEXT_YEAR_PDF_MATCH.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
DA1018,,,2026,,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,,"Pine Valley, New Harmony",,840,YES,,,,,,20,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,runtime_boundary_draft,Current code appears in runtime draft boundary crosswalk.,,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_model\runtime_drafts\hunt_boundary_crosswalk_v2.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
