hunt_code,hunt_name,species,sex_type,weapon,hunt_type,split_bucket,recommended_action,source_support_count,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,conflicting_sources,database_alignment,regulation_presence_status,matched_pdf_count,matched_pdfs,matched_pages,snippet,notes
BI6505,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,8,3,11,,,,8,2,10,8,3,11,8,3,11,HANUMBER,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,2026 Big Game Application.pdf,2026 Big Game Application.pdf:65,"2026 Big Game Application.pdf p.65: ates Book Cliffs, Bitter Creek BI6536 Nov. 14–Nov. 29 Book Cliffs, Little Creek/South BI6529 Oct. 17–Oct. 27 Henry Mtns BI6505 Dec. 9–Dec. 20 Henry Mtns BI6506 Dec. 23, 2026–Jan. 3, 2027 Henry Mtns (new) BI6539 Jan. 6–Jan. 17 Archery hunts, hunte","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
BI6536,"Book Cliffs, Bitter Creek",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,15,0,15,,,,14,0,14,15,0,15,15,0,15,HANUMBER,UTAHDRAWS,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,2026 Big Game Application.pdf,2026 Big Game Application.pdf:65,"2026 Big Game Application.pdf p.65: pe Island BI6500 Dec. 7–Dec. 9 Any legal weapon hunts, cow only Hunt name Hunt # Season dates Book Cliffs, Bitter Creek BI6536 Nov. 14–Nov. 29 Book Cliffs, Little Creek/South BI6529 Oct. 17–Oct. 27 Henry Mtns BI6505 Dec. 9–Dec. 20 Henry Mtns BI65","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
DA1009,"Pine Valley, Enterprise",Deer,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,,,25,,,20,,,,,,25,,,25,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:25,"antlerless_guidebook.pdf p.25: on, Davis-North Salt Lake DA1027 Aug. 1–Sept. 15 Nine Mile, Green River Valley DA1041 Oct. 3–25 Pine Valley, Enterprise DA1009 Aug. 1–12 Vernal-Ouray Valley DA1047 Sept. 26–Dec. 11 Archery, muzzleloader or shotgun hunts Hunt name Hunt # Season da","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
DA1018,"Pine Valley, New Harmony",Deer,Antlerless,"Archery, Muzzleloader, Shotgun",General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,,,20,,,15,,,,,,20,,,20,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:25,"antlerless_guidebook.pdf p.25: /Plateau, Sevier Valley DA1003 Sept. 1–30 Nine Mile, Price River Valley DA1046 Sept. 12–Oct. 9 Pine Valley, New Harmony DA1018 Aug. 1–12 24 | 2026 UTAH ANTLERLESS APPLICATION GUIDEBOOK","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
DA1033,"San Juan, Monticello",Deer,Antlerless,Archery,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,,,5,,,10,,,,,,5,,,5,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:25,"antlerless_guidebook.pdf p.25: ice River Valley DA1030 Aug. 15–Sept. 11 Oquirrh-Stansbury, Settlement Cyn DA1031 Aug. 15–Sept. 11 San Juan, Monticello DA1033 Aug. 1–Sept. 14 San Juan, Monticello DA1042 Nov. 24–Dec. 31 Vernal, Ashley Valley DA1049 Aug. 15–Dec. 11 Any legal weap","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1010,"Cache, Rich",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,18,2,20,31,4,35,,,,18,2,20,18,2,20,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: 1, 2027 Box Elder, Pilot Mtn EA1203 Aug. 1–15 Box Elder, Pilot Mtn EA1204 Oct. 10–31 Cache EA1267 Oct. 3–25 Cache, Rich EA1010 Oct. 3–25 Cache, Rich EA1193 Nov. 14, 2026–Jan. 15, 2027 Cache, Richards Hollow EA1011 Nov. 14–Dec. 31 Chalk Creek EA10","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1011,"Cache, Richards Hollow",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,9,1,10,18,2,20,,,,9,1,10,9,1,10,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:26,"antlerless_guidebook.pdf p.26: che EA1267 Oct. 3–25 Cache, Rich EA1010 Oct. 3–25 Cache, Rich EA1193 Nov. 14, 2026–Jan. 15, 2027 Cache, Richards Hollow EA1011 Nov. 14–Dec. 31 Chalk Creek EA1026 Nov. 7, 2026–Jan. 30, 2027 25 | GENERAL- SEASON ANTLERLESS ELK","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1021,Nebo,Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,207,23,230,252,28,280,,,,207,23,230,207,23,230,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:28,"antlerless_guidebook.pdf p.28: n. 31, 2027 Mt Dutton, North (new) EA1291 Nov. 21–Dec. 6 Mt Dutton, North (new) EA1292 Dec. 19, 2026–Jan. 10, 2027 Nebo EA1021 Oct. 3–15 Nebo EA1208 Nov. 14, 2026–Jan. 31, 2027 Nebo, Moroni Hills EA1207 Aug. 1–19 Nebo, Moroni Hills EA1226 Sept. 1","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1033,Kamas,Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,112,13,125,90,10,100,,,,112,13,125,112,13,125,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:27,"antlerless_guidebook.pdf p.27: Oct. 3–15 Fishlake/Thousand Lakes East EA1079 Nov. 21–Dec. 30 Fishlake/Thousand Lakes West EA1080 Nov. 21–Dec. 30 Kamas EA1033 Nov. 7, 2026–Jan. 17, 2027 Kamas, Oakley EA1035 Nov. 7–Dec. 30 La Sal Mtns EA1038 Oct. 3–15 La Sal Mtns EA1039 Nov. 19–","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
EA1035,"Kamas, Oakley",Elk,Antlerless,Any Legal Weapon,General Season,true_source_conflicts,REVIEW_BEFORE_PROMOTION,1,112,13,125,90,10,100,,,,112,13,125,112,13,125,HANUMBER,HUNTTABLE,DATABASE_MATCHES_RECOMMENDED,REGULATION_CODE_PRESENT,1,antlerless_guidebook.pdf,antlerless_guidebook.pdf:27,"antlerless_guidebook.pdf p.27: v. 21–Dec. 30 Fishlake/Thousand Lakes West EA1080 Nov. 21–Dec. 30 Kamas EA1033 Nov. 7, 2026–Jan. 17, 2027 Kamas, Oakley EA1035 Nov. 7–Dec. 30 La Sal Mtns EA1038 Oct. 3–15 La Sal Mtns EA1039 Nov. 19–Dec. 31 La Sal Mtns, North EA1237 Nov. 19–Dec. 3","Code string appears in one or more 2026 regulation PDFs; use as code-presence evidence only, not permit-value truth."
