hunt_code,rollup_bucket,rollup_boundary_confirmed,rollup_permit_conflict,database_presence,database_boundary_id,database_family_match,database_permit_allotment_res,database_permit_allotment_nr,database_permit_allotment_total,database_permit_allotment_source,database_permit_allotment_status,database_has_current_allotment_total,database_total_matches_recommended_total,recommended_total,database_total,discrepancy_status,next_status,notes
BI6505,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,94,NO:sex_type,8.0,3.0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,true,true,11,11,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
BI6536,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,667,NO:sex_type,15.0,0.0,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,true,true,15,15,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
DA1009,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,169,YES,,,25,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_TOTAL_ONLY,true,true,25,25,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
DA1018,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,840,YES,,,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_TOTAL_ONLY,true,true,20,20,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
DA1033,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,23,YES,,,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_TOTAL_ONLY,true,true,5,5,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1010,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,38,YES,18.0,2.0,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,20,20,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1011,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,39,YES,9.0,1.0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,10,10,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1021,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,616,YES,207.0,23.0,230,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,230,230,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1033,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,611,YES,112.0,13.0,125,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,125,125,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1035,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,104,YES,112.0,13.0,125,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,125,125,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1054,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,132,YES,45.0,5.0,50,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,50,50,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1063,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,609,YES,67.0,8.0,75,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,75,75,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1069,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,634,YES,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,35,35,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1129,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,568,YES,425.0,0.0,425,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true,true,425,425,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1134,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,522,YES,60.0,0.0,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true,true,60,60,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1139,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,577,YES,10.0,0.0,10,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true,true,10,10,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1149,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,551,YES,15.0,0.0,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,DWR_HUNTPLANNER_CWMU_RES_NR_TOTAL_DERIVED,true,true,15,15,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1193,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,38,YES,18.0,2.0,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,20,20,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1208,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,616,YES,247.0,28.0,275,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,275,275,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1222,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,685,YES,27.0,3.0,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,30,30,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1223,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,685,YES,27.0,3.0,30,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,30,30,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1251,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,893,YES,13.0,2.0,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,15,15,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1266,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,18,YES,18.0,2.0,20,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,20,20,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1267,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,29,YES,81.0,9.0,90,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,90,90,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1269,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,924,YES,180.0,20.0,200,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,200,200,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1284,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,634,YES,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,35,35,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA1285,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,634,YES,31.0,4.0,35,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,35,35,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA2033,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,611,YES,225.0,25.0,250,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,250,250,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
EA2036,ACTIVE_CODE_CONFIRMED_BUT_PERMIT_CONFLICT_REMAINS,true,true,PRESENT,86,YES,54.0,6.0,60,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,LIVE_DWR_RES_NR_SPLIT,true,true,60,60,PERMIT_VALUE_CONFLICT,PERMIT_CONFLICT_REVIEW_REQUIRED,Current permit evidence has conflicting totals.
